success,trial_type,trial_index,time_elapsed,internal_node_id,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,rt,block,button_pressed,missTrial,missTrialMsg,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
True,fullscreen,0,2848,0.0-0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0308,2022-11-30 22:01:15
,wl-check-fps,1,7839,0.0-1.0,0.0,2.0,"[3409.2, 3414, 3430.3, 3446.3, 3463.4, 3480.2, 3496, 3513, 3530, 3546.2, 3563.3, 3580.2, 3595.9, 3613, 3630, 3645.9, 3674.8, 3679.9, 3695.9, 3712.9, 3729.9, 3745.9, 3762.9, 3779.9, 3796, 3813, 3829.9, 3845.9, 3863.2, 3879.9, 3895.9, 3912.9, 3929.9, 3946, 3963.1, 3980, 4001.8, 4019.1, 4030, 4045.9, 4063.1, 4079.9, 4095.9, 4113.3, 4130, 4146, 4163, 4179.9, 4195.9, 4213, 4230, 4246, 4263.2, 4280, 4296.1, 4313, 4330, 4345.9, 4363, 4379.9, 4396.1, 4413, 4430.1, 4446.1, 4463, 4479.9, 4496.1, 4513, 4530.1, 4546.1, 4563.7, 4580, 4596.2, 4613.2, 4629.2, 4646.1, 4663.1, 4680.1, 4696.1, 4713.1, 4729.2, 4746, 4763.2, 4779.2, 4796.1, 4813.1, 4830, 4846, 4863.3, 4880, 4896.2, 4913.1, 4929.1, 4946.1, 4963.1, 4979.1, 4996, 5013.1, 5029.2, 5046.2, 5063.1, 5079.1, 5096.2, 5113.1, 5129.1, 5146.1, 5163.4, 5179.1, 5196.2, 5212.9, 5229.2, 5246.1, 5263.2, 5279, 5296.1, 5313, 5329.1, 5346, 5363, 5379, 5396.1, 5413.1, 5429, 5445.9, 5463.1, 5479, 5496, 5513, 5529, 5546.1, 5563.2, 5579, 5596.2, 5613, 5629, 5646, 5663.1, 5679, 5695.9, 5712.9, 5729, 5746.1, 5763, 5779.1, 5796, 5813, 5829, 5846, 5863, 5879.1, 5895.9, 5913, 5929.1, 5946, 5963.1, 5979, 5996.1, 6013.2, 6029.1, 6046, 6063, 6079, 6096.1, 6113.1, 6129.1, 6146.1, 6163.1, 6179.1, 6196, 6213, 6229, 6246, 6263.1, 6279.1, 6296.1, 6313, 6329.1, 6346.2, 6363.1, 6379.1, 6396.3, 6413.2, 6429.1, 6446.1, 6463.1, 6479.2, 6496.1, 6513.2, 6529.2, 6546.1, 6563.7, 6579, 6596.1, 6613.2, 6629, 6646.1, 6663.1, 6679, 6696.1, 6713.1, 6729, 6746.1, 6763.4, 6779.3, 6796.2, 6813.1, 6829, 6846.1, 6863.2, 6879.1, 6896.2, 6913, 6929.1, 6946, 6963.1, 6979.1, 6996.1, 7013.2, 7029.1, 7046, 7063.4, 7079.1, 7096, 7113.1, 7129, 7146.1, 7163.3, 7179.2, 7196.1, 7213.1, 7229.1, 7246.3, 7263.1, 7279.1, 7296.1, 7313.1, 7329.2, 7352.4, 7363.2, 7379.1, 7396.1, 7413.1, 7429.1, 7446.2, 7463.1, 7479.4, 7496.2, 7513.2, 7529.2, 7546.1, 7563.5, 7579.9, 7596.3, 7613.2, 7629.2, 7646.2, 7663.2, 7679.2, 7696.2, 7713.3, 7729.4, 7746.2, 7763.3, 7779.2, 7796.2, 7813.2, 7829.2, 7846.5, 7863.3, 7879.4, 7896.3, 7913.2, 7929.2, 7946.3, 7963.5, 7979.2, 7996.2, 8013.3, 8029.2, 8046.2, 8063.2, 8079.3, 8096.3, 8113.3, 8129.2, 8146.2, 8163.3, 8179.3, 8196.5, 8213.7, 8229.2, 8246.3, 8263.2, 8279.2, 8296.2, 8314.2, 8329.2, 8346.2, 8363.2, 8379.7]","[1.9, 4.8, 16.3, 16, 17.1, 16.8, 15.8, 17, 17, 16.2, 17.1, 16.9, 15.7, 17.1, 17, 15.9, 28.9, 5.1, 16, 17, 17, 16, 17, 17, 16.1, 17, 16.9, 16, 17.3, 16.7, 16, 17, 17, 16.1, 17.1, 16.9, 21.8, 17.3, 10.9, 15.9, 17.2, 16.8, 16, 17.4, 16.7, 16, 17, 16.9, 16, 17.1, 17, 16, 17.2, 16.8, 16.1, 16.9, 17, 15.9, 17.1, 16.9, 16.2, 16.9, 17.1, 16, 16.9, 16.9, 16.2, 16.9, 17.1, 16, 17.6, 16.3, 16.2, 17, 16, 16.9, 17, 17, 16, 17, 16.1, 16.8, 17.2, 16, 16.9, 17, 16.9, 16, 17.3, 16.7, 16.2, 16.9, 16, 17, 17, 16, 16.9, 17.1, 16.1, 17, 16.9, 16, 17.1, 16.9, 16, 17, 17.3, 15.7, 17.1, 16.7, 16.3, 16.9, 17.1, 15.8, 17.1, 16.9, 16.1, 16.9, 17, 16, 17.1, 17, 15.9, 16.9, 17.2, 15.9, 17, 17, 16, 17.1, 17.1, 15.8, 17.2, 16.8, 16, 17, 17.1, 15.9, 16.9, 17, 16.1, 17.1, 16.9, 16.1, 16.9, 17, 16, 17, 17, 16.1, 16.8, 17.1, 16.1, 16.9, 17.1, 15.9, 17.1, 17.1, 15.9, 16.9, 17, 16, 17.1, 17, 16, 17, 17, 16, 16.9, 17, 16, 17, 17.1, 16, 17, 16.9, 16.1, 17.1, 16.9, 16, 17.2, 16.9, 15.9, 17, 17, 16.1, 16.9, 17.1, 16, 16.9, 17.6, 15.3, 17.1, 17.1, 15.8, 17.1, 17, 15.9, 17.1, 17, 15.9, 17.1, 17.3, 15.9, 16.9, 16.9, 15.9, 17.1, 17.1, 15.9, 17.1, 16.8, 16.1, 16.9, 17.1, 16, 17, 17.1, 15.9, 16.9, 17.4, 15.7, 16.9, 17.1, 15.9, 17.1, 17.2, 15.9, 16.9, 17, 16, 17.2, 16.8, 16, 17, 17, 16.1, 23.2, 10.8, 15.9, 17, 17, 16, 17.1, 16.9, 16.3, 16.8, 17, 16, 16.9, 17.4, 16.4, 16.4, 16.9, 16, 17, 17, 16, 17, 17.1, 16.1, 16.8, 17.1, 15.9, 17, 17, 16, 17.3, 16.8, 16.1, 16.9, 16.9, 16, 17.1, 17.2, 15.7, 17, 17.1, 15.9, 17, 17, 16.1, 17, 17, 15.9, 17, 17.1, 16, 17.2, 17.2, 15.5, 17.1, 16.9, 16, 17, 18, 15, 17, 17, 16.5]",60.0,61.0,59.0,4989.1,[],,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0308,2022-11-30 22:01:15
,wl-html-keyboard-response,2,63592,0.0-2.0-0.0,0.0,2.0,,,,,,,,53745.2000002861,0.0,0,True,undefinedblurEvent ,,,,,,,,,,,,,,,,,,,,HRV,HRV_0308,2022-11-30 22:01:15
,wl-rdm,3,71054,0.0-3.0-0.0,0.0,3.0,,,,,,,[],,,,False,,0.0,0.0,87.9,0.0,u,0.0,True,1908.0,115.0,59.0,40.0,3000.0,[],"[1280, 720]",ColorTask_Demo,,,,,HRV,HRV_0308,2022-11-30 22:01:15
,wl-rdm,4,77236,0.0-3.0-1.0,0.0,4.0,,,,,,,[],,,,False,,0.0,0.0,87.9,1.0,i,1.0,True,2085.2999997138977,126.0,59.0,40.0,2000.0,[],"[1280, 720]",ColorTask_Demo,,,,,HRV,HRV_0308,2022-11-30 22:01:15
,wl-html-keyboard-response,5,83634,0.0-3.0-2.0,0.0,5.0,,,,,,,,4391.5,0.0,1,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0308,2022-11-30 22:01:15
,wl-html-keyboard-response,6,95705,0.0-4.0-0.0,0.0,6.0,,,,,,,,10065.5,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0308,2022-11-30 22:01:15
,wl-html-keyboard-response,7,129570,0.0-5.0-0.0,0.0,6.0,,,,,,,,31856.700000286102,0.0,0,True,undefinedblurEvent ,,,,,,,,,,,,,,,,,,,,HRV,HRV_0308,2022-11-30 22:01:15
,wl-rdm,8,133852,0.0-6.0-0.0,0.0,7.0,,,,,,,[],,,,False,,,,53.2,0.0,u,0.0,True,2886.7999997138977,174.0,59.0,40.0,307.6071121449987,[],"[1280, 720]",ColorTask,1.0,1.0,,,HRV,HRV_0308,2022-11-30 22:01:15
,wl-rdm,9,137301,0.0-6.1-0.1,0.0,8.0,,,,,,,[],,,,False,,,,53.2,1.0,i,1.0,True,2157.2000002861023,130.0,59.0,40.0,212.27077139922088,[],"[1280, 720]",ColorTask,2.0,2.0,,,HRV,HRV_0308,2022-11-30 22:01:15
