success,trial_type,trial_index,time_elapsed,internal_node_id,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,rt,block,button_pressed,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,missTrial,missTrialMsg,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
True,fullscreen,0,1779,0.0-0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0113,2022-11-30 18:20:04
,wl-check-fps,1,10763,0.0-1.0,0.0,2.0,"[10714.5, 10728.6, 10745.7, 10762.6, 10778.8, 10795.6, 10812.2, 10829.1, 10846.1, 10863.3, 10879.2, 10896, 10912.5, 10928.3, 10945.3, 10962.1, 10978.8, 10997.7, 11011.9, 11027.9, 11045.1, 11061.4, 11078.1, 11094.8, 11111.3, 11128, 11144.7, 11161.3, 11178.3, 11194.6, 11211.2, 11228.1, 11245.2, 11261.4, 11278.1, 11294.7, 11311.4, 11328.1, 11344.7, 11361.5, 11378.2, 11394.6, 11411.3, 11427.9, 11444.6, 11461.3, 11478, 11494.4, 11511.3, 11528, 11544.7, 11561.1, 11578.1, 11594.5, 11611.2, 11627.9, 11644.7, 11661.2, 11678, 11695, 11711.3, 11728, 11744.6, 11761.3, 11777.9, 11794.3, 11811, 11828, 11844.7, 11861.3, 11877.7, 11894.5, 11911.1, 11927.9, 11944.4, 11961.2, 11977.9, 11997.1, 12011.2, 12027.8, 12044.5, 12061.2, 12077.7, 12094.4, 12111.1, 12127.7, 12144.4, 12161.1, 12177.7, 12194.4, 12211.1, 12227.8, 12244.7, 12261.2, 12277.5, 12294.4, 12311.4, 12327.8, 12344.6, 12361.2, 12378.1, 12394.6, 12411.3, 12428, 12444.5, 12461.3, 12477.7, 12494.2, 12510.9, 12527.9, 12544.5, 12560.8, 12577.6, 12594.5, 12611.1, 12627.6, 12644.2, 12661, 12677.7, 12694.4, 12711.1, 12727.9, 12744.4, 12760.9, 12777.7, 12794.4, 12811, 12827.6, 12844.3, 12861, 12877.7, 12894.4, 12911.2, 12927.8, 12944.4, 12960.8, 12977.7, 12997.1, 13011, 13027.6, 13044.4, 13060.9, 13077.8, 13094.3, 13111.1, 13127.6, 13144.1, 13160.8, 13177.6, 13194.2, 13211, 13227.2, 13244.1, 13261, 13277.5, 13294.2, 13310.9, 13327.7, 13344.3, 13360.9, 13377.7, 13394.4, 13410.8, 13427.4, 13444.1, 13460.7, 13477.4, 13494, 13510.7, 13527.5, 13544.1, 13560.8, 13577.6, 13594.2, 13610.9, 13627.1, 13644, 13660.7, 13677.4, 13694.1, 13710.8, 13727.4, 13744, 13760.8, 13777.7, 13794.4, 13810.7, 13827.2, 13844.1, 13860.6, 13877.4, 13894.1, 13910.7, 13927.3, 13944, 13960.6, 13977.6, 13996.2, 14010.5, 14027.3, 14043.9, 14060.6, 14077.2, 14094, 14121.9, 14127.4, 14143.7, 14160.5, 14177.4, 14194.2, 14210.5, 14227.2, 14244.1, 14260.6, 14277.2, 14293.9, 14310.5, 14327.2, 14344.3, 14361.3, 14377.4, 14394.3, 14410.8, 14427.4, 14444.1, 14460.9, 14477.4, 14494.3, 14510.7, 14527.2, 14544.2, 14560.5, 14577.2, 14593.9, 14610.6, 14627.3, 14643.6, 14661, 14677.4, 14694, 14710.6, 14732, 14747.5, 14760.3, 14777.5, 14794, 14810.8, 14827.4, 14844.3, 14860.6, 14877.2, 14894.1, 14910.6, 14927.3, 14944, 14960.3, 14977.2, 14995, 15010.5, 15027.4, 15044.2, 15060.2, 15077.1, 15093.7, 15110.3, 15126.9, 15143.6, 15160.2, 15176.8, 15193.5, 15210.2, 15227.1, 15243.7, 15260.4, 15277, 15293.6, 15310.5, 15327.1, 15343.6, 15359.9, 15376.6, 15393.4, 15410.2, 15426.7, 15443.6, 15460.3, 15476.8, 15493.5, 15510.3, 15526.8, 15543.4, 15560, 15576.7, 15593.4, 15610.3, 15626.8, 15643.5, 15660, 15676.8, 15693.5]","[17.9, 14.1, 17.1, 16.9, 16.2, 16.8, 16.6, 16.9, 17, 17.2, 15.9, 16.8, 16.5, 15.8, 17, 16.8, 16.7, 18.9, 14.2, 16, 17.2, 16.3, 16.7, 16.7, 16.5, 16.7, 16.7, 16.6, 17, 16.3, 16.6, 16.9, 17.1, 16.2, 16.7, 16.6, 16.7, 16.7, 16.6, 16.8, 16.7, 16.4, 16.7, 16.6, 16.7, 16.7, 16.7, 16.4, 16.9, 16.7, 16.7, 16.4, 17, 16.4, 16.7, 16.7, 16.8, 16.5, 16.8, 17, 16.3, 16.7, 16.6, 16.7, 16.6, 16.4, 16.7, 17, 16.7, 16.6, 16.4, 16.8, 16.6, 16.8, 16.5, 16.8, 16.7, 19.2, 14.1, 16.6, 16.7, 16.7, 16.5, 16.7, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.9, 16.5, 16.3, 16.9, 17, 16.4, 16.8, 16.6, 16.9, 16.5, 16.7, 16.7, 16.5, 16.8, 16.4, 16.5, 16.7, 17, 16.6, 16.3, 16.8, 16.9, 16.6, 16.5, 16.6, 16.8, 16.7, 16.7, 16.7, 16.8, 16.5, 16.5, 16.8, 16.7, 16.6, 16.6, 16.7, 16.7, 16.7, 16.7, 16.8, 16.6, 16.6, 16.4, 16.9, 19.4, 13.9, 16.6, 16.8, 16.5, 16.9, 16.5, 16.8, 16.5, 16.5, 16.7, 16.8, 16.6, 16.8, 16.2, 16.9, 16.9, 16.5, 16.7, 16.7, 16.8, 16.6, 16.6, 16.8, 16.7, 16.4, 16.6, 16.7, 16.6, 16.7, 16.6, 16.7, 16.8, 16.6, 16.7, 16.8, 16.6, 16.7, 16.2, 16.9, 16.7, 16.7, 16.7, 16.7, 16.6, 16.6, 16.8, 16.9, 16.7, 16.3, 16.5, 16.9, 16.5, 16.8, 16.7, 16.6, 16.6, 16.7, 16.6, 17, 18.6, 14.3, 16.8, 16.6, 16.7, 16.6, 16.8, 27.9, 5.5, 16.3, 16.8, 16.9, 16.8, 16.3, 16.7, 16.9, 16.5, 16.6, 16.7, 16.6, 16.7, 17.1, 17, 16.1, 16.9, 16.5, 16.6, 16.7, 16.8, 16.5, 16.9, 16.4, 16.5, 17, 16.3, 16.7, 16.7, 16.7, 16.7, 16.3, 17.4, 16.4, 16.6, 16.6, 21.4, 15.5, 12.8, 17.2, 16.5, 16.8, 16.6, 16.9, 16.3, 16.6, 16.9, 16.5, 16.7, 16.7, 16.3, 16.9, 17.8, 15.5, 16.9, 16.8, 16, 16.9, 16.6, 16.6, 16.6, 16.7, 16.6, 16.6, 16.7, 16.7, 16.9, 16.6, 16.7, 16.6, 16.6, 16.9, 16.6, 16.5, 16.3, 16.7, 16.8, 16.8, 16.5, 16.9, 16.7, 16.5, 16.7, 16.8, 16.5, 16.6, 16.6, 16.7, 16.7, 16.9, 16.5, 16.7, 16.5, 16.8, 16.7]",60.0,60.0,60.0,5013.7,[],,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0113,2022-11-30 18:20:04
,wl-html-keyboard-response,2,22604,0.0-2.0-0.0,0.0,3.0,,,,,,,,9824.300000071526,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0113,2022-11-30 18:20:04
,wl-rdm,3,29672,0.0-3.0-0.0,0.0,4.0,,,,,,,[],,,,0.0,0.0,87.9,0.0,u,0.0,True,1456.3999999761581,88.0,60.0,40.0,False,,3000.0,[],"[512, 361.5]",ColorTask_Demo,,,,,HRV,HRV_0113,2022-11-30 18:20:04
,wl-rdm,4,34537,0.0-3.0-1.0,0.0,5.0,,,,,,,[],,,,0.0,0.0,87.9,1.0,i,1.0,True,739.0000001192093,45.0,60.0,40.0,False,,2000.0,[],"[512, 361.5]",ColorTask_Demo,,,,,HRV,HRV_0113,2022-11-30 18:20:04
,wl-html-keyboard-response,5,38434,0.0-3.0-2.0,0.0,6.0,,,,,,,,1886.5,0.0,1,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0113,2022-11-30 18:20:04
,wl-html-keyboard-response,6,47384,0.0-4.0-0.0,0.0,7.0,,,,,,,,6932.300000071526,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0113,2022-11-30 18:20:04
,wl-html-keyboard-response,7,55583,0.0-5.0-0.0,0.0,8.0,,,,,,,,6181.400000095367,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0113,2022-11-30 18:20:04
,wl-rdm,8,58329,0.0-6.0-0.0,0.0,9.0,,,,,,,[],,,,,,53.2,0.0,i,1.0,False,1403.7999999523163,85.0,60.0,40.0,False,,267.43260450097665,[],"[512, 361.5]",ColorTask,-1.0,1.0,,,HRV,HRV_0113,2022-11-30 18:20:04
,wl-rdm,9,60512,0.0-6.1-0.1,0.0,10.0,,,,,,,[],,,,,,62.5,1.0,i,1.0,True,760.2000000476837,46.0,60.0,40.0,False,,333.7501076956104,[],"[512, 361.5]",ColorTask,0.0,2.0,,,HRV,HRV_0113,2022-11-30 18:20:04
