success,trial_type,trial_index,time_elapsed,internal_node_id,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,rt,block,button_pressed,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,missTrial,missTrialMsg,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
True,fullscreen,0,2121,0.0-0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0051,2022-11-30 17:59:36
,wl-check-fps,1,7125,0.0-1.0,0.0,2.0,"[2498.3, 2504.6, 2532.2, 2547.9, 2564.2, 2581.1, 2597.7, 2614.2, 2631.1, 2647.8, 2664.6, 2681.1, 2697.8, 2714.5, 2731, 2747.7, 2764.4, 2781.2, 2797.8, 2814.4, 2831.6, 2847.8, 2864.4, 2881, 2897.9, 2914.5, 2931, 2947.7, 2964.3, 2981, 2997.7, 3014.3, 3031, 3047.4, 3064.1, 3080.8, 3097.6, 3114.2, 3131, 3147.5, 3164.2, 3180.9, 3197.6, 3214.2, 3230.9, 3247.4, 3264, 3280.7, 3297.4, 3314, 3330.7, 3347.4, 3364, 3380.7, 3397.4, 3414.1, 3430.7, 3447.3, 3464, 3480.7, 3497.3, 3514, 3530.6, 3547.4, 3564, 3580.7, 3597.3, 3614.1, 3630.6, 3647.3, 3664, 3680.6, 3697.3, 3713.9, 3730.6, 3747.3, 3764, 3780.5, 3797.3, 3814, 3830.6, 3847.2, 3863.9, 3880.5, 3897.2, 3913.9, 3930.5, 3947.2, 3963.8, 3980.5, 3997.2, 4013.8, 4030.6, 4047.2, 4063.9, 4080.5, 4097.1, 4113.7, 4130.4, 4147.2, 4163.8, 4180.5, 4197, 4213.7, 4230.4, 4247.1, 4263.7, 4280.4, 4297, 4313.8, 4330.4, 4347.1, 4363.8, 4380.4, 4397.1, 4413.7, 4430.4, 4447.1, 4463.7, 4480.4, 4497, 4513.6, 4530.3, 4547, 4563.5, 4580.3, 4597, 4613.6, 4630.3, 4646.9, 4663.7, 4680.3, 4696.9, 4713.6, 4730.3, 4746.9, 4763.5, 4780.8, 4796.9, 4813.6, 4830.2, 4847, 4863.5, 4880.2, 4897.1, 4913.7, 4930.1, 4946.8, 4963.5, 4980.1, 4996.9, 5013.5, 5030.2, 5046.8, 5063.4, 5080.1, 5096.8, 5113.5, 5130, 5146.7, 5163.3, 5180.1, 5196.8, 5213.4, 5230, 5246.7, 5263.4, 5280.1, 5296.7, 5313.3, 5330, 5346.7, 5363.3, 5380, 5396.7, 5413.3, 5430, 5446.6, 5463.3, 5480, 5496.6, 5513.3, 5530, 5546.7, 5563.2, 5579.9, 5596.6, 5613.3, 5629.9, 5646.6, 5663.2, 5679.9, 5696.6, 5713.2, 5730, 5746.6, 5763.2, 5779.8, 5796.5, 5813.2, 5829.8, 5846.6, 5863.2, 5879.8, 5896.6, 5913.1, 5929.8, 5946.5, 5963.1, 5979.8, 5996.5, 6013.2, 6029.8, 6046.5, 6063.1, 6079.8, 6096.4, 6113.1, 6129.7, 6146.5, 6162.9, 6179.6, 6196.4, 6213, 6229.7, 6246.3, 6263.1, 6279.7, 6296.3, 6313, 6329.6, 6346.3, 6362.9, 6379.7, 6396.3, 6413, 6429.6, 6446.3, 6462.9, 6479.6, 6496.2, 6512.9, 6529.6, 6546.3, 6562.8, 6579.5, 6596.1, 6612.9, 6629.5, 6646.2, 6662.9, 6679.6, 6696.2, 6712.9, 6730, 6746.2, 6762.8, 6779.5, 6796.1, 6812.8, 6829.5, 6846.2, 6862.8, 6879.5, 6896.3, 6912.9, 6929.5, 6946.2, 6962.7, 6979.4, 6996.1, 7012.8, 7029.4, 7046.1, 7062.7, 7079.4, 7096.1, 7112.7, 7129.4, 7146.1, 7162.7, 7179.3, 7196.1, 7212.7, 7229.3, 7246, 7262.7, 7279.3, 7295.9, 7312.7, 7329.3, 7345.9, 7362.6, 7379.2, 7396, 7412.7, 7429.3, 7446, 7462.5, 7479.3]","[2, 6.3, 27.6, 15.7, 16.3, 16.9, 16.6, 16.5, 16.9, 16.7, 16.8, 16.5, 16.7, 16.7, 16.5, 16.7, 16.7, 16.8, 16.6, 16.6, 17.2, 16.2, 16.6, 16.6, 16.9, 16.6, 16.5, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.4, 16.7, 16.7, 16.8, 16.6, 16.8, 16.5, 16.7, 16.7, 16.7, 16.6, 16.7, 16.5, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.6, 16.6, 16.7, 16.7, 16.6, 16.7, 16.6, 16.8, 16.6, 16.7, 16.6, 16.8, 16.5, 16.7, 16.7, 16.6, 16.7, 16.6, 16.7, 16.7, 16.7, 16.5, 16.8, 16.7, 16.6, 16.6, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.6, 16.7, 16.7, 16.6, 16.8, 16.6, 16.7, 16.6, 16.6, 16.6, 16.7, 16.8, 16.6, 16.7, 16.5, 16.7, 16.7, 16.7, 16.6, 16.7, 16.6, 16.8, 16.6, 16.7, 16.7, 16.6, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.6, 16.6, 16.7, 16.7, 16.5, 16.8, 16.7, 16.6, 16.7, 16.6, 16.8, 16.6, 16.6, 16.7, 16.7, 16.6, 16.6, 17.3, 16.1, 16.7, 16.6, 16.8, 16.5, 16.7, 16.9, 16.6, 16.4, 16.7, 16.7, 16.6, 16.8, 16.6, 16.7, 16.6, 16.6, 16.7, 16.7, 16.7, 16.5, 16.7, 16.6, 16.8, 16.7, 16.6, 16.6, 16.7, 16.7, 16.7, 16.6, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.5, 16.7, 16.7, 16.7, 16.6, 16.7, 16.6, 16.7, 16.7, 16.6, 16.8, 16.6, 16.6, 16.6, 16.7, 16.7, 16.6, 16.8, 16.6, 16.6, 16.8, 16.5, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.6, 16.7, 16.6, 16.7, 16.6, 16.7, 16.6, 16.8, 16.4, 16.7, 16.8, 16.6, 16.7, 16.6, 16.8, 16.6, 16.6, 16.7, 16.6, 16.7, 16.6, 16.8, 16.6, 16.7, 16.6, 16.7, 16.6, 16.7, 16.6, 16.7, 16.7, 16.7, 16.5, 16.7, 16.6, 16.8, 16.6, 16.7, 16.7, 16.7, 16.6, 16.7, 17.1, 16.2, 16.6, 16.7, 16.6, 16.7, 16.7, 16.7, 16.6, 16.7, 16.8, 16.6, 16.6, 16.7, 16.5, 16.7, 16.7, 16.7, 16.6, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.6, 16.6, 16.8, 16.6, 16.6, 16.7, 16.7, 16.6, 16.6, 16.8, 16.6, 16.6, 16.7, 16.6, 16.8, 16.7, 16.6, 16.7, 16.5, 16.8]",60.0,60.0,60.0,4999.7,[],,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0051,2022-11-30 17:59:36
,wl-html-keyboard-response,2,22444,0.0-2.0-0.0,0.0,3.0,,,,,,,,13307.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0051,2022-11-30 17:59:36
,wl-rdm,3,30368,0.0-3.0-0.0,0.0,4.0,,,,,,,[],,,,0.0,0.0,87.9,0.0,u,0.0,True,2323.7999999970198,140.0,60.0,40.0,False,,3000.0,[],"[640, 512]",ColorTask_Demo,,,,,HRV,HRV_0051,2022-11-30 17:59:36
,wl-rdm,4,36716,0.0-3.0-1.0,0.0,5.0,,,,,,,[],,,,0.0,0.0,87.9,1.0,i,1.0,True,2257.0,136.0,60.0,40.0,False,,2000.0,[],"[640, 512]",ColorTask_Demo,,,,,HRV,HRV_0051,2022-11-30 17:59:36
,wl-html-keyboard-response,5,44172,0.0-3.0-2.0,0.0,6.0,,,,,,,,5447.79999999702,0.0,1,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0051,2022-11-30 17:59:36
,wl-html-keyboard-response,6,53772,0.0-4.0-0.0,0.0,7.0,,,,,,,,7590.9000000059605,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0051,2022-11-30 17:59:36
,wl-html-keyboard-response,7,68188,0.0-5.0-0.0,0.0,8.0,,,,,,,,12408.199999988079,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0051,2022-11-30 17:59:36
,wl-rdm,8,70232,0.0-6.0-0.0,0.0,9.0,,,,,,,[],,,,,,56.4,1.0,i,1.0,True,736.9000000059605,45.0,60.0,40.0,False,,217.26035984149703,[],"[640, 512]",ColorTask,1.0,1.0,,,HRV,HRV_0051,2022-11-30 17:59:36
,wl-rdm,9,72315,0.0-6.1-0.1,0.0,10.0,,,,,,,[],,,,,,50.0,0.0,i,1.0,False,607.9000000059605,37.0,60.0,40.0,False,,393.5032893721201,[],"[640, 512]",ColorTask,0.0,2.0,,,HRV,HRV_0051,2022-11-30 17:59:36
