trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,trialEvents,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'bagel plain', 'src': '/static/foodstim60/bagel plain.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 4681, 'positionName': 'LEFT', 'positionCoords': [245.68, 179], 'bid': 1.32}, {'imgObject': {}, 'id': 'fried eggs', 'src': '/static/foodstim60/fried eggs.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 4898, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 4.22}]",6831,1669833812590,bagel plain,fried eggs,1.32,4.22,2.8999999999999995,bagel plain,1068,1069,1069.0,True,u,8404,1573,1669833814163,1573,,HRV,HRV_0195,2022-11-30 18:46:08
1,"[{'imgObject': {}, 'id': 'rigatoni', 'src': '/static/foodstim60/rigatoni.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 4914, 'positionName': 'LEFT', 'positionCoords': [244.68, 178.5], 'bid': 8.89}, {'imgObject': {}, 'id': 'pear', 'src': '/static/foodstim60/pear.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 4930, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 9.83}]",8404,1669833814163,rigatoni,pear,8.89,9.83,0.9399999999999995,rigatoni,143,143,143.0,True,u,9057,653,1669833814816,653,,HRV,HRV_0195,2022-11-30 18:46:08
2,"[{'imgObject': {}, 'id': 'eggsalad', 'src': '/static/foodstim60/eggsalad.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 4930, 'positionName': 'LEFT', 'positionCoords': [245.68, 179.5], 'bid': 4.45}, {'imgObject': {}, 'id': 'hotdog w must', 'src': '/static/foodstim60/hotdog w must.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 4978, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179.5], 'bid': 4.5600000000000005}]",9057,1669833814816,eggsalad,hotdog w must,4.45,4.5600000000000005,0.11000000000000032,eggsalad,56,56,56.0,True,u,9620,563,1669833815379,563,,HRV,HRV_0195,2022-11-30 18:46:08
3,"[{'imgObject': {}, 'id': 'fried eggs', 'src': '/static/foodstim60/fried eggs.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 4898, 'positionName': 'LEFT', 'positionCoords': [245.68, 179], 'bid': 4.22}, {'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 5019, 'positionName': 'RIGHT', 'positionCoords': [710.32, 178.5], 'bid': 3.97}]",9620,1669833815379,fried eggs,Grapes,4.22,3.97,-0.24999999999999956,fried eggs,126,127,127.0,True,u,10267,647,1669833816026,647,,HRV,HRV_0195,2022-11-30 18:46:08
4,"[{'imgObject': {}, 'id': 'tacos', 'src': '/static/foodstim60/tacos.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 5021, 'positionName': 'LEFT', 'positionCoords': [244.68, 178.5], 'bid': 3.79}, {'imgObject': {}, 'id': 'luckycharms', 'src': '/static/foodstim60/luckycharms.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 5029, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179.5], 'bid': 3.5700000000000003}]",10267,1669833816026,tacos,luckycharms,3.79,3.5700000000000003,-0.21999999999999975,tacos,79,80,80.0,True,u,10866,599,1669833816625,599,,HRV,HRV_0195,2022-11-30 18:46:08
5,"[{'imgObject': {}, 'id': 'luckycharms', 'src': '/static/foodstim60/luckycharms.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 5034, 'positionName': 'LEFT', 'positionCoords': [245.68, 179.5], 'bid': 3.5700000000000003}, {'imgObject': {}, 'id': 'banana', 'src': '/static/foodstim60/banana.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 5039, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 3.06}]",10866,1669833816625,luckycharms,banana,3.5700000000000003,3.06,-0.5100000000000002,banana,346,346,346.0,True,i,11733,867,1669833817492,867,,HRV,HRV_0195,2022-11-30 18:46:08
6,"[{'imgObject': {}, 'id': 'mashed potato', 'src': '/static/foodstim60/mashed potato.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 5079, 'positionName': 'LEFT', 'positionCoords': [246.68, 179.5], 'bid': 7.59}, {'imgObject': {}, 'id': 'burger', 'src': '/static/foodstim60/burger.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 5079, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179.5], 'bid': 8.03}]",11733,1669833817492,mashed potato,burger,7.59,8.03,0.4399999999999995,mashed potato,13,13,13.0,True,u,12254,521,1669833818013,521,,HRV,HRV_0195,2022-11-30 18:46:08
7,"[{'imgObject': {}, 'id': 'banana', 'src': '/static/foodstim60/banana.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 5042, 'positionName': 'LEFT', 'positionCoords': [245.68, 179], 'bid': 3.06}, {'imgObject': {}, 'id': 'hotdog w must', 'src': '/static/foodstim60/hotdog w must.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 4978, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179.5], 'bid': 4.5600000000000005}]",12254,1669833818013,banana,hotdog w must,3.06,4.5600000000000005,1.5000000000000004,hotdog w must,22,22,22.0,True,i,12784,530,1669833818543,530,,HRV,HRV_0195,2022-11-30 18:46:08
8,"[{'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 5095, 'positionName': 'LEFT', 'positionCoords': [246.68, 179], 'bid': 3.34}, {'imgObject': {}, 'id': 'cocktailshrimp', 'src': '/static/foodstim60/cocktailshrimp.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 5095, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 0.81}]",12784,1669833818543,apple slices,cocktailshrimp,3.34,0.81,-2.53,apple slices,47,47,47.0,True,u,13335,551,1669833819094,551,,HRV,HRV_0195,2022-11-30 18:46:08
9,"[{'imgObject': {}, 'id': 'burger', 'src': '/static/foodstim60/burger.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 5079, 'positionName': 'LEFT', 'positionCoords': [246.68, 179.5], 'bid': 8.03}, {'imgObject': {}, 'id': 'salad w chicken', 'src': '/static/foodstim60/salad w chicken.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 5126, 'positionName': 'RIGHT', 'positionCoords': [710.32, 178.5], 'bid': 8.66}]",13335,1669833819094,burger,salad w chicken,8.03,8.66,0.6300000000000008,burger,107,107,107.0,True,u,13968,633,1669833819727,633,,HRV,HRV_0195,2022-11-30 18:46:08
10,"[{'imgObject': {}, 'id': 'froot loops w milk', 'src': '/static/foodstim60/froot loops w milk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 10, 'loaded': True, 'loadedTime': 5126, 'positionName': 'LEFT', 'positionCoords': [245.68, 179], 'bid': 5.32}, {'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 10, 'loaded': True, 'loadedTime': 5142, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 5.13}]",13968,1669833819727,froot loops w milk,yogurt no spoon,5.32,5.13,-0.1900000000000004,froot loops w milk,143,143,143.0,True,u,14617,649,1669833820376,649,,HRV,HRV_0195,2022-11-30 18:46:08
11,"[{'imgObject': {}, 'id': 'salad w chicken', 'src': '/static/foodstim60/salad w chicken.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 11, 'loaded': True, 'loadedTime': 5126, 'positionName': 'LEFT', 'positionCoords': [244.68, 178.5], 'bid': 8.66}, {'imgObject': {}, 'id': 'corn cob', 'src': '/static/foodstim60/corn cob.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 11, 'loaded': True, 'loadedTime': 5142, 'positionName': 'RIGHT', 'positionCoords': [710.32, 178.5], 'bid': 9.83}]",14617,1669833820376,salad w chicken,corn cob,8.66,9.83,1.17,salad w chicken,128,128,128.0,True,u,15251,634,1669833821010,634,,HRV,HRV_0195,2022-11-30 18:46:08
12,"[{'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 12, 'loaded': True, 'loadedTime': 5157, 'positionName': 'LEFT', 'positionCoords': [245.68, 179.5], 'bid': 8.26}, {'imgObject': {}, 'id': 'salad w chicken', 'src': '/static/foodstim60/salad w chicken.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 12, 'loaded': True, 'loadedTime': 5126, 'positionName': 'RIGHT', 'positionCoords': [710.32, 178.5], 'bid': 8.66}]",15251,1669833821010,chicken nuggets2,salad w chicken,8.26,8.66,0.40000000000000036,chicken nuggets2,131,131,131.0,True,u,15890,639,1669833821649,639,,HRV,HRV_0195,2022-11-30 18:46:08
13,"[{'imgObject': {}, 'id': 'luckycharms', 'src': '/static/foodstim60/luckycharms.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 13, 'loaded': True, 'loadedTime': 5037, 'positionName': 'LEFT', 'positionCoords': [245.68, 179.5], 'bid': 3.5700000000000003}, {'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 13, 'loaded': True, 'loadedTime': 5173, 'positionName': 'RIGHT', 'positionCoords': [710.32, 178.5], 'bid': 5.2700000000000005}]",15890,1669833821649,luckycharms,mango,3.5700000000000003,5.2700000000000005,1.7000000000000002,luckycharms,146,146,146.0,True,u,16551,661,1669833822310,661,,HRV,HRV_0195,2022-11-30 18:46:08
14,"[{'imgObject': {}, 'id': 'pear', 'src': '/static/foodstim60/pear.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 14, 'loaded': True, 'loadedTime': 4914, 'positionName': 'LEFT', 'positionCoords': [244.68, 179], 'bid': 9.83}, {'imgObject': {}, 'id': 'corn cob', 'src': '/static/foodstim60/corn cob.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 14, 'loaded': True, 'loadedTime': 5142, 'positionName': 'RIGHT', 'positionCoords': [710.32, 178.5], 'bid': 9.83}]",16551,1669833822310,pear,corn cob,9.83,9.83,0.0,pear,122,122,122.0,True,u,17200,649,1669833822959,649,,HRV,HRV_0195,2022-11-30 18:46:08
15,"[{'imgObject': {}, 'id': 'froot loops w milk', 'src': '/static/foodstim60/froot loops w milk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 15, 'loaded': True, 'loadedTime': 5126, 'positionName': 'LEFT', 'positionCoords': [245.68, 179], 'bid': 5.32}, {'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 15, 'loaded': True, 'loadedTime': 5188, 'positionName': 'RIGHT', 'positionCoords': [710.32, 178.5], 'bid': 7.04}]",17200,1669833822959,froot loops w milk,cherries,5.32,7.04,1.7199999999999998,froot loops w milk,141,141,141.0,True,u,17850,650,1669833823609,650,,HRV,HRV_0195,2022-11-30 18:46:08
16,"[{'imgObject': {}, 'id': 'ice cream sundae 002', 'src': '/static/foodstim60/ice cream sundae 002.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 16, 'loaded': True, 'loadedTime': 5188, 'positionName': 'LEFT', 'positionCoords': [246.68, 179.5], 'bid': 6.66}, {'imgObject': {}, 'id': 'fruitsalad', 'src': '/static/foodstim60/fruitsalad.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 16, 'loaded': True, 'loadedTime': 5204, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 8.17}]",17850,1669833823609,ice cream sundae 002,fruitsalad,6.66,8.17,1.5099999999999998,ice cream sundae 002,126,126,126.0,True,u,18484,634,1669833824243,634,,HRV,HRV_0195,2022-11-30 18:46:08
