trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,trialEvents,exp,subjectId,date
134,"[{'imgObject': {}, 'id': 'lox', 'src': '/static/foodstim60/lox.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 134, 'loaded': True, 'loadedTime': 2545.899999976158, 'positionName': 'LEFT', 'positionCoords': [818.8, 514.5], 'bid': 1.17}, {'imgObject': {}, 'id': 'grilled chicken strips', 'src': '/static/foodstim60/grilled chicken strips.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 134, 'loaded': True, 'loadedTime': 2773.8000000715256, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 514.5], 'bid': 6.1000000000000005}]",234662.20000004768,1669831260171,lox,grilled chicken strips,1.17,6.1000000000000005,4.930000000000001,grilled chicken strips,882.5,883,882.8999999761581,True,i,236056.89999997616,1394.6999999284744,1669831261566,1395,,HRV,HRV_0160,2022-11-30 18:02:19
135,"[{'imgObject': {}, 'id': 'kiwi', 'src': '/static/foodstim60/kiwi.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 135, 'loaded': True, 'loadedTime': 2535.5, 'positionName': 'LEFT', 'positionCoords': [818.8, 515], 'bid': 4.98}, {'imgObject': {}, 'id': 'baked potato', 'src': '/static/foodstim60/baked potato.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 135, 'loaded': True, 'loadedTime': 3138.5, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515], 'bid': 2.93}]",236057.10000002384,1669831261566,kiwi,baked potato,4.98,2.93,-2.0500000000000003,kiwi,1508.3999999761581,1509,1509.1000000238419,True,u,238078.60000002384,2021.5,1669831263588,2022,,HRV,HRV_0160,2022-11-30 18:02:19
136,"[{'imgObject': {}, 'id': 'bagel plain', 'src': '/static/foodstim60/bagel plain.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 136, 'loaded': True, 'loadedTime': 2584, 'positionName': 'LEFT', 'positionCoords': [818.8, 515], 'bid': 7.92}, {'imgObject': {}, 'id': 'hotdog w must', 'src': '/static/foodstim60/hotdog w must.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 136, 'loaded': True, 'loadedTime': 2577.399999976158, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515.5], 'bid': 5.37}]",238078.80000007153,1669831263588,bagel plain,hotdog w must,7.92,5.37,-2.55,bagel plain,1335.1999999284744,1335,1335.3999999761581,True,u,239919.10000002384,1840.2999999523163,1669831265428,1840,,HRV,HRV_0160,2022-11-30 18:02:19
137,"[{'imgObject': {}, 'id': 'bagel plain', 'src': '/static/foodstim60/bagel plain.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 137, 'loaded': True, 'loadedTime': 2585.5, 'positionName': 'LEFT', 'positionCoords': [818.8, 515], 'bid': 7.92}, {'imgObject': {}, 'id': 'cantaloupe', 'src': '/static/foodstim60/cantaloupe.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 137, 'loaded': True, 'loadedTime': 3114.8000000715256, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515.5], 'bid': 9.32}]",239919.20000004768,1669831265428,bagel plain,cantaloupe,7.92,9.32,1.4000000000000004,cantaloupe,728.6000000238419,730,729.2999999523163,True,i,241160.5,1241.2999999523163,1669831266670,1242,,HRV,HRV_0160,2022-11-30 18:02:19
138,"[{'imgObject': {}, 'id': 'cocktailshrimp', 'src': '/static/foodstim60/cocktailshrimp.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 138, 'loaded': True, 'loadedTime': 3166.7000000476837, 'positionName': 'LEFT', 'positionCoords': [818.8, 515], 'bid': 1.53}, {'imgObject': {}, 'id': 'ice cream sundae 002', 'src': '/static/foodstim60/ice cream sundae 002.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 138, 'loaded': True, 'loadedTime': 2972, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515.5], 'bid': 1.27}]",241160.70000004768,1669831266670,cocktailshrimp,ice cream sundae 002,1.53,1.27,-0.26,ice cream sundae 002,1722.0,1723,1722.6999999284744,True,i,243399.80000007153,2239.100000023842,1669831268909,2239,,HRV,HRV_0160,2022-11-30 18:02:19
139,"[{'imgObject': {}, 'id': 'hashbrowns', 'src': '/static/foodstim60/hashbrowns.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 139, 'loaded': True, 'loadedTime': 2579.5, 'positionName': 'LEFT', 'positionCoords': [817.8, 515], 'bid': 2.89}, {'imgObject': {}, 'id': 'veggieswithdip', 'src': '/static/foodstim60/veggieswithdip.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 139, 'loaded': True, 'loadedTime': 2949.600000023842, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515.5], 'bid': 3.01}]",243400.0,1669831268909,hashbrowns,veggieswithdip,2.89,3.01,0.11999999999999966,hashbrowns,953.1000000238419,954,953.3999999761581,True,u,244869.10000002384,1469.1000000238419,1669831270379,1470,,HRV,HRV_0160,2022-11-30 18:02:19
140,"[{'imgObject': {}, 'id': 'chickenfingers', 'src': '/static/foodstim60/chickenfingers.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 140, 'loaded': True, 'loadedTime': 3112.8000000715256, 'positionName': 'LEFT', 'positionCoords': [818.8, 515], 'bid': 2.21}, {'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 140, 'loaded': True, 'loadedTime': 3033.899999976158, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 514.5], 'bid': 7.09}]",244869.20000004768,1669831270379,chickenfingers,Grapes,2.21,7.09,4.88,chickenfingers,710.6999999284744,711,711.0,True,u,246099.39999997616,1230.1999999284744,1669831271609,1230,,HRV,HRV_0160,2022-11-30 18:02:19
141,"[{'imgObject': {}, 'id': 'bagel plain', 'src': '/static/foodstim60/bagel plain.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 141, 'loaded': True, 'loadedTime': 2585.7000000476837, 'positionName': 'LEFT', 'positionCoords': [818.8, 515], 'bid': 7.92}, {'imgObject': {}, 'id': 'roastedpotatoes', 'src': '/static/foodstim60/roastedpotatoes.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 141, 'loaded': True, 'loadedTime': 2772.3000000715256, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515], 'bid': 8.540000000000001}]",246099.60000002384,1669831271609,bagel plain,roastedpotatoes,7.92,8.540000000000001,0.620000000000001,roastedpotatoes,605.8999999761581,607,606.5,True,i,247216.20000004768,1116.6000000238419,1669831272726,1117,,HRV,HRV_0160,2022-11-30 18:02:19
142,"[{'imgObject': {}, 'id': 'avocado', 'src': '/static/foodstim60/avocado.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 142, 'loaded': True, 'loadedTime': 2717.100000023842, 'positionName': 'LEFT', 'positionCoords': [819.8, 515.5], 'bid': 2.22}, {'imgObject': {}, 'id': 'hashbrowns', 'src': '/static/foodstim60/hashbrowns.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 142, 'loaded': True, 'loadedTime': 2579.100000023842, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515], 'bid': 2.89}]",247216.5,1669831272726,avocado,hashbrowns,2.22,2.89,0.6699999999999999,avocado,1160.3999999761581,1161,1161.0,True,u,248888.80000007153,1672.3000000715256,1669831274398,1672,,HRV,HRV_0160,2022-11-30 18:02:19
143,"[{'imgObject': {}, 'id': 'eggsalad', 'src': '/static/foodstim60/eggsalad.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 143, 'loaded': True, 'loadedTime': 3113.8000000715256, 'positionName': 'LEFT', 'positionCoords': [818.8, 515.5], 'bid': 4.34}, {'imgObject': {}, 'id': 'turkeysandwich', 'src': '/static/foodstim60/turkeysandwich.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 143, 'loaded': True, 'loadedTime': 2573.100000023842, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515.5], 'bid': 5.5}]",248888.89999997616,1669831274398,eggsalad,turkeysandwich,4.34,5.5,1.1600000000000001,turkeysandwich,1033.8000000715256,1035,1034.4000000953674,True,i,250435.89999997616,1547.0,1669831275945,1547,,HRV,HRV_0160,2022-11-30 18:02:19
