success,trial_type,trial_index,time_elapsed,internal_node_id,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,rt,block,button_pressed,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,missTrial,missTrialMsg,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
True,fullscreen,0,2506,0.0-0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0221,2022-11-30 19:18:30
,wl-check-fps,1,7522,0.0-1.0,0.0,2.0,"[3640.2, 3643, 3656, 3671, 3690.9, 3707.3, 3722.8, 3740.1, 3755.6, 3771.6, 3789.5, 3803.9, 3820.6, 3837.5, 3853.9, 3870.3, 3886.8, 3903.5, 3920.3, 3936.8, 3953.6, 3970.3, 3987.1, 4003.5, 4020.3, 4036.8, 4053.6, 4070.1, 4087.2, 4103.6, 4120.1, 4136.8, 4153.4, 4170, 4186.8, 4203.3, 4220, 4236.7, 4253.6, 4270.5, 4287.2, 4303.4, 4320.1, 4337, 4353.3, 4370.5, 4387.3, 4403.7, 4420.1, 4436.9, 4453.7, 4470.3, 4487, 4503.7, 4520.3, 4536.9, 4553.4, 4569.9, 4586.9, 4603.6, 4620.3, 4637, 4653.6, 4670.2, 4687, 4703.7, 4720, 4737.1, 4756.6, 4770.2, 4786.8, 4810.2, 4819.9, 4836.8, 4853.4, 4870.1, 4886.9, 4903.7, 4920.4, 4937, 4953.6, 4970.5, 4988.1, 5020.3, 5037.1, 5053.4, 5070.3, 5086.9, 5103.5, 5120.3, 5136.9, 5153.2, 5170.1, 5186.9, 5203.6, 5220, 5237.1, 5253.3, 5270.2, 5287, 5303.6, 5320.2, 5337, 5353.2, 5370, 5386.8, 5403.5, 5420.1, 5436.9, 5453.5, 5470.2, 5486.7, 5503.5, 5520.1, 5536.7, 5553.3, 5570.2, 5586.8, 5603.4, 5620, 5637, 5653.4, 5670, 5686.9, 5703.5, 5720.1, 5736.7, 5753.1, 5770, 5786.8, 5803.3, 5820, 5837, 5853.4, 5870.1, 5887, 5903.2, 5920, 5936.9, 5953, 5970.1, 5986.9, 6003.4, 6020.1, 6037, 6053.4, 6070.2, 6087, 6103.5, 6120.2, 6137, 6153.1, 6169.7, 6186.9, 6203.4, 6220, 6236.7, 6253.6, 6269.8, 6287.1, 6303.4, 6320.1, 6337, 6353.2, 6369.7, 6387, 6403.4, 6420.1, 6436.6, 6453.4, 6470.1, 6487, 6503.3, 6519.9, 6537, 6553.1, 6569.7, 6586.9, 6603.4, 6620, 6636.9, 6653.1, 6669.8, 6686.9, 6710.3, 6719.8, 6736.8, 6753.1, 6769.9, 6786.7, 6811.3, 6820, 6836.9, 6853, 6870.1, 6886.7, 6903.6, 6920, 6936.9, 6952.9, 6969.8, 6986.6, 7003.2, 7020.1, 7038.2, 7053.4, 7070, 7087, 7103.2, 7119.6, 7136.7, 7153.2, 7169.8, 7186.6, 7203.4, 7220, 7236.7, 7253.4, 7270, 7287.2, 7304.2, 7320.2, 7337.8, 7353, 7370.7, 7387.6, 7403.3, 7420.2, 7437.3, 7453.3, 7470.1, 7487.1, 7504.3, 7522.5, 7538.6, 7557.1, 7571.7, 7587.8, 7604.7, 7621, 7636.8, 7653.3, 7670.2, 7687, 7703.9, 7720, 7737.4, 7753.1, 7769.8, 7787.7, 7803.4, 7819.9, 7837.1, 7853.4, 7870, 7887.1, 7904.1, 7920.1, 7936.8, 7953.1, 7969.9, 7987.1, 8003.1, 8019.4, 8036.5, 8055.6, 8072.4, 8088.9, 8105.6, 8122.3, 8138.8, 8155.2, 8172.5, 8188.9, 8205.8, 8221.8, 8239.1, 8255.5, 8272.4, 8288.7, 8305.1, 8322.4, 8339.3, 8356.5, 8372.6, 8389.3, 8405.3, 8422.1, 8439, 8455.7, 8472.4, 8488.7, 8505.8, 8522.5, 8538.9, 8555.5, 8572.4, 8589, 8605.8, 8622]","[11.6, 2.8, 13, 15, 19.9, 16.4, 15.5, 17.3, 15.5, 16, 17.9, 14.4, 16.7, 16.9, 16.4, 16.4, 16.5, 16.7, 16.8, 16.5, 16.8, 16.7, 16.8, 16.4, 16.8, 16.5, 16.8, 16.5, 17.1, 16.4, 16.5, 16.7, 16.6, 16.6, 16.8, 16.5, 16.7, 16.7, 16.9, 16.9, 16.7, 16.2, 16.7, 16.9, 16.3, 17.2, 16.8, 16.4, 16.4, 16.8, 16.8, 16.6, 16.7, 16.7, 16.6, 16.6, 16.5, 16.5, 17, 16.7, 16.7, 16.7, 16.6, 16.6, 16.8, 16.7, 16.3, 17.1, 19.5, 13.6, 16.6, 23.4, 9.7, 16.9, 16.6, 16.7, 16.8, 16.8, 16.7, 16.6, 16.6, 16.9, 17.6, 32.2, 16.8, 16.3, 16.9, 16.6, 16.6, 16.8, 16.6, 16.3, 16.9, 16.8, 16.7, 16.4, 17.1, 16.2, 16.9, 16.8, 16.6, 16.6, 16.8, 16.2, 16.8, 16.8, 16.7, 16.6, 16.8, 16.6, 16.7, 16.5, 16.8, 16.6, 16.6, 16.6, 16.9, 16.6, 16.6, 16.6, 17, 16.4, 16.6, 16.9, 16.6, 16.6, 16.6, 16.4, 16.9, 16.8, 16.5, 16.7, 17, 16.4, 16.7, 16.9, 16.2, 16.8, 16.9, 16.1, 17.1, 16.8, 16.5, 16.7, 16.9, 16.4, 16.8, 16.8, 16.5, 16.7, 16.8, 16.1, 16.6, 17.2, 16.5, 16.6, 16.7, 16.9, 16.2, 17.3, 16.3, 16.7, 16.9, 16.2, 16.5, 17.3, 16.4, 16.7, 16.5, 16.8, 16.7, 16.9, 16.3, 16.6, 17.1, 16.1, 16.6, 17.2, 16.5, 16.6, 16.9, 16.2, 16.7, 17.1, 23.4, 9.5, 17, 16.3, 16.8, 16.8, 24.6, 8.7, 16.9, 16.1, 17.1, 16.6, 16.9, 16.4, 16.9, 16, 16.9, 16.8, 16.6, 16.9, 18.1, 15.2, 16.6, 17, 16.2, 16.4, 17.1, 16.5, 16.6, 16.8, 16.8, 16.6, 16.7, 16.7, 16.6, 17.2, 17, 16, 17.6, 15.2, 17.7, 16.9, 15.7, 16.9, 17.1, 16, 16.8, 17, 17.2, 18.2, 16.1, 18.5, 14.6, 16.1, 16.9, 16.3, 15.8, 16.5, 16.9, 16.8, 16.9, 16.1, 17.4, 15.7, 16.7, 17.9, 15.7, 16.5, 17.2, 16.3, 16.6, 17.1, 17, 16, 16.7, 16.3, 16.8, 17.2, 16, 16.3, 17.1, 19.1, 16.8, 16.5, 16.7, 16.7, 16.5, 16.4, 17.3, 16.4, 16.9, 16, 17.3, 16.4, 16.9, 16.3, 16.4, 17.3, 16.9, 17.2, 16.1, 16.7, 16, 16.8, 16.9, 16.7, 16.7, 16.3, 17.1, 16.7, 16.4, 16.6, 16.9, 16.6, 16.8, 16.2]",60.0,60.0,60.0,5010.4,[],,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0221,2022-11-30 19:18:30
,wl-html-keyboard-response,2,21882,0.0-2.0-0.0,0.0,3.0,,,,,,,,12348.299999982119,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0221,2022-11-30 19:18:30
,wl-rdm,3,29234,0.0-3.0-0.0,0.0,4.0,,,,,,,[],,,,0.0,0.0,87.9,0.0,u,0.0,True,1736.5999999940395,105.0,60.0,40.0,False,,3000.0,[],"[768, 432]",ColorTask_Demo,,,,,HRV,HRV_0221,2022-11-30 19:18:30
,wl-rdm,4,34082,0.0-3.0-1.0,0.0,5.0,,,,,,,[],,,,0.0,0.0,87.9,1.0,i,1.0,True,758.0,46.0,60.0,40.0,False,,2000.0,[],"[768, 432]",ColorTask_Demo,,,,,HRV,HRV_0221,2022-11-30 19:18:30
,wl-html-keyboard-response,5,38778,0.0-3.0-2.0,0.0,6.0,,,,,,,,2686.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0221,2022-11-30 19:18:30
,wl-html-keyboard-response,6,46065,0.0-4.0-0.0,0.0,7.0,,,,,,,,5279.0999999940395,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0221,2022-11-30 19:18:30
,wl-html-keyboard-response,7,67693,0.0-5.0-0.0,0.0,8.0,,,,,,,,19622.40000000596,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0221,2022-11-30 19:18:30
,wl-rdm,8,70245,0.0-6.0-0.0,0.0,9.0,,,,,,,[],,,,,,56.4,0.0,u,0.0,True,1161.0,70.0,60.0,40.0,False,,314.4782871943993,[],"[768, 432]",ColorTask,1.0,1.0,,,HRV,HRV_0221,2022-11-30 19:18:30
,wl-rdm,9,72644,0.0-6.1-0.1,0.0,10.0,,,,,,,[],,,,,,56.4,0.0,u,0.0,True,1106.5,67.0,60.0,40.0,False,,205.0091721759925,[],"[768, 432]",ColorTask,2.0,2.0,,,HRV,HRV_0221,2022-11-30 19:18:30
