trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,trialEvents,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'blueberries', 'src': '/static/foodstim60/blueberries.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 3745.2000000029802, 'positionName': 'LEFT', 'positionCoords': [357, 244.5], 'bid': 6.07}, {'imgObject': {}, 'id': 'rigatoni', 'src': '/static/foodstim60/rigatoni.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 3745.5, 'positionName': 'RIGHT', 'positionCoords': [832, 244.5], 'bid': 5.48}]",3782.1000000089407,1669831298730,blueberries,rigatoni,6.07,5.48,-0.5899999999999999,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 4038.6000000089407, 'date time': 1669831298986}]",blueberries,1505.3999999910593,1506,1506.2999999970198,True,u,5808.9000000059605,2026.7999999970198,1669831300756,2026,HRV,HRV_0145,2022-11-30 18:06:44
1,"[{'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 5811.300000011921, 'positionName': 'LEFT', 'positionCoords': [358, 189], 'bid': 7.2}, {'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 5811.600000008941, 'positionName': 'RIGHT', 'positionCoords': [832, 190], 'bid': 8.57}]",5809.5,1669831300757,cherries,chicken nuggets2,7.2,8.57,1.37,,chicken nuggets2,1005.1000000089407,1005,1005.3000000119209,True,i,7317.0,1507.5,1669831302265,1508,HRV,HRV_0145,2022-11-30 18:06:44
2,"[{'imgObject': {}, 'id': 'mac & cheese', 'src': '/static/foodstim60/mac & cheese.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 7317.9000000059605, 'positionName': 'LEFT', 'positionCoords': [358, 189.5], 'bid': 4.66}, {'imgObject': {}, 'id': 'granola w milk', 'src': '/static/foodstim60/granola w milk.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 7318, 'positionName': 'RIGHT', 'positionCoords': [832, 189.5], 'bid': 4.73}]",7317.300000011921,1669831302265,mac & cheese,granola w milk,4.66,4.73,0.07000000000000028,,mac & cheese,1010.5999999940395,1011,1011.0,True,u,8843.90000000596,1526.5999999940395,1669831303791,1526,HRV,HRV_0145,2022-11-30 18:06:44
3,"[{'imgObject': {}, 'id': 'chickenfingers', 'src': '/static/foodstim60/chickenfingers.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 8846, 'positionName': 'LEFT', 'positionCoords': [358, 189.5], 'bid': 8.72}, {'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 8846.40000000596, 'positionName': 'RIGHT', 'positionCoords': [832, 190], 'bid': 8.57}]",8844.40000000596,1669831303792,chickenfingers,chicken nuggets2,8.72,8.57,-0.15000000000000036,,chickenfingers,1491,1491,1491.4000000059605,True,u,10839.70000000298,1995.2999999970198,1669831305787,1995,HRV,HRV_0145,2022-11-30 18:06:44
4,"[{'imgObject': {}, 'id': 'luckycharms', 'src': '/static/foodstim60/luckycharms.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 10841.90000000596, 'positionName': 'LEFT', 'positionCoords': [358, 190], 'bid': 6.91}, {'imgObject': {}, 'id': 'strawberries', 'src': '/static/foodstim60/strawberries.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 10842.70000000298, 'positionName': 'RIGHT', 'positionCoords': [832, 189.5], 'bid': 7.86}]",10840.20000000298,1669831305788,luckycharms,strawberries,6.91,7.86,0.9500000000000002,,strawberries,1303.7000000029802,1304,1304.0,True,i,12667.5,1827.2999999970198,1669831307615,1827,HRV,HRV_0145,2022-11-30 18:06:44
5,"[{'imgObject': {}, 'id': 'cantaloupe', 'src': '/static/foodstim60/cantaloupe.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 12669.5, 'positionName': 'LEFT', 'positionCoords': [359, 190], 'bid': 7.01}, {'imgObject': {}, 'id': 'luckycharms', 'src': '/static/foodstim60/luckycharms.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 12669.70000000298, 'positionName': 'RIGHT', 'positionCoords': [832, 190], 'bid': 6.91}]",12668.20000000298,1669831307616,cantaloupe,luckycharms,7.01,6.91,-0.09999999999999964,,cantaloupe,1739.7999999970198,1740,1740.2999999970198,True,u,14923.5,2255.2999999970198,1669831309871,2255,HRV,HRV_0145,2022-11-30 18:06:44
6,"[{'imgObject': {}, 'id': 'turkeysandwich', 'src': '/static/foodstim60/turkeysandwich.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 14924.90000000596, 'positionName': 'LEFT', 'positionCoords': [359, 190], 'bid': 7.22}, {'imgObject': {}, 'id': 'chickenfingers', 'src': '/static/foodstim60/chickenfingers.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 14925.10000000894, 'positionName': 'RIGHT', 'positionCoords': [832, 189.5], 'bid': 8.72}]",14923.800000011921,1669831309871,turkeysandwich,chickenfingers,7.22,8.72,1.5000000000000009,,chickenfingers,932.2999999970198,933,932.6999999880791,True,i,16379.20000000298,1455.3999999910593,1669831311327,1456,HRV,HRV_0145,2022-11-30 18:06:44
7,"[{'imgObject': {}, 'id': 'bagel and cc', 'src': '/static/foodstim60/bagel and cc.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 16382, 'positionName': 'LEFT', 'positionCoords': [358, 189.5], 'bid': 5.05}, {'imgObject': {}, 'id': 'sweetpotato', 'src': '/static/foodstim60/sweetpotato.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 16382.60000000894, 'positionName': 'RIGHT', 'positionCoords': [832, 189.5], 'bid': 1.65}]",16379.90000000596,1669831311327,bagel and cc,sweetpotato,5.05,1.65,-3.4,,bagel and cc,988,989,988.4000000059605,True,u,17886.70000000298,1506.7999999970198,1669831312834,1507,HRV,HRV_0145,2022-11-30 18:06:44
8,"[{'imgObject': {}, 'id': 'kiwi', 'src': '/static/foodstim60/kiwi.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 17887.90000000596, 'positionName': 'LEFT', 'positionCoords': [358, 189.5], 'bid': 6.58}, {'imgObject': {}, 'id': 'avocado', 'src': '/static/foodstim60/avocado.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 17888, 'positionName': 'RIGHT', 'positionCoords': [832, 190], 'bid': 0.42}]",17887.0,1669831312834,kiwi,avocado,6.58,0.42,-6.16,,kiwi,1633,1634,1633.4000000059605,True,u,20040.0,2153.0,1669831314988,2154,HRV,HRV_0145,2022-11-30 18:06:44
9,"[{'imgObject': {}, 'id': 'cherry tomato', 'src': '/static/foodstim60/cherry tomato.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 20042.5, 'positionName': 'LEFT', 'positionCoords': [358, 189.5], 'bid': 2.98}, {'imgObject': {}, 'id': 'edamame', 'src': '/static/foodstim60/edamame.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 20042.90000000596, 'positionName': 'RIGHT', 'positionCoords': [832, 189.5], 'bid': 3.63}]",20040.70000000298,1669831314988,cherry tomato,edamame,2.98,3.63,0.6499999999999999,,cherry tomato,903.2000000029802,904,903.6000000089407,True,u,21459.5,1418.7999999970198,1669831316407,1419,HRV,HRV_0145,2022-11-30 18:06:44
