trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,trialEvents,selected,rsp,rt,rt_UNIX,receivedResponse,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,rt_perfnow,exp,subjectId,date
86,"[{'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 86, 'loaded': True, 'loadedTime': 133443.79999995232, 'positionName': 'LEFT', 'positionCoords': [332.52, 220], 'bid': 5.93}, {'imgObject': {}, 'id': 'omelette', 'src': '/static/foodstim60/omelette.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 86, 'loaded': True, 'loadedTime': 133446, 'positionName': 'RIGHT', 'positionCoords': [805.48, 220.5], 'bid': 7.35}]",133442.40000009537,1669832252198,yogurt no spoon,omelette,5.93,7.35,1.42,,omelette,i,627.7000000476837,628,True,134575.70000004768,1133.2999999523163,1669832253331,1133,628.0,HRV,HRV_0196,2022-11-30 18:23:13
87,"[{'imgObject': {}, 'id': 'shreddedwheatwithmilk', 'src': '/static/foodstim60/shreddedwheatwithmilk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 87, 'loaded': True, 'loadedTime': 134578.29999995232, 'positionName': 'LEFT', 'positionCoords': [333.52, 220], 'bid': 6.3100000000000005}, {'imgObject': {}, 'id': 'fried eggs', 'src': '/static/foodstim60/fried eggs.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 87, 'loaded': True, 'loadedTime': 134581, 'positionName': 'RIGHT', 'positionCoords': [805.48, 220], 'bid': 6.73}]",134576.5,1669832253332,shreddedwheatwithmilk,fried eggs,6.3100000000000005,6.73,0.41999999999999993,,fried eggs,i,732.7000000476837,733,True,135827.5,1251.0,1669832254583,1251,733.2000000476837,HRV,HRV_0196,2022-11-30 18:23:13
88,"[{'imgObject': {}, 'id': 'sushi w_condiments', 'src': '/static/foodstim60/sushi w_condiments.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 88, 'loaded': True, 'loadedTime': 135831.60000014305, 'positionName': 'LEFT', 'positionCoords': [333.52, 220], 'bid': 1.8}, {'imgObject': {}, 'id': 'Tribe humus pita', 'src': '/static/foodstim60/Tribe humus pita.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 88, 'loaded': True, 'loadedTime': 135834.10000014305, 'positionName': 'RIGHT', 'positionCoords': [805.48, 219.5], 'bid': 2.07}]",135828.60000014305,1669832254584,sushi w_condiments,Tribe humus pita,1.8,2.07,0.2699999999999998,,sushi w_condiments,u,889.1999998092651,890,True,137227.0,1398.3999998569489,1669832255983,1399,889.6999998092651,HRV,HRV_0196,2022-11-30 18:23:13
89,"[{'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 89, 'loaded': True, 'loadedTime': 137228.90000009537, 'positionName': 'LEFT', 'positionCoords': [333.52, 219.5], 'bid': 6.05}, {'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 89, 'loaded': True, 'loadedTime': 137232.5, 'positionName': 'RIGHT', 'positionCoords': [805.48, 220.5], 'bid': 7.42}]",137227.60000014305,1669832255984,rigatoni and sauce,turkey sandwich,6.05,7.42,1.37,,turkey sandwich,i,930,930,True,138665.90000009537,1438.2999999523163,1669832257422,1438,930.5999999046326,HRV,HRV_0196,2022-11-30 18:23:13
90,"[{'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 90, 'loaded': True, 'loadedTime': 3729.100000143051, 'positionName': 'LEFT', 'positionCoords': [510.6, 334.5], 'bid': 4.41}, {'imgObject': {}, 'id': 'baked potato', 'src': '/static/foodstim60/baked potato.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 90, 'loaded': True, 'loadedTime': 3730.9000000953674, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335], 'bid': 3.36}]",141917.5,1669832260673,mango,baked potato,4.41,3.36,-1.0500000000000003,"[{'event': 'fullscreenchange', 'details': 'fullscreenenter', 'performance time': 141918.40000009537, 'date time': 1669832260674}, {'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 143885.90000009537, 'date time': 1669832262646}]",mango,u,2649.600000143051,2655,True,145080.70000004768,3163.2000000476837,1669832263840,3167,2650.7999999523163,HRV,HRV_0196,2022-11-30 18:23:13
91,"[{'imgObject': {}, 'id': 'banana', 'src': '/static/foodstim60/banana.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 91, 'loaded': True, 'loadedTime': 145084.70000004768, 'positionName': 'LEFT', 'positionCoords': [333.52, 220], 'bid': 5.49}, {'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 91, 'loaded': True, 'loadedTime': 145087.10000014305, 'positionName': 'RIGHT', 'positionCoords': [805.48, 219.5], 'bid': 6.05}]",145081.70000004768,1669832263841,banana,rigatoni and sauce,5.49,6.05,0.5599999999999996,,rigatoni and sauce,i,596.2000000476837,597,True,146188.79999995232,1107.0999999046326,1669832264948,1107,597.0999999046326,HRV,HRV_0196,2022-11-30 18:23:13
92,"[{'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 92, 'loaded': True, 'loadedTime': 146193.20000004768, 'positionName': 'LEFT', 'positionCoords': [333.52, 220.5], 'bid': 2.08}, {'imgObject': {}, 'id': 'burrito', 'src': '/static/foodstim60/burrito.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 92, 'loaded': True, 'loadedTime': 146196.60000014305, 'positionName': 'RIGHT', 'positionCoords': [805.48, 220], 'bid': 4.64}]",146190.0,1669832264950,salmon,burrito,2.08,4.64,2.5599999999999996,,burrito,i,631.5,632,True,147339.79999995232,1149.7999999523163,1669832266099,1149,631.9000000953674,HRV,HRV_0196,2022-11-30 18:23:13
93,"[{'imgObject': {}, 'id': 'tacos', 'src': '/static/foodstim60/tacos.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 93, 'loaded': True, 'loadedTime': 147341.5, 'positionName': 'LEFT', 'positionCoords': [332.52, 219.5], 'bid': 6}, {'imgObject': {}, 'id': 'bagel and cc', 'src': '/static/foodstim60/bagel and cc.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 93, 'loaded': True, 'loadedTime': 147344.10000014305, 'positionName': 'RIGHT', 'positionCoords': [805.48, 220], 'bid': 1.62}]",147340.20000004768,1669832266100,tacos,bagel and cc,6.0,1.62,-4.38,,tacos,u,641.7999999523163,643,True,148491.79999995232,1151.5999999046326,1669832267251,1151,642.7000000476837,HRV,HRV_0196,2022-11-30 18:23:13
94,"[{'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 94, 'loaded': True, 'loadedTime': 148496.10000014305, 'positionName': 'LEFT', 'positionCoords': [333.52, 220], 'bid': 7.21}, {'imgObject': {}, 'id': 'orange slices', 'src': '/static/foodstim60/orange slices.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 94, 'loaded': True, 'loadedTime': 148498.5, 'positionName': 'RIGHT', 'positionCoords': [805.48, 220], 'bid': 5.76}]",148492.90000009537,1669832267253,popsicles,orange slices,7.21,5.76,-1.4500000000000002,,popsicles,u,617.0999999046326,617,True,149625.70000004768,1132.7999999523163,1669832268385,1132,617.8999998569489,HRV,HRV_0196,2022-11-30 18:23:13
95,"[{'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 95, 'loaded': True, 'loadedTime': 149629.90000009537, 'positionName': 'LEFT', 'positionCoords': [332.52, 219.5], 'bid': 4.41}, {'imgObject': {}, 'id': 'lox', 'src': '/static/foodstim60/lox.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 95, 'loaded': True, 'loadedTime': 149632, 'positionName': 'RIGHT', 'positionCoords': [805.48, 219.5], 'bid': 1.97}]",149626.79999995232,1669832268386,mango,lox,4.41,1.97,-2.4400000000000004,,mango,u,594.4000000953674,595,True,150734.5,1107.7000000476837,1669832269494,1108,594.7000000476837,HRV,HRV_0196,2022-11-30 18:23:13
