trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,trialEvents,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'froot loops w milk', 'src': '/static/foodstim60/froot loops w milk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 2576.7999999523163, 'positionName': 'LEFT', 'positionCoords': [281.2, 233], 'bid': 0.47}, {'imgObject': {}, 'id': 'cherry tomato', 'src': '/static/foodstim60/cherry tomato.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 2431.399999976158, 'positionName': 'RIGHT', 'positionCoords': [748.8, 233], 'bid': 0.31}]",3412.5999999046326,1669835138716,froot loops w milk,cherry tomato,0.47,0.31,-0.15999999999999998,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 3448.2999999523163, 'date time': 1669835138752}]",cherry tomato,2394.8000000715256,2402,2402.5,True,i,6317.899999976158,2905.3000000715256,1669835141621,2905,HRV,HRV_0234,2022-11-30 19:09:41
1,"[{'imgObject': {}, 'id': 'sushi w_condiments', 'src': '/static/foodstim60/sushi w_condiments.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 6321.199999928474, 'positionName': 'LEFT', 'positionCoords': [247.12, 191], 'bid': 7.49}, {'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 6322.5, 'positionName': 'RIGHT', 'positionCoords': [711.88, 190.5], 'bid': 1.92}]",6318.899999976158,1669835141622,sushi w_condiments,rigatoni and sauce,7.49,1.92,-5.57,,sushi w_condiments,1063.5,1072,1071.6999999284744,True,u,7893.199999928474,1574.2999999523163,1669835143196,1574,HRV,HRV_0234,2022-11-30 19:09:41
2,"[{'imgObject': {}, 'id': 'orange slices', 'src': '/static/foodstim60/orange slices.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 7905.5, 'positionName': 'LEFT', 'positionCoords': [248.12, 191], 'bid': 0.46}, {'imgObject': {}, 'id': 'bagel plain', 'src': '/static/foodstim60/bagel plain.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 7905.899999976158, 'positionName': 'RIGHT', 'positionCoords': [711.88, 191], 'bid': 3.5}]",7895.099999904633,1669835143198,orange slices,bagel plain,0.46,3.5,3.04,,bagel plain,724.8000000715256,732,731.1000000238419,True,i,9128.699999928474,1233.6000000238419,1669835144432,1234,HRV,HRV_0234,2022-11-30 19:09:41
3,"[{'imgObject': {}, 'id': 'luckycharms', 'src': '/static/foodstim60/luckycharms.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 9131.599999904633, 'positionName': 'LEFT', 'positionCoords': [247.12, 191.5], 'bid': 0.25}, {'imgObject': {}, 'id': 'raspberries', 'src': '/static/foodstim60/raspberries.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 9132, 'positionName': 'RIGHT', 'positionCoords': [711.88, 190.5], 'bid': 0.6900000000000001}]",9129.299999952316,1669835144433,luckycharms,raspberries,0.25,0.6900000000000001,0.44000000000000006,,raspberries,1110.7000000476837,1117,1117.6000000238419,True,i,10747.299999952316,1618.0,1669835146051,1618,HRV,HRV_0234,2022-11-30 19:09:41
4,"[{'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 10750.399999976158, 'positionName': 'LEFT', 'positionCoords': [247.12, 190.5], 'bid': 0.4}, {'imgObject': {}, 'id': 'raisin bran w milk', 'src': '/static/foodstim60/raisin bran w milk.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 10751.099999904633, 'positionName': 'RIGHT', 'positionCoords': [711.88, 190.5], 'bid': 0.24}]",10748.199999928474,1669835146052,cherries,raisin bran w milk,0.4,0.24,-0.16000000000000003,,raisin bran w milk,1269,1276,1276.6000000238419,True,i,12529.299999952316,1781.1000000238419,1669835147833,1781,HRV,HRV_0234,2022-11-30 19:09:41
5,"[{'imgObject': {}, 'id': 'hashbrowns', 'src': '/static/foodstim60/hashbrowns.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 12532.299999952316, 'positionName': 'LEFT', 'positionCoords': [246.12, 191], 'bid': 0.49}, {'imgObject': {}, 'id': 'strawberries', 'src': '/static/foodstim60/strawberries.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 12532.599999904633, 'positionName': 'RIGHT', 'positionCoords': [711.88, 191], 'bid': 0.33}]",12530.199999928474,1669835147834,hashbrowns,strawberries,0.49,0.33,-0.15999999999999998,,hashbrowns,1669.7000000476837,1676,1676.8000000715256,True,u,14708.5,2178.3000000715256,1669835150012,2178,HRV,HRV_0234,2022-11-30 19:09:41
6,"[{'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 14711.5, 'positionName': 'LEFT', 'positionCoords': [248.12, 191.5], 'bid': 2.53}, {'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 14711.899999976158, 'positionName': 'RIGHT', 'positionCoords': [711.88, 191.5], 'bid': 6.84}]",14709.199999928474,1669835150013,eggs,turkey sandwich,2.53,6.84,4.3100000000000005,,turkey sandwich,1043.3000000715256,1050,1050.3999999761581,True,i,16263.799999952316,1554.6000000238419,1669835151567,1554,HRV,HRV_0234,2022-11-30 19:09:41
7,"[{'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 16266.799999952316, 'positionName': 'LEFT', 'positionCoords': [248.12, 191.5], 'bid': 6.84}, {'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 16267.199999928474, 'positionName': 'RIGHT', 'positionCoords': [711.88, 191], 'bid': 0.49}]",16264.699999928474,1669835151568,turkey sandwich,apple slices,6.84,0.49,-6.35,,turkey sandwich,725.1000000238419,729,729.0,True,u,17498.099999904633,1233.3999999761581,1669835152801,1233,HRV,HRV_0234,2022-11-30 19:09:41
8,"[{'imgObject': {}, 'id': 'baked potato', 'src': '/static/foodstim60/baked potato.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 17501, 'positionName': 'LEFT', 'positionCoords': [248.12, 191], 'bid': 0.59}, {'imgObject': {}, 'id': 'veggieswithdip', 'src': '/static/foodstim60/veggieswithdip.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 17501.399999976158, 'positionName': 'RIGHT', 'positionCoords': [711.88, 191.5], 'bid': 1.67}]",17499.0,1669835152802,baked potato,veggieswithdip,0.59,1.67,1.08,,baked potato,796,803,803.0999999046326,True,u,18804.399999976158,1305.3999999761581,1669835154108,1306,HRV,HRV_0234,2022-11-30 19:09:41
9,"[{'imgObject': {}, 'id': 'eggsalad', 'src': '/static/foodstim60/eggsalad.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 18806.099999904633, 'positionName': 'LEFT', 'positionCoords': [247.12, 191.5], 'bid': 1.89}, {'imgObject': {}, 'id': 'bagel and cc', 'src': '/static/foodstim60/bagel and cc.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 18806.299999952316, 'positionName': 'RIGHT', 'positionCoords': [711.88, 191], 'bid': 2.23}]",18805.099999904633,1669835154108,eggsalad,bagel and cc,1.89,2.23,0.3400000000000001,,bagel and cc,1064.8000000715256,1073,1072.2000000476837,True,i,20381.899999976158,1576.8000000715256,1669835155685,1577,HRV,HRV_0234,2022-11-30 19:09:41
