trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rsp,rt,rt_UNIX,receivedResponse,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,rt_perfnow,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 26537.5, 'positionName': 'LEFT', 'positionCoords': [359, 245], 'bid': 5.5600000000000005}, {'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 26570.099999999627, 'positionName': 'RIGHT', 'positionCoords': [832, 244.5], 'bid': 5.33}]",29602.099999999627,1669829937479,apple slices,Grapes,5.5600000000000005,5.33,-0.23000000000000043,NaN,NaN,NaN,NaN,False,33690.0,4087.9000000003725,1669829941567,4088,,HRV,HRV_0084,2022-11-30 17:42:50
1,"[{'imgObject': {}, 'id': 'burrito', 'src': '/static/foodstim60/burrito.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 26762.200000000186, 'positionName': 'LEFT', 'positionCoords': [358, 245], 'bid': 0.87}, {'imgObject': {}, 'id': 'Tribe humus pita', 'src': '/static/foodstim60/Tribe humus pita.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 26628.200000000186, 'positionName': 'RIGHT', 'positionCoords': [832, 244.5], 'bid': 1}]",33690.200000000186,1669829941567,burrito,Tribe humus pita,0.87,1.0,0.13,Tribe humus pita,i,1165.699999999255,1167,True,35377.799999999814,1687.5999999996275,1669829943255,1688,1166.199999999255,HRV,HRV_0084,2022-11-30 17:42:50
2,"[{'imgObject': {}, 'id': 'luckycharms', 'src': '/static/foodstim60/luckycharms.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 26695.39999999944, 'positionName': 'LEFT', 'positionCoords': [358, 245.5], 'bid': 0.76}, {'imgObject': {}, 'id': 'edamame', 'src': '/static/foodstim60/edamame.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 26814.599999999627, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 3.0700000000000003}]",35378.200000000186,1669829943255,luckycharms,edamame,0.76,3.0700000000000003,2.3100000000000005,edamame,i,925.5,926,True,36815.09999999963,1436.8999999994412,1669829944692,1437,926.0,HRV,HRV_0084,2022-11-30 17:42:50
3,"[{'imgObject': {}, 'id': 'bagel plain', 'src': '/static/foodstim60/bagel plain.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 27042.299999999814, 'positionName': 'LEFT', 'positionCoords': [358, 245], 'bid': 6.47}, {'imgObject': {}, 'id': 'chickenfingers', 'src': '/static/foodstim60/chickenfingers.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 26913.099999999627, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 7.12}]",36815.39999999944,1669829944693,bagel plain,chickenfingers,6.47,7.12,0.6500000000000004,chickenfingers,i,824.2000000001863,824,True,38386.5,1571.1000000005588,1669829946264,1571,824.8000000007451,HRV,HRV_0084,2022-11-30 17:42:50
4,"[{'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 27047.799999999814, 'positionName': 'LEFT', 'positionCoords': [358, 244.5], 'bid': 2.31}, {'imgObject': {}, 'id': 'mac & cheese', 'src': '/static/foodstim60/mac & cheese.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 26972.599999999627, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 2.43}]",38387.39999999944,1669829946265,rigatoni and sauce,mac & cheese,2.31,2.43,0.1200000000000001,mac & cheese,i,1180.1000000005588,1180,True,40088.0,1700.6000000005588,1669829947965,1700,1180.6000000005588,HRV,HRV_0084,2022-11-30 17:42:50
5,"[{'imgObject': {}, 'id': 'lox', 'src': '/static/foodstim60/lox.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 27045, 'positionName': 'LEFT', 'positionCoords': [358, 244.5], 'bid': 2.63}, {'imgObject': {}, 'id': 'turkeysandwich', 'src': '/static/foodstim60/turkeysandwich.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 27036.099999999627, 'positionName': 'RIGHT', 'positionCoords': [832, 245.5], 'bid': 4.0200000000000005}]",40088.299999999814,1669829947966,lox,turkeysandwich,2.63,4.0200000000000005,1.3900000000000006,lox,u,1023.2000000001863,1024,True,41622.700000000186,1534.4000000003725,1669829949500,1534,1024.2999999998137,HRV,HRV_0084,2022-11-30 17:42:50
6,"[{'imgObject': {}, 'id': 'rigatoni', 'src': '/static/foodstim60/rigatoni.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 27550.89999999944, 'positionName': 'LEFT', 'positionCoords': [357, 244.5], 'bid': 2.75}, {'imgObject': {}, 'id': 'hotdog w must', 'src': '/static/foodstim60/hotdog w must.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 27172, 'positionName': 'RIGHT', 'positionCoords': [832, 245.5], 'bid': 0.75}]",41623.09999999963,1669829949500,rigatoni,hotdog w must,2.75,0.75,-2.0,hotdog w must,i,872.6000000005588,873,True,43018.39999999944,1395.2999999998137,1669829950895,1395,873.1000000005588,HRV,HRV_0084,2022-11-30 17:42:50
7,"[{'imgObject': {}, 'id': 'fruitsalad', 'src': '/static/foodstim60/fruitsalad.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 27232.799999999814, 'positionName': 'LEFT', 'positionCoords': [358, 245], 'bid': 3.37}, {'imgObject': {}, 'id': 'baked potato', 'src': '/static/foodstim60/baked potato.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 27413.700000000186, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 2.08}]",43018.59999999963,1669829950895,fruitsalad,baked potato,3.37,2.08,-1.29,fruitsalad,u,1053.1000000005588,1054,True,44580.299999999814,1561.7000000001863,1669829952457,1562,1053.6000000005588,HRV,HRV_0084,2022-11-30 17:42:50
8,"[{'imgObject': {}, 'id': 'corn cob', 'src': '/static/foodstim60/corn cob.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 27415.89999999944, 'positionName': 'LEFT', 'positionCoords': [357, 244.5], 'bid': 1.66}, {'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 27554.099999999627, 'positionName': 'RIGHT', 'positionCoords': [832, 244.5], 'bid': 1.68}]",44580.5,1669829952457,corn cob,mango,1.66,1.68,0.020000000000000018,corn cob,u,843.2000000001863,844,True,45938.0,1357.5,1669829953815,1358,843.7000000001863,HRV,HRV_0084,2022-11-30 17:42:50
9,"[{'imgObject': {}, 'id': 'seaweed', 'src': '/static/foodstim60/seaweed.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 27621.799999999814, 'positionName': 'LEFT', 'positionCoords': [358, 245], 'bid': 0.76}, {'imgObject': {}, 'id': 'corn cob', 'src': '/static/foodstim60/corn cob.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 27489.599999999627, 'positionName': 'RIGHT', 'positionCoords': [832, 244.5], 'bid': 1.66}]",45938.299999999814,1669829953815,seaweed,corn cob,0.76,1.66,0.8999999999999999,corn cob,i,1013.2999999998137,1014,True,47473.0,1534.7000000001863,1669829955350,1535,1014.2000000001863,HRV,HRV_0084,2022-11-30 17:42:50
