success,trial_type,trial_index,time_elapsed,internal_node_id,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,rt,block,button_pressed,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,missTrial,missTrialMsg,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
True,fullscreen,0,6714,0.0-0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0084,2022-11-30 18:05:55
,wl-check-fps,1,12183,0.0-1.0,0.0,2.0,"[14471.8, 14484.5, 14925.1, 14929.4, 14934.3, 14950.1, 14967.1, 14983, 14999.8, 15016.3, 15033.2, 15050.4, 15070.7, 15085.4, 15100.4, 15116.9, 15133.8, 15149.9, 15172.2, 15185.3, 15200.4, 15216.7, 15242.4, 15250.5, 15267.8, 15283.4, 15302.3, 15316.5, 15335.3, 15350.4, 15367.2, 15383.4, 15400.3, 15416.6, 15433.4, 15454.1, 15467.1, 15483.9, 15500.5, 15516.4, 15533, 15549.8, 15566.6, 15583.3, 15600.3, 15617, 15635.9, 15650.1, 15666.8, 15683.9, 15700.6, 15717.2, 15733.7, 15750, 15766.7, 15783.3, 15800.1, 15816.5, 15832.9, 15849.8, 15866.3, 15883.1, 15899.8, 15916.2, 15933.1, 15949.6, 15966.8, 15983.1, 15999.6, 16017.1, 16033, 16049.7, 16071, 16084.1, 16100, 16117.3, 16132.9, 16149.6, 16166.3, 16183, 16199.7, 16216.3, 16233.1, 16249.6, 16266.2, 16283, 16299.8, 16316.6, 16333.5, 16349.6, 16366.3, 16386.6, 16399.9, 16416.2, 16432.5, 16449.7, 16472.8, 16482.9, 16499.5, 16517, 16533.2, 16549.5, 16566.5, 16582.8, 16600.1, 16616.3, 16632.4, 16649.6, 16666.4, 16683, 16699.7, 16720.7, 16732.9, 16749.7, 16766.5, 16788.4, 16800.8, 16817.1, 16834, 16850, 16866.3, 16883, 16899.7, 16916.2, 16933, 16949.2, 16966.3, 16983, 16999.5, 17021.3, 17033.4, 17049.7, 17071, 17083, 17100.5, 17120.8, 17133, 17149.9, 17166.5, 17186.8, 17200.1, 17216.6, 17232.9, 17254.2, 17266.3, 17282.9, 17299.8, 17316.4, 17333.6, 17350.6, 17372.3, 17383.5, 17399.5, 17417.3, 17433.3, 17449.6, 17466.4, 17483, 17499.8, 17516.2, 17532.9, 17549.6, 17566.4, 17584.6, 17601, 17618.4, 17643.2, 17650.9, 17665.9, 17682.8, 17700, 17717, 17732.8, 17749.2, 17766.1, 17782.9, 17799.6, 17816.4, 17833, 17849.7, 17866.7, 17882.9, 17900.1, 17919.9, 17932.9, 17949.6, 17966.2, 17982.9, 17999.6, 18016.2, 18032.9, 18049.6, 18066.9, 18083.1, 18100.5, 18119.2, 18137.2, 18155.9, 18167.7, 18184.2, 18200.9, 18217.5, 18232.8, 18250.3, 18266.4, 18283.6, 18300.9, 18316.4, 18333.8, 18350.9, 18367.9, 18382.7, 18399.6, 18416.5, 18433.7, 18450.5, 18467.2, 18483.8, 18500.2, 18517.2, 18533.8, 18550.3, 18567.2, 18583.8, 18601.2, 18616.2, 18633.1, 18649.9, 18667, 18684.3, 18701.4, 18716.2, 18733.5, 18750.8, 18769.3, 18784.6, 18800.8, 18816, 18832.6, 18850.6, 18866.2, 18883.4, 18899.4, 18916.5, 18932.6, 18949.2, 18966.7, 18982.7, 18999.2, 19016.1, 19032.7, 19049.2, 19066.9, 19082.5, 19100, 19117.1, 19132.6, 19150.2, 19167.2, 19182.7, 19199.5, 19215.9, 19232.7, 19250.4, 19266.1, 19282.7, 19299.2, 19318.2, 19332.7, 19349.6, 19366, 19382.6, 19399.4, 19416.1, 19432.7, 19449.2, 19467.8, 19484.9, 19500.7, 19518.4, 19533.7, 19550.3, 19565.9, 19588, 19599.3, 19616, 19633.4, 19649.4, 19666, 19682.6, 19699.2, 19716.9, 19732.6, 19750, 19767.1, 19782.6, 19800.1, 19816.1, 19832.6, 19850.1]","[70.7, 12.7, 440.6, 4.3, 4.9, 15.8, 17, 15.9, 16.8, 16.5, 16.9, 17.2, 20.3, 14.7, 15, 16.5, 16.9, 16.1, 22.3, 13.1, 15.1, 16.3, 25.7, 8.1, 17.3, 15.6, 18.9, 14.2, 18.8, 15.1, 16.8, 16.2, 16.9, 16.3, 16.8, 20.7, 13, 16.8, 16.6, 15.9, 16.6, 16.8, 16.8, 16.7, 17, 16.7, 18.9, 14.2, 16.7, 17.1, 16.7, 16.6, 16.5, 16.3, 16.7, 16.6, 16.8, 16.4, 16.4, 16.9, 16.5, 16.8, 16.7, 16.4, 16.9, 16.5, 17.2, 16.3, 16.5, 17.5, 15.9, 16.7, 21.3, 13.1, 15.9, 17.3, 15.6, 16.7, 16.7, 16.7, 16.7, 16.6, 16.8, 16.5, 16.6, 16.8, 16.8, 16.8, 16.9, 16.1, 16.7, 20.3, 13.3, 16.3, 16.3, 17.2, 23.1, 10.1, 16.6, 17.5, 16.2, 16.3, 17, 16.3, 17.3, 16.2, 16.1, 17.2, 16.8, 16.6, 16.7, 21, 12.2, 16.8, 16.8, 21.9, 12.4, 16.3, 16.9, 16, 16.3, 16.7, 16.7, 16.5, 16.8, 16.2, 17.1, 16.7, 16.5, 21.8, 12.1, 16.3, 21.3, 12, 17.5, 20.3, 12.2, 16.9, 16.6, 20.3, 13.3, 16.5, 16.3, 21.3, 12.1, 16.6, 16.9, 16.6, 17.2, 17, 21.7, 11.2, 16, 17.8, 16, 16.3, 16.8, 16.6, 16.8, 16.4, 16.7, 16.7, 16.8, 18.2, 16.4, 17.4, 24.8, 7.7, 15, 16.9, 17.2, 17, 15.8, 16.4, 16.9, 16.8, 16.7, 16.8, 16.6, 16.7, 17, 16.2, 17.2, 19.8, 13, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 17.3, 16.2, 17.4, 18.7, 18, 18.7, 11.8, 16.5, 16.7, 16.6, 15.3, 17.5, 16.1, 17.2, 17.3, 15.5, 17.4, 17.1, 17, 14.8, 16.9, 16.9, 17.2, 16.8, 16.7, 16.6, 16.4, 17, 16.6, 16.5, 16.9, 16.6, 17.4, 15, 16.9, 16.8, 17.1, 17.3, 17.1, 14.8, 17.3, 17.3, 18.5, 15.3, 16.2, 15.2, 16.6, 18, 15.6, 17.2, 16, 17.1, 16.1, 16.6, 17.5, 16, 16.5, 16.9, 16.6, 16.5, 17.7, 15.6, 17.5, 17.1, 15.5, 17.6, 17, 15.5, 16.8, 16.4, 16.8, 17.7, 15.7, 16.6, 16.5, 19, 14.5, 16.9, 16.4, 16.6, 16.8, 16.7, 16.6, 16.5, 18.6, 17.1, 15.8, 17.7, 15.3, 16.6, 15.6, 22.1, 11.3, 16.7, 17.4, 16, 16.6, 16.6, 16.6, 17.7, 15.7, 17.4, 17.1, 15.5, 17.5, 16, 16.5, 17.5]",55.0,52.0,60.0,5464.9,[],,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0084,2022-11-30 18:05:55
,wl-html-keyboard-response,2,28300,0.0-2.0-0.0,0.0,3.0,,,,,,,,14107.100000000559,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0084,2022-11-30 18:05:55
,wl-rdm,3,35016,0.0-3.0-0.0,0.0,4.0,,,,,,,[],,,,0.0,0.0,87.9,0.0,u,0.0,True,1051.699999999255,63.0,60.0,40.0,False,,3000.0,[],"[800, 450]",ColorTask_Demo,,,,,HRV,HRV_0084,2022-11-30 18:05:55
,wl-rdm,4,42420,0.0-3.0-1.0,0.0,5.0,,,,,,,[],,,,0.0,0.0,87.9,1.0,i,1.0,True,1789.199999999255,108.0,60.0,40.0,False,too_early ,2000.0,[],"[800, 450]",ColorTask_Demo,,,,,HRV,HRV_0084,2022-11-30 18:05:55
,wl-html-keyboard-response,5,46946,0.0-3.0-2.0,0.0,6.0,,,,,,,,2519.7999999998137,0.0,1,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0084,2022-11-30 18:05:55
,wl-html-keyboard-response,6,58762,0.0-4.0-0.0,0.0,7.0,,,,,,,,9810.200000000186,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0084,2022-11-30 18:05:55
,wl-html-keyboard-response,7,67874,0.0-5.0-0.0,0.0,8.0,,,,,,,,7105.799999999814,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0084,2022-11-30 18:05:55
,wl-rdm,8,70115,0.0-6.0-0.0,0.0,9.0,,,,,,,[],,,,,,87.9,0.0,u,0.0,True,926.5,56.0,60.0,40.0,False,,233.5981864245847,[],"[800, 450]",ColorTask,1.0,1.0,,,HRV,HRV_0084,2022-11-30 18:05:55
,wl-rdm,9,72265,0.0-6.1-0.1,0.0,10.0,,,,,,,[],,,,,,50.0,1.0,i,1.0,True,828.1000000005588,50.0,60.0,40.0,False,,245.90502377440578,[],"[800, 450]",ColorTask,2.0,2.0,,,HRV,HRV_0084,2022-11-30 18:05:55
