success,trial_type,trial_index,time_elapsed,internal_node_id,missTrial,missTrialMsg,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,rt,block,button_pressed,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
,wl-rdm,10,79989,0.0-6.2-0.2,False,,0.0,10.0,,,,,,,[],,,,,,73.6,0.0,u,0.0,True,668.1000000238419,40.0,60.0,40.0,221.39631258783757,[],"[640, 512]",ColorTask,3.0,3.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,11,81973,0.0-6.3-0.3,False,,0.0,11.0,,,,,,,[],,,,,,62.5,1.0,i,1.0,True,609.7999999523163,38.0,60.0,40.0,263.09819196295774,[],"[640, 512]",ColorTask,4.0,4.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,12,84205,0.0-6.4-0.4,False,,0.0,12.0,,,,,,,[],,,,,,56.4,0.0,i,1.0,False,842.9000000953674,51.0,60.0,40.0,307.4826713321491,[],"[640, 512]",ColorTask,3.0,5.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,13,86221,0.0-6.5-0.5,False,,0.0,13.0,,,,,,,[],,,,,,53.2,0.0,u,0.0,True,736.0,44.0,60.0,40.0,201.61149827712987,[],"[640, 512]",ColorTask,4.0,6.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,14,88503,0.0-6.6-0.6,False,,0.0,14.0,,,,,,,[],,,,,,50.0,1.0,i,1.0,True,840.5,51.0,60.0,40.0,364.9790344104218,[],"[640, 512]",ColorTask,5.0,7.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,15,90619,0.0-6.7-0.7,False,,0.0,15.0,,,,,,,[],,,,,,87.9,0.0,u,0.0,True,637.5999999046326,39.0,60.0,40.0,389.8056360140229,[],"[640, 512]",ColorTask,6.0,8.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,16,93435,0.0-6.8-0.8,False,,0.0,16.0,,,,,,,[],,,,,,56.4,1.0,u,0.0,False,1421.7000000476837,86.0,60.0,40.0,311.564067129426,[],"[640, 512]",ColorTask,5.0,9.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,17,95752,0.0-6.9-0.9,False,,0.0,17.0,,,,,,,[],,,,,,62.5,0.0,i,1.0,False,1000.1000000238419,60.0,60.0,40.0,245.46701081624127,[],"[640, 512]",ColorTask,4.0,10.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,18,98217,0.0-6.10-0.10,False,,0.0,18.0,,,,,,,[],,,,,,73.6,0.0,u,0.0,True,1046.7999999523163,63.0,60.0,40.0,339.8933248495697,[],"[640, 512]",ColorTask,5.0,11.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,19,101049,0.0-6.11-0.11,False,,0.0,19.0,,,,,,,[],,,,,,50.0,0.0,u,0.0,True,1421.5,86.0,60.0,40.0,344.7418459074869,[],"[640, 512]",ColorTask,6.0,12.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,20,103664,0.0-6.12-0.12,False,,0.0,20.0,,,,,,,[],,,,,,50.0,1.0,i,1.0,True,1172.5,70.0,60.0,40.0,355.961062607129,[],"[640, 512]",ColorTask,7.0,13.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,21,107231,0.0-6.13-0.13,False,,0.0,21.0,,,,,,,[],,,,,,56.4,0.0,u,0.0,True,2084.7999999523163,125.0,60.0,40.0,399.945628176518,[],"[640, 512]",ColorTask,8.0,14.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,22,109913,0.0-6.14-0.14,False,,0.0,22.0,,,,,,,[],,,,,,53.2,0.0,u,0.0,True,1239.8000000715256,75.0,60.0,40.0,364.0849811834472,[],"[640, 512]",ColorTask,9.0,15.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,23,112096,0.0-6.15-0.15,False,,0.0,23.0,,,,,,,[],,,,,,73.6,0.0,u,0.0,True,729.5,44.0,60.0,40.0,376.0425171474629,[],"[640, 512]",ColorTask,10.0,16.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,24,114262,0.0-6.16-0.16,False,,0.0,24.0,,,,,,,[],,,,,,73.6,1.0,i,1.0,True,855.8000000715256,51.0,60.0,40.0,230.8412128248928,[],"[640, 512]",ColorTask,11.0,17.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,25,116628,0.0-6.17-0.17,False,,0.0,25.0,,,,,,,[],,,,,,62.5,1.0,i,1.0,True,921.4000000953674,55.0,60.0,40.0,365.4905044539221,[],"[640, 512]",ColorTask,12.0,18.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,26,118927,0.0-6.18-0.18,False,,0.0,26.0,,,,,,,[],,,,,,50.0,0.0,i,1.0,False,941.2999999523163,57.0,60.0,40.0,281.2024852060363,[],"[640, 512]",ColorTask,11.0,19.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,27,121275,0.0-6.19-0.19,False,,0.0,27.0,,,,,,,[],,,,,,50.0,1.0,u,0.0,False,1038.2999999523163,63.0,60.0,40.0,226.10591063333254,[],"[640, 512]",ColorTask,10.0,20.0,,,HRV,HRV_0153,2022-11-30 18:22:31
