success,trial_type,trial_index,time_elapsed,internal_node_id,missTrial,missTrialMsg,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,rt,block,button_pressed,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
True,fullscreen,0,6530,0.0-0.0,True,undefinedblurEvent ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-check-fps,1,11605,0.0-1.0,,,0.0,1.0,"[8488.8, 8503.5, 8510.7, 8528.6, 8543.2, 8558.5, 8574, 8594.2, 8631.1, 8678.5, 8695.3, 8711, 8725.6, 8743.6, 8758.7, 8775.3, 8793.6, 8808.9, 8827.3, 8842.7, 8859.3, 8877.6, 8892.7, 8909.1, 8926.1, 8943.7, 8959.5, 8976.1, 8992.6, 9008.6, 9024.6, 9041.8, 9058.1, 9074.8, 9090.3, 9108.2, 9125.4, 9141.5, 9158.2, 9174.8, 9191.9, 9208.8, 9225, 9243.9, 9258.3, 9274.3, 9290.7, 9309.9, 9325.3, 9341.1, 9356.7, 9374.9, 9391.8, 9408.8, 9424.5, 9441.3, 9461, 9475.8, 9493.1, 9508.1, 9525.8, 9541.5, 9558.4, 9574.9, 9591.9, 9608.6, 9625.7, 9642.7, 9658.9, 9676.1, 9694.7, 9710, 9726.5, 9743.4, 9758.6, 9776.4, 9792.7, 9809.2, 9825.6, 9842, 9858.4, 9877.1, 9893, 9908.7, 9925.8, 9942, 9958.5, 9984.2, 9990.5, 10006.1, 10023.8, 10039.3, 10056, 10073.7, 10089.7, 10106.2, 10123.9, 10141.8, 10158.7, 10174.6, 10190.6, 10207.2, 10224.9, 10241.3, 10257.4, 10274.4, 10292, 10307.2, 10324.4, 10341.1, 10358.2, 10373.9, 10390.3, 10407.3, 10424.5, 10440.7, 10458.5, 10474.8, 10490.6, 10505.7, 10523.6, 10539.2, 10555.6, 10573.9, 10588.9, 10606.6, 10624.5, 10641, 10658, 10674.8, 10689.6, 10706.6, 10723.5, 10741, 10758.1, 10774.8, 10790.4, 10806.5, 10823.8, 10840.3, 10857.4, 10874.4, 10890, 10905.4, 10923.1, 10938.9, 10955.2, 10974.6, 10989.6, 11006.5, 11024.1, 11039.6, 11055.4, 11073.4, 11089.5, 11107.3, 11124.5, 11140.7, 11162.6, 11177.7, 11191.1, 11207.5, 11223.9, 11240.8, 11259.3, 11275.7, 11291.1, 11306.3, 11326.2, 11339.1, 11357.5, 11374.8, 11389.4, 11407.7, 11424.2, 11441.1, 11481.5, 11483.2, 11490.2, 11508.4, 11525.2, 11540.8, 11556.4, 11571.8, 11589.5, 11608.6, 11625, 11641.2, 11657.1, 11676.4, 11692.5, 11706.5, 11724, 11739.4, 11757.2, 11773.7, 11789.7, 11807, 11823.9, 11839.5, 11855.4, 11879.6, 11890.6, 11908, 11924.8, 11940.7, 11956.7, 11972, 11988.7, 12007.1, 12021.1, 12040.6, 12056.5, 12072.8, 12090.5, 12106.9, 12123.2, 12140.4, 12155.8, 12174.4, 12190.7, 12206.8, 12225.1, 12241, 12258.2, 12274.2, 12290.4, 12305.8, 12324.1, 12340.5, 12355.9, 12373.6, 12389.2, 12407.2, 12423.9, 12440.6, 12457.2, 12479, 12491.9, 12506.8, 12522.7, 12540.8, 12556.7, 12574.3, 12588.4, 12606.7, 12623.4, 12640.6, 12657.1, 12674.3, 12690.4, 12705.8, 12722.7, 12739.8, 12755.7, 12771.2, 12788, 12806.2, 12822.9, 12838.8, 12855.3, 12874.3, 12889.7, 12905.9, 12921.2, 12939.3, 12954.2, 12972.3, 12989.7, 13005.5, 13021, 13038.2, 13054.7, 13072.5, 13089.5, 13105.3, 13122.2, 13138.1, 13156.6, 13176, 13189.3, 13204.9, 13223, 13238.4, 13272.9, 13273.8, 13288.4, 13305.8, 13321.4, 13338.3, 13354.8, 13373.2, 13389.6, 13405.4, 13421.6, 13439.3, 13455, 13470.8, 13488.4, 13505.5]","[20.3, 14.7, 7.2, 17.9, 14.6, 15.3, 15.5, 20.2, 36.9, 47.4, 16.8, 15.7, 14.6, 18, 15.1, 16.6, 18.3, 15.3, 18.4, 15.4, 16.6, 18.3, 15.1, 16.4, 17, 17.6, 15.8, 16.6, 16.5, 16, 16, 17.2, 16.3, 16.7, 15.5, 17.9, 17.2, 16.1, 16.7, 16.6, 17.1, 16.9, 16.2, 18.9, 14.4, 16, 16.4, 19.2, 15.4, 15.8, 15.6, 18.2, 16.9, 17, 15.7, 16.8, 19.7, 14.8, 17.3, 15, 17.7, 15.7, 16.9, 16.5, 17, 16.7, 17.1, 17, 16.2, 17.2, 18.6, 15.3, 16.5, 16.9, 15.2, 17.8, 16.3, 16.5, 16.4, 16.4, 16.4, 18.7, 15.9, 15.7, 17.1, 16.2, 16.5, 25.7, 6.3, 15.6, 17.7, 15.5, 16.7, 17.7, 16, 16.5, 17.7, 17.9, 16.9, 15.9, 16, 16.6, 17.7, 16.4, 16.1, 17, 17.6, 15.2, 17.2, 16.7, 17.1, 15.7, 16.4, 17, 17.2, 16.2, 17.8, 16.3, 15.8, 15.1, 17.9, 15.6, 16.4, 18.3, 15, 17.7, 17.9, 16.5, 17, 16.8, 14.8, 17, 16.9, 17.5, 17.1, 16.7, 15.6, 16.1, 17.3, 16.5, 17.1, 17, 15.6, 15.4, 17.7, 15.8, 16.3, 19.4, 15, 16.9, 17.6, 15.5, 15.8, 18, 16.1, 17.8, 17.2, 16.2, 21.9, 15.1, 13.4, 16.4, 16.4, 16.9, 18.5, 16.4, 15.4, 15.2, 19.9, 12.9, 18.4, 17.3, 14.6, 18.3, 16.5, 16.9, 40.4, 1.7, 7, 18.2, 16.8, 15.6, 15.6, 15.4, 17.7, 19.1, 16.4, 16.2, 15.9, 19.3, 16.1, 14, 17.5, 15.4, 17.8, 16.5, 16, 17.3, 16.9, 15.6, 15.9, 24.2, 11, 17.4, 16.8, 15.9, 16, 15.3, 16.7, 18.4, 14, 19.5, 15.9, 16.3, 17.7, 16.4, 16.3, 17.2, 15.4, 18.6, 16.3, 16.1, 18.3, 15.9, 17.2, 16, 16.2, 15.4, 18.3, 16.4, 15.4, 17.7, 15.6, 18, 16.7, 16.7, 16.6, 21.8, 12.9, 14.9, 15.9, 18.1, 15.9, 17.6, 14.1, 18.3, 16.7, 17.2, 16.5, 17.2, 16.1, 15.4, 16.9, 17.1, 15.9, 15.5, 16.8, 18.2, 16.7, 15.9, 16.5, 19, 15.4, 16.2, 15.3, 18.1, 14.9, 18.1, 17.4, 15.8, 15.5, 17.2, 16.5, 17.8, 17, 15.8, 16.9, 15.9, 18.5, 19.4, 13.3, 15.6, 18.1, 15.4, 34.5, 0.9, 14.6, 17.4, 15.6, 16.9, 16.5, 18.4, 16.4, 15.8, 16.2, 17.7, 15.7, 15.8, 17.6, 17.1]",60.0,58.0,61.0,5053.2,[],,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-html-keyboard-response,2,26759,0.0-2.0-0.0,,,0.0,2.0,,,,,,,,13131.400000035763,0.0,0,,,,,,,,,,,,,,,,,,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-rdm,3,34147,0.0-3.0-0.0,False,,0.0,3.0,,,,,,,[],,,,0.0,0.0,87.9,0.0,u,0.0,True,1670.6000000238419,101.0,61.0,40.0,3000.0,[],"[683, 384]",ColorTask_Demo,,,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-rdm,4,38907,0.0-3.0-1.0,False,,0.0,4.0,,,,,,,[],,,,0.0,0.0,87.9,1.0,i,1.0,True,1787.699999988079,40.0,61.0,40.0,2000.0,[],"[683, 384]",ColorTask_Demo,,,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-html-keyboard-response,5,41299,0.0-3.0-2.0,,,0.0,5.0,,,,,,,,384.89999997615814,0.0,1,,,,,,,,,,,,,,,,,,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-html-keyboard-response,6,48980,0.0-4.0-0.0,,,0.0,6.0,,,,,,,,5672.399999976158,0.0,0,,,,,,,,,,,,,,,,,,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-html-keyboard-response,7,57055,0.0-5.0-0.0,,,0.0,7.0,,,,,,,,6070.800000011921,0.0,0,,,,,,,,,,,,,,,,,,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-rdm,8,58938,0.0-6.0-0.0,False,,0.0,8.0,,,,,,,[],,,,,,53.2,0.0,i,1.0,False,452.19999998807907,28.0,61.0,40.0,343.8390899284292,[],"[683, 384]",ColorTask,-1.0,1.0,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-rdm,9,60005,0.0-6.1-0.1,True,too_early ,0.0,8.0,,,,,,,[],,,,,,87.9,0.0,i,,,94.59999996423721,0.0,61.0,40.0,326.97537547859724,[],"[683, 384]",ColorTask,-2.0,2.0,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-rdm,10,61086,0.0-6.2-0.2,True,too_early ,0.0,8.0,,,,,,,[],,,,,,73.6,0.0,i,,,17.100000023841858,0.0,61.0,40.0,395.28755062857465,[],"[683, 384]",ColorTask,-3.0,3.0,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-rdm,11,62817,0.0-6.3-0.3,False,,0.0,9.0,,,,,,,[],,,,,,50.0,0.0,i,1.0,False,354.0999999642372,22.0,61.0,40.0,301.2525796088091,[],"[683, 384]",ColorTask,-4.0,4.0,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-rdm,12,63966,0.0-6.4-0.4,True,too_early ,0.0,9.0,,,,,,,[],,,,,,87.9,1.0,u,,,597.7999999523163,0.0,61.0,40.0,343.75828474412947,[],"[683, 384]",ColorTask,-5.0,5.0,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-rdm,13,65680,0.0-6.5-0.5,False,,0.0,10.0,,,,,,,[],,,,,,73.6,0.0,u,0.0,True,405.19999998807907,22.0,61.0,40.0,244.05105847698923,[],"[683, 384]",ColorTask,-4.0,6.0,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-rdm,14,67530,0.0-6.6-0.6,False,,0.0,11.0,,,,,,,[],,,,,,87.9,0.0,i,1.0,False,491.0999999642372,30.0,61.0,40.0,283.71058702963126,[],"[683, 384]",ColorTask,-5.0,7.0,,,HRV,HRV_0022,2022-11-30 17:51:23
,wl-rdm,15,69229,0.0-6.7-0.7,False,,0.0,12.0,,,,,,,[],,,,,,50.0,1.0,u,0.0,False,237.0,15.0,61.0,40.0,371.2776494334404,[],"[683, 384]",ColorTask,-6.0,8.0,,,HRV,HRV_0022,2022-11-30 17:51:23
