trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rsp,rt,rt_UNIX,receivedResponse,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,trialEvents,rt_perfnow,exp,subjectId,date
153,"[{'imgObject': {}, 'id': 'olives', 'src': '/static/foodstim60/olives.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 153, 'loaded': True, 'loadedTime': 123860.60000014305, 'positionName': 'LEFT', 'positionCoords': [409.36, 275], 'bid': 0.1}, {'imgObject': {}, 'id': 'lox', 'src': '/static/foodstim60/lox.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 153, 'loaded': True, 'loadedTime': 135805.79999995232, 'positionName': 'RIGHT', 'positionCoords': [887.64, 274.5], 'bid': 0.09}]",528872.2000000477,1669842617043,olives,lox,0.1,0.09,-0.010000000000000009,lox,i,2027.2000000476837,2029,True,531410.4000000954,2538.2000000476837,1669842619582,2539,,2028.4000000953674,HRV,HRV_0299,2022-11-30 21:11:07
154,"[{'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 154, 'loaded': True, 'loadedTime': 135048, 'positionName': 'LEFT', 'positionCoords': [409.36, 275], 'bid': 0.41}, {'imgObject': {}, 'id': 'pear', 'src': '/static/foodstim60/pear.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 154, 'loaded': True, 'loadedTime': 131582.29999995232, 'positionName': 'RIGHT', 'positionCoords': [887.64, 275], 'bid': 0.94}]",531410.9000000954,1669842619582,popsicles,pear,0.41,0.94,0.53,pear,i,1166.5999999046326,1168,True,533093.100000143,1682.2000000476837,1669842621264,1682,,1168.0999999046326,HRV,HRV_0299,2022-11-30 21:11:07
155,"[{'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 155, 'loaded': True, 'loadedTime': 136636.60000014305, 'positionName': 'LEFT', 'positionCoords': [409.36, 275.5], 'bid': 5.79}, {'imgObject': {}, 'id': 'fried eggs', 'src': '/static/foodstim60/fried eggs.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 155, 'loaded': True, 'loadedTime': 134019.70000004768, 'positionName': 'RIGHT', 'positionCoords': [887.64, 275], 'bid': 5.87}]",533093.600000143,1669842621265,chicken nuggets2,fried eggs,5.79,5.87,0.08000000000000007,fried eggs,i,1047.3999998569489,1048,True,534650.2000000477,1556.5999999046326,1669842622821,1556,,1048.0,HRV,HRV_0299,2022-11-30 21:11:07
156,"[{'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 156, 'loaded': True, 'loadedTime': 135045, 'positionName': 'LEFT', 'positionCoords': [409.36, 275], 'bid': 0.41}, {'imgObject': {}, 'id': 'blackbeanswithrice', 'src': '/static/foodstim60/blackbeanswithrice.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 156, 'loaded': True, 'loadedTime': 132815.40000009537, 'positionName': 'RIGHT', 'positionCoords': [887.64, 275], 'bid': 6.59}]",534650.5,1669842622822,popsicles,blackbeanswithrice,0.41,6.59,6.18,blackbeanswithrice,i,996.4000000953674,998,True,536159.4000000954,1508.9000000953674,1669842624330,1508,,998.2000000476837,HRV,HRV_0299,2022-11-30 21:11:07
157,"[{'imgObject': {}, 'id': 'chickenfingers', 'src': '/static/foodstim60/chickenfingers.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 157, 'loaded': True, 'loadedTime': 129221.5, 'positionName': 'LEFT', 'positionCoords': [409.36, 275], 'bid': 8.18}, {'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 157, 'loaded': True, 'loadedTime': 132153.40000009537, 'positionName': 'RIGHT', 'positionCoords': [887.64, 274.5], 'bid': 8.18}]",536159.7999999523,1669842624331,chickenfingers,rigatoni and sauce,8.18,8.18,0.0,rigatoni and sauce,i,1383.4000000953674,1384,True,538059.7999999523,1900.0,1669842626231,1900,,1383.9000000953674,HRV,HRV_0299,2022-11-30 21:11:07
158,"[{'imgObject': {}, 'id': 'veggieswithdip', 'src': '/static/foodstim60/veggieswithdip.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 158, 'loaded': True, 'loadedTime': 132540.10000014305, 'positionName': 'LEFT', 'positionCoords': [410.36, 275.5], 'bid': 5.54}, {'imgObject': {}, 'id': 'cantaloupe', 'src': '/static/foodstim60/cantaloupe.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 158, 'loaded': True, 'loadedTime': 124127.79999995232, 'positionName': 'RIGHT', 'positionCoords': [887.64, 275.5], 'bid': 5.87}]",538060.100000143,1669842626231,veggieswithdip,cantaloupe,5.54,5.87,0.33000000000000007,veggieswithdip,u,1390.6999998092651,1392,True,539964.9000000954,1904.7999999523163,1669842628136,1905,,1391.3999998569489,HRV,HRV_0299,2022-11-30 21:11:07
159,"[{'imgObject': {}, 'id': 'bagel and cc', 'src': '/static/foodstim60/bagel and cc.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 159, 'loaded': True, 'loadedTime': 127345.20000004768, 'positionName': 'LEFT', 'positionCoords': [409.36, 275], 'bid': 6.22}, {'imgObject': {}, 'id': 'luckycharms', 'src': '/static/foodstim60/luckycharms.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 159, 'loaded': True, 'loadedTime': 136387, 'positionName': 'RIGHT', 'positionCoords': [887.64, 275.5], 'bid': 0.1}]",539965.0,1669842628136,bagel and cc,luckycharms,6.22,0.1,-6.12,bagel and cc,u,982.2000000476837,984,True,541463.2000000477,1498.2000000476837,1669842629634,1498,,983.9000000953674,HRV,HRV_0299,2022-11-30 21:11:07
160,"[{'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 160, 'loaded': True, 'loadedTime': 136623.20000004768, 'positionName': 'LEFT', 'positionCoords': [409.36, 275.5], 'bid': 5.79}, {'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 160, 'loaded': True, 'loadedTime': 134683.90000009537, 'positionName': 'RIGHT', 'positionCoords': [887.64, 275], 'bid': 1.35}]",541463.600000143,1669842629635,chicken nuggets2,apple slices,5.79,1.35,-4.4399999999999995,chicken nuggets2,u,1210.7999999523163,1216,True,543183.100000143,1719.5,1669842631354,1719,,1216.3999998569489,HRV,HRV_0299,2022-11-30 21:11:07
161,"[{'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 161, 'loaded': True, 'loadedTime': 134729.90000009537, 'positionName': 'LEFT', 'positionCoords': [410.36, 275], 'bid': 1.35}, {'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 161, 'loaded': True, 'loadedTime': 124183.70000004768, 'positionName': 'RIGHT', 'positionCoords': [887.64, 275.5], 'bid': 1.5}]",543183.4000000954,1669842631354,apple slices,eggs,1.35,1.5,0.1499999999999999,apple slices,u,1307.5,1308,True,545004.100000143,1820.7000000476837,1669842633175,1821,,1308.2000000476837,HRV,HRV_0299,2022-11-30 21:11:07
162,"[{'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 162, 'loaded': True, 'loadedTime': 130182.5, 'positionName': 'LEFT', 'positionCoords': [408.36, 274.5], 'bid': 3.64}, {'imgObject': {}, 'id': 'chickenfingers', 'src': '/static/foodstim60/chickenfingers.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 162, 'loaded': True, 'loadedTime': 129220.10000014305, 'positionName': 'RIGHT', 'positionCoords': [887.64, 275], 'bid': 8.18}]",545004.5,1669842633175,mango,chickenfingers,3.64,8.18,4.539999999999999,chickenfingers,i,1033.1000001430511,1034,True,546560.100000143,1555.6000001430511,1669842634731,1556,,1033.7999999523163,HRV,HRV_0299,2022-11-30 21:11:07
