trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,trialEvents,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 3085.5, 'positionName': 'LEFT', 'positionCoords': [326.28, 227], 'bid': 8.56}, {'imgObject': {}, 'id': 'grilled chicken strips', 'src': '/static/foodstim60/grilled chicken strips.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 3085.699999988079, 'positionName': 'RIGHT', 'positionCoords': [798.72, 226.5], 'bid': 8.63}]",3728.0999999940395,1669837738836,yogurt no spoon,grilled chicken strips,8.56,8.63,0.07000000000000028,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 3801.699999988079, 'date time': 1669837738909}]",yogurt no spoon,779.5,780,780.2000000029802,True,u,5009.699999988079,1281.5999999940395,1669837740117,1281,HRV,HRV_0272,2022-11-30 19:51:52
1,"[{'imgObject': {}, 'id': 'chickenfingers', 'src': '/static/foodstim60/chickenfingers.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 5011, 'positionName': 'LEFT', 'positionCoords': [327.28, 156], 'bid': 7.77}, {'imgObject': {}, 'id': 'cheerios', 'src': '/static/foodstim60/cheerios.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 5011.29999999702, 'positionName': 'RIGHT', 'positionCoords': [798.72, 156], 'bid': 8}]",5010.199999988079,1669837740118,chickenfingers,cheerios,7.77,8.0,0.23000000000000043,,cheerios,388.6000000089407,389,389.20000000298023,True,i,5907.199999988079,897.0,1669837741015,897,HRV,HRV_0272,2022-11-30 19:51:52
2,"[{'imgObject': {}, 'id': 'edamame', 'src': '/static/foodstim60/edamame.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 5909.0999999940395, 'positionName': 'LEFT', 'positionCoords': [328.28, 156], 'bid': 8.120000000000001}, {'imgObject': {}, 'id': 'cocktailshrimp', 'src': '/static/foodstim60/cocktailshrimp.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 5910.0999999940395, 'positionName': 'RIGHT', 'positionCoords': [798.72, 156], 'bid': 9.24}]",5907.899999991059,1669837741016,edamame,cocktailshrimp,8.120000000000001,9.24,1.1199999999999992,,cocktailshrimp,476.79999999701977,477,477.29999999701977,True,i,6887.699999988079,979.7999999970198,1669837741995,979,HRV,HRV_0272,2022-11-30 19:51:52
3,"[{'imgObject': {}, 'id': 'mashed potato', 'src': '/static/foodstim60/mashed potato.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 6889.0999999940395, 'positionName': 'LEFT', 'positionCoords': [328.28, 156.5], 'bid': 9.01}, {'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 6889.399999991059, 'positionName': 'RIGHT', 'positionCoords': [798.72, 156], 'bid': 8.69}]",6888.199999988079,1669837741996,mashed potato,apple slices,9.01,8.69,-0.3200000000000003,,apple slices,136,136,136.40000000596046,True,i,7537.199999988079,649.0,1669837742645,649,HRV,HRV_0272,2022-11-30 19:51:52
4,"[{'imgObject': {}, 'id': 'raisin bran w milk', 'src': '/static/foodstim60/raisin bran w milk.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 7539.899999991059, 'positionName': 'LEFT', 'positionCoords': [326.28, 155.5], 'bid': 7.3}, {'imgObject': {}, 'id': 'raspberries', 'src': '/static/foodstim60/raspberries.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 7540.399999991059, 'positionName': 'RIGHT', 'positionCoords': [798.72, 155.5], 'bid': 7.43}]",7537.899999991059,1669837742646,raisin bran w milk,raspberries,7.3,7.43,0.1299999999999999,,raisin bran w milk,245.5,246,246.1000000089407,True,u,8297.0,759.1000000089407,1669837743405,759,HRV,HRV_0272,2022-11-30 19:51:52
5,"[{'imgObject': {}, 'id': 'blueberries', 'src': '/static/foodstim60/blueberries.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 8298.59999999404, 'positionName': 'LEFT', 'positionCoords': [326.28, 155.5], 'bid': 8.02}, {'imgObject': {}, 'id': 'turkeysandwich', 'src': '/static/foodstim60/turkeysandwich.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 8300, 'positionName': 'RIGHT', 'positionCoords': [798.72, 156.5], 'bid': 8.07}]",8297.59999999404,1669837743405,blueberries,turkeysandwich,8.02,8.07,0.05000000000000071,,turkeysandwich,449.5,450,449.79999999701977,True,i,9250.09999999404,952.5,1669837744358,953,HRV,HRV_0272,2022-11-30 19:51:52
6,"[{'imgObject': {}, 'id': 'mac & cheese', 'src': '/static/foodstim60/mac & cheese.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 9252.5, 'positionName': 'LEFT', 'positionCoords': [327.28, 156], 'bid': 8.65}, {'imgObject': {}, 'id': 'raspberries', 'src': '/static/foodstim60/raspberries.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 9252.89999999106, 'positionName': 'RIGHT', 'positionCoords': [798.72, 155.5], 'bid': 7.43}]",9250.59999999404,1669837744358,mac & cheese,raspberries,8.65,7.43,-1.2200000000000006,,mac & cheese,322.90000000596046,324,323.40000000596046,True,u,10097.39999999106,846.7999999970198,1669837745205,847,HRV,HRV_0272,2022-11-30 19:51:52
7,"[{'imgObject': {}, 'id': 'blackbeanswithrice', 'src': '/static/foodstim60/blackbeanswithrice.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 10100.29999999702, 'positionName': 'LEFT', 'positionCoords': [327.28, 156], 'bid': 7.86}, {'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 10101, 'positionName': 'RIGHT', 'positionCoords': [798.72, 156.5], 'bid': 7.03}]",10098.09999999404,1669837745206,blackbeanswithrice,salmon,7.86,7.03,-0.8300000000000001,,salmon,254.59999999403954,255,255.09999999403954,True,i,10857.199999988079,759.0999999940395,1669837745965,759,HRV,HRV_0272,2022-11-30 19:51:52
8,"[{'imgObject': {}, 'id': 'bagel plain', 'src': '/static/foodstim60/bagel plain.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 10859.5, 'positionName': 'LEFT', 'positionCoords': [327.28, 156], 'bid': 9.02}, {'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 10860, 'positionName': 'RIGHT', 'positionCoords': [798.72, 156], 'bid': 8.56}]",10857.699999988079,1669837745965,bagel plain,yogurt no spoon,9.02,8.56,-0.4599999999999991,,bagel plain,379.20000000298023,380,379.6000000089407,True,u,11757.59999999404,899.9000000059605,1669837746865,900,HRV,HRV_0272,2022-11-30 19:51:52
9,"[{'imgObject': {}, 'id': 'strawberries', 'src': '/static/foodstim60/strawberries.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 11760.09999999404, 'positionName': 'LEFT', 'positionCoords': [327.28, 156], 'bid': 8.64}, {'imgObject': {}, 'id': 'burrito', 'src': '/static/foodstim60/burrito.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 11760.39999999106, 'positionName': 'RIGHT', 'positionCoords': [798.72, 156], 'bid': 9.15}]",11758.199999988079,1669837746866,strawberries,burrito,8.64,9.15,0.5099999999999998,,burrito,438.40000000596046,439,438.80000001192093,True,i,12717.199999988079,959.0,1669837747825,959,HRV,HRV_0272,2022-11-30 19:51:52
10,"[{'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 10, 'loaded': True, 'loadedTime': 12720.39999999106, 'positionName': 'LEFT', 'positionCoords': [327.28, 155.5], 'bid': 9.28}, {'imgObject': {}, 'id': 'veggieswithdip', 'src': '/static/foodstim60/veggieswithdip.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 10, 'loaded': True, 'loadedTime': 12720.79999999702, 'positionName': 'RIGHT', 'positionCoords': [798.72, 156.5], 'bid': 8.69}]",12717.89999999106,1669837747826,rigatoni and sauce,veggieswithdip,9.28,8.69,-0.5899999999999999,,rigatoni and sauce,302.40000000596046,302,302.79999999701977,True,u,13537.199999988079,819.2999999970198,1669837748645,819,HRV,HRV_0272,2022-11-30 19:51:52
11,"[{'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 11, 'loaded': True, 'loadedTime': 13539.59999999404, 'positionName': 'LEFT', 'positionCoords': [326.28, 155.5], 'bid': 8.51}, {'imgObject': {}, 'id': 'pear', 'src': '/static/foodstim60/pear.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 11, 'loaded': True, 'loadedTime': 13539.89999999106, 'positionName': 'RIGHT', 'positionCoords': [798.72, 156], 'bid': 8.43}]",13537.79999999702,1669837748645,Grapes,pear,8.51,8.43,-0.08000000000000007,,Grapes,497.09999999403954,498,497.5,True,u,14542.199999988079,1004.3999999910593,1669837749650,1005,HRV,HRV_0272,2022-11-30 19:51:52
12,"[{'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 12, 'loaded': True, 'loadedTime': 14544.59999999404, 'positionName': 'LEFT', 'positionCoords': [327.28, 155.5], 'bid': 7.65}, {'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 12, 'loaded': True, 'loadedTime': 14545, 'positionName': 'RIGHT', 'positionCoords': [798.72, 155.5], 'bid': 7.94}]",14542.79999999702,1669837749650,cherries,mango,7.65,7.94,0.29000000000000004,,mango,183.3999999910593,184,183.8999999910593,True,i,15237.199999988079,694.3999999910593,1669837750345,695,HRV,HRV_0272,2022-11-30 19:51:52
