trialN,QuestionNum,Question,Answer,QuestionRating,AnswerRating,exp,subjectId,date
0.0,403,"What grape, used to make a popular California wine, is called Primitivo in Europe?  ",Zinfindel,64,89,HRV,HRV_0216,2022-11-30 18:55:37
1.0,154,What common item is usually made up of twelve pentagons and twenty hexagons?,A soccer ball,92,89,HRV,HRV_0216,2022-11-30 18:55:37
2.0,78,Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911? ,The Mona Lisa,93,98,HRV,HRV_0216,2022-11-30 18:55:37
3.0,432,What is the hottest part of a chili?,"the white flesh that houses the seeds, known as the placenta",94,94,HRV,HRV_0216,2022-11-30 18:55:37
4.0,248,What product did Herbert Lapidus invent in 1974 by impregnanting latex rubber with coconut charcoal?,Odor Eaters ,91,92,HRV,HRV_0216,2022-11-30 18:55:37
5.0,316,Where did the Beagle 2 crash and disappear on Christmas Day 2003?  ,Mars,81,93,HRV,HRV_0216,2022-11-30 18:55:37
6.0,379,Who was sued in 1999 by Rosa Parks after they used her name to title a hit song?  ,OutKast,90,93,HRV,HRV_0216,2022-11-30 18:55:37
7.0,119,"Until 1790, what was known as Jenkins Hill? ",Capitol Hill,92,96,HRV,HRV_0216,2022-11-30 18:55:37
8.0,139,What area changed hands 72 times during the Civil War? ,Shenandoah Valley,95,85,HRV,HRV_0216,2022-11-30 18:55:37
9.0,459,What is the only non-animal natural source of vitamin D?,Mushrooms which have been exposed to light,89,91,HRV,HRV_0216,2022-11-30 18:55:37
