trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rsp,rt,rt_UNIX,receivedResponse,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,rt_perfnow,exp,subjectId,date
113,"[{'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 113, 'loaded': True, 'loadedTime': 7152, 'positionName': 'LEFT', 'positionCoords': [204.4, 154.5], 'bid': 7.84}, {'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 113, 'loaded': True, 'loadedTime': 5735.899999976158, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155.5], 'bid': 6.8500000000000005}]",237942.29999995232,1669830010241,rigatoni and sauce,chicken nuggets2,7.84,6.8500000000000005,-0.9899999999999993,rigatoni and sauce,u,1125.800000011921,1126,True,239594.19999998808,1651.9000000357628,1669830011893,1652,1126.300000011921,HRV,HRV_0088,2022-11-30 17:42:13
114,"[{'imgObject': {}, 'id': 'granola w milk', 'src': '/static/foodstim60/granola w milk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 114, 'loaded': True, 'loadedTime': 6772.099999964237, 'positionName': 'LEFT', 'positionCoords': [204.4, 155], 'bid': 2.12}, {'imgObject': {}, 'id': 'banana', 'src': '/static/foodstim60/banana.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 114, 'loaded': True, 'loadedTime': 7014.699999988079, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 5.98}]",239594.59999996424,1669830011893,granola w milk,banana,2.12,5.98,3.8600000000000003,granola w milk,u,1292.9000000357628,1294,True,241395.19999998808,1800.6000000238419,1669830013694,1801,1293.5,HRV,HRV_0088,2022-11-30 17:42:13
115,"[{'imgObject': {}, 'id': 'avocado', 'src': '/static/foodstim60/avocado.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 115, 'loaded': True, 'loadedTime': 6946.599999964237, 'positionName': 'LEFT', 'positionCoords': [205.4, 155.5], 'bid': 9.84}, {'imgObject': {}, 'id': 'grilled chicken strips', 'src': '/static/foodstim60/grilled chicken strips.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 115, 'loaded': True, 'loadedTime': 7019.799999952316, 'positionName': 'RIGHT', 'positionCoords': [665.6, 154.5], 'bid': 8.040000000000001}]",241395.79999995232,1669830013694,avocado,grilled chicken strips,9.84,8.040000000000001,-1.799999999999999,grilled chicken strips,i,1597.6000000238419,1598,True,243504.39999997616,2108.600000023842,1669830015803,2109,1598.1000000238419,HRV,HRV_0088,2022-11-30 17:42:13
116,"[{'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 116, 'loaded': True, 'loadedTime': 6398.799999952316, 'positionName': 'LEFT', 'positionCoords': [203.4, 154.5], 'bid': 3.62}, {'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 116, 'loaded': True, 'loadedTime': 7142, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 0.46}]",243505.0,1669830015803,Grapes,apple slices,3.62,0.46,-3.16,Grapes,u,1891.5999999642372,1893,True,245913.09999996424,2408.099999964237,1669830018211,2408,1892.199999988079,HRV,HRV_0088,2022-11-30 17:42:13
117,"[{'imgObject': {}, 'id': 'chickenfingers', 'src': '/static/foodstim60/chickenfingers.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 117, 'loaded': True, 'loadedTime': 6770.699999988079, 'positionName': 'LEFT', 'positionCoords': [204.4, 155], 'bid': 9.95}, {'imgObject': {}, 'id': 'burger', 'src': '/static/foodstim60/burger.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 117, 'loaded': True, 'loadedTime': 5309.099999964237, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155.5], 'bid': 9.65}]",245913.69999998808,1669830018212,chickenfingers,burger,9.95,9.65,-0.29999999999999893,burger,i,972.5,973,True,247396.39999997616,1482.699999988079,1669830019695,1483,973.1999999880791,HRV,HRV_0088,2022-11-30 17:42:13
118,"[{'imgObject': {}, 'id': 'salad w chicken', 'src': '/static/foodstim60/salad w chicken.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 118, 'loaded': True, 'loadedTime': 6225.899999976158, 'positionName': 'LEFT', 'positionCoords': [203.4, 154.5], 'bid': 5.59}, {'imgObject': {}, 'id': 'blackbeanswithrice', 'src': '/static/foodstim60/blackbeanswithrice.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 118, 'loaded': True, 'loadedTime': 6760.099999964237, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 4}]",247396.79999995232,1669830019695,salad w chicken,blackbeanswithrice,5.59,4.0,-1.5899999999999999,salad w chicken,u,1250.4000000357628,1251,True,249158.29999995232,1761.5,1669830021457,1762,1251.2000000476837,HRV,HRV_0088,2022-11-30 17:42:13
119,"[{'imgObject': {}, 'id': 'omelette', 'src': '/static/foodstim60/omelette.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 119, 'loaded': True, 'loadedTime': 5874.399999976158, 'positionName': 'LEFT', 'positionCoords': [204.4, 155.5], 'bid': 8.09}, {'imgObject': {}, 'id': 'bagel plain', 'src': '/static/foodstim60/bagel plain.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 119, 'loaded': True, 'loadedTime': 7095.799999952316, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 7.5}]",249158.79999995232,1669830021457,omelette,bagel plain,8.09,7.5,-0.5899999999999999,omelette,u,1397.4000000357628,1398,True,251062.39999997616,1903.6000000238419,1669830023361,1904,1397.9000000357628,HRV,HRV_0088,2022-11-30 17:42:13
120,"[{'imgObject': {}, 'id': 'edamame', 'src': '/static/foodstim60/edamame.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 120, 'loaded': True, 'loadedTime': 6865.199999988079, 'positionName': 'LEFT', 'positionCoords': [205.4, 155], 'bid': 0.17}, {'imgObject': {}, 'id': 'eggsalad', 'src': '/static/foodstim60/eggsalad.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 120, 'loaded': True, 'loadedTime': 7090.899999976158, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155.5], 'bid': 0.62}]",251063.19999998808,1669830023362,edamame,eggsalad,0.17,0.62,0.44999999999999996,eggsalad,i,1177.3999999761581,1178,True,252742.79999995232,1679.5999999642372,1669830025041,1679,1178.199999988079,HRV,HRV_0088,2022-11-30 17:42:13
121,"[{'imgObject': {}, 'id': 'Tribe humus pita', 'src': '/static/foodstim60/Tribe humus pita.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 121, 'loaded': True, 'loadedTime': 7102.5, 'positionName': 'LEFT', 'positionCoords': [203.4, 154.5], 'bid': 7.56}, {'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 121, 'loaded': True, 'loadedTime': 6094.5, 'positionName': 'RIGHT', 'positionCoords': [665.6, 154.5], 'bid': 9.75}]",252743.39999997616,1669830025042,Tribe humus pita,mango,7.56,9.75,2.1900000000000004,Tribe humus pita,u,1522.6000000238419,1523,True,254780.79999995232,2037.3999999761581,1669830027079,2037,1523.199999988079,HRV,HRV_0088,2022-11-30 17:42:13
122,"[{'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 122, 'loaded': True, 'loadedTime': 6407.199999988079, 'positionName': 'LEFT', 'positionCoords': [203.4, 154.5], 'bid': 3.62}, {'imgObject': {}, 'id': 'cherry tomato', 'src': '/static/foodstim60/cherry tomato.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 122, 'loaded': True, 'loadedTime': 6963.299999952316, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 0.15}]",254781.5,1669830027080,Grapes,cherry tomato,3.62,0.15,-3.47,Grapes,u,1379,1380,True,256675.69999998808,1894.199999988079,1669830028974,1894,1379.699999988079,HRV,HRV_0088,2022-11-30 17:42:13
