trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,trialEvents,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'seaweed', 'src': '/static/foodstim60/seaweed.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 4373.799999952316, 'positionName': 'LEFT', 'positionCoords': [204.4, 155], 'bid': 7.62}, {'imgObject': {}, 'id': 'mac & cheese', 'src': '/static/foodstim60/mac & cheese.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 4411.400000095367, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 8.21}]",4557.600000143051,1669830312404,seaweed,mac & cheese,7.62,8.21,0.5900000000000007,seaweed,1098.3999998569489,1098,1098.6999998092651,True,u,6170.0,1612.3999998569489,1669830314016,1612,,HRV,HRV_0087,2022-11-30 17:49:30
1,"[{'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 4422.900000095367, 'positionName': 'LEFT', 'positionCoords': [205.4, 155.5], 'bid': 6.42}, {'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 4428.799999952316, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155.5], 'bid': 7.18}]",6170.299999952316,1669830314016,eggs,turkey sandwich,6.42,7.18,0.7599999999999998,turkey sandwich,921.9000000953674,923,922.4000000953674,True,i,7614.799999952316,1444.5,1669830315461,1445,,HRV,HRV_0087,2022-11-30 17:49:30
2,"[{'imgObject': {}, 'id': 'mashed potato', 'src': '/static/foodstim60/mashed potato.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 4429.900000095367, 'positionName': 'LEFT', 'positionCoords': [205.4, 155.5], 'bid': 3.82}, {'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 4423.299999952316, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155.5], 'bid': 6.42}]",7615.100000143051,1669830315461,mashed potato,eggs,3.82,6.42,2.6,eggs,912.5999999046326,913,913.0999999046326,True,i,9042.5,1427.3999998569489,1669830316888,1427,,HRV,HRV_0087,2022-11-30 17:49:30
3,"[{'imgObject': {}, 'id': 'cantaloupe', 'src': '/static/foodstim60/cantaloupe.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 4433, 'positionName': 'LEFT', 'positionCoords': [205.4, 155.5], 'bid': 5.92}, {'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 4407.100000143051, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155.5], 'bid': 8.82}]",9042.700000047684,1669830316889,cantaloupe,chicken nuggets2,5.92,8.82,2.9000000000000004,chicken nuggets2,1056.2000000476837,1056,1056.7000000476837,True,i,10611.100000143051,1568.4000000953674,1669830318457,1568,,HRV,HRV_0087,2022-11-30 17:49:30
4,"[{'imgObject': {}, 'id': 'turkeysandwich', 'src': '/static/foodstim60/turkeysandwich.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 4386.900000095367, 'positionName': 'LEFT', 'positionCoords': [205.4, 155.5], 'bid': 8.75}, {'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 4442.400000095367, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155.5], 'bid': 8.71}]",10611.400000095367,1669830318457,turkeysandwich,salmon,8.75,8.71,-0.03999999999999915,turkeysandwich,1477.5999999046326,1478,1478.0,True,u,12595.100000143051,1983.7000000476837,1669830320441,1984,,HRV,HRV_0087,2022-11-30 17:49:30
5,"[{'imgObject': {}, 'id': 'blackbeanswithrice', 'src': '/static/foodstim60/blackbeanswithrice.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 4443.100000143051, 'positionName': 'LEFT', 'positionCoords': [204.4, 155], 'bid': 3.03}, {'imgObject': {}, 'id': 'raisin bran w milk', 'src': '/static/foodstim60/raisin bran w milk.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 4460.600000143051, 'positionName': 'RIGHT', 'positionCoords': [665.6, 154.5], 'bid': 7.28}]",12595.299999952316,1669830320441,blackbeanswithrice,raisin bran w milk,3.03,7.28,4.25,raisin bran w milk,933.3000001907349,934,933.9000000953674,True,i,14038.400000095367,1443.1000001430511,1669830321884,1443,,HRV,HRV_0087,2022-11-30 17:49:30
6,"[{'imgObject': {}, 'id': 'edamame', 'src': '/static/foodstim60/edamame.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 4460.600000143051, 'positionName': 'LEFT', 'positionCoords': [205.4, 155], 'bid': 0.96}, {'imgObject': {}, 'id': 'veggieswithdip', 'src': '/static/foodstim60/veggieswithdip.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 4470.600000143051, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155.5], 'bid': 3.12}]",14038.600000143051,1669830321885,edamame,veggieswithdip,0.96,3.12,2.16,edamame,857.6999998092651,858,858.0,True,u,15413.0,1374.3999998569489,1669830323259,1374,,HRV,HRV_0087,2022-11-30 17:49:30
7,"[{'imgObject': {}, 'id': 'cherry tomato', 'src': '/static/foodstim60/cherry tomato.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 4474.400000095367, 'positionName': 'LEFT', 'positionCoords': [204.4, 155], 'bid': 4.14}, {'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 4475.400000095367, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 3.45}]",15413.200000047684,1669830323259,cherry tomato,popsicles,4.14,3.45,-0.6899999999999995,cherry tomato,1156.9000000953674,1158,1157.4000000953674,True,u,17083.700000047684,1670.5,1669830324930,1671,,HRV,HRV_0087,2022-11-30 17:49:30
8,"[{'imgObject': {}, 'id': 'baked potato', 'src': '/static/foodstim60/baked potato.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 4476, 'positionName': 'LEFT', 'positionCoords': [205.4, 155], 'bid': 5.57}, {'imgObject': {}, 'id': 'sweetpotato', 'src': '/static/foodstim60/sweetpotato.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 4476.900000095367, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 5.46}]",17083.900000095367,1669830324930,baked potato,sweetpotato,5.57,5.46,-0.11000000000000032,sweetpotato,1078.3999998569489,1079,1078.8999998569489,True,i,18674.700000047684,1590.7999999523163,1669830326521,1591,,HRV,HRV_0087,2022-11-30 17:49:30
9,"[{'imgObject': {}, 'id': 'hotdog w must', 'src': '/static/foodstim60/hotdog w must.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 4477.799999952316, 'positionName': 'LEFT', 'positionCoords': [205.4, 155.5], 'bid': 6.8500000000000005}, {'imgObject': {}, 'id': 'fruitsalad', 'src': '/static/foodstim60/fruitsalad.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 4479.700000047684, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 6.71}]",18674.900000095367,1669830326521,hotdog w must,fruitsalad,6.8500000000000005,6.71,-0.14000000000000057,hotdog w must,1168.5999999046326,1169,1169.0,True,u,20362.60000014305,1687.7000000476837,1669830328209,1688,,HRV,HRV_0087,2022-11-30 17:49:30
