trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rsp,rt,rt_UNIX,receivedResponse,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,rt_perfnow,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'avocado', 'src': '/static/foodstim60/avocado.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 5169.900000095367, 'positionName': 'LEFT', 'positionCoords': [246.68, 179.5], 'bid': 0.31}, {'imgObject': {}, 'id': 'Tribe humus pita', 'src': '/static/foodstim60/Tribe humus pita.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 5341.299999952316, 'positionName': 'RIGHT', 'positionCoords': [710.32, 178.5], 'bid': 2.49}]",10832.0,1669831240857,avocado,Tribe humus pita,0.31,2.49,2.18,NaN,NaN,NaN,NaN,False,24700.799999952316,13868.799999952316,1669831254725,13868,,HRV,HRV_0045,2022-11-30 18:06:01
1,"[{'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 5504.799999952316, 'positionName': 'LEFT', 'positionCoords': [245.68, 179.5], 'bid': 5.46}, {'imgObject': {}, 'id': 'seaweed', 'src': '/static/foodstim60/seaweed.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 5521.100000143051, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 4.75}]",24701.60000014305,1669831254726,chicken nuggets2,seaweed,5.46,4.75,-0.71,chicken nuggets2,u,707.6999998092651,708,True,25922.700000047684,1221.0999999046326,1669831255947,1221,708.0,HRV,HRV_0045,2022-11-30 18:06:01
2,"[{'imgObject': {}, 'id': 'roastedpotatoes', 'src': '/static/foodstim60/roastedpotatoes.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 5578.200000047684, 'positionName': 'LEFT', 'positionCoords': [246.68, 179], 'bid': 7.63}, {'imgObject': {}, 'id': 'cheerios', 'src': '/static/foodstim60/cheerios.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 5592.900000095367, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 5.92}]",25923.10000014305,1669831255948,roastedpotatoes,cheerios,7.63,5.92,-1.71,roastedpotatoes,u,711,712,True,27141.400000095367,1218.2999999523163,1669831257166,1218,712.0999999046326,HRV,HRV_0045,2022-11-30 18:06:01
3,"[{'imgObject': {}, 'id': 'strawberries', 'src': '/static/foodstim60/strawberries.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 5624.600000143051, 'positionName': 'LEFT', 'positionCoords': [245.68, 179], 'bid': 7.24}, {'imgObject': {}, 'id': 'eggsalad', 'src': '/static/foodstim60/eggsalad.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 5684.600000143051, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179.5], 'bid': 2.8000000000000003}]",27141.700000047684,1669831257166,strawberries,eggsalad,7.24,2.8000000000000003,-4.4399999999999995,strawberries,u,770.2000000476837,771,True,28413.5,1271.7999999523163,1669831258438,1272,770.5,HRV,HRV_0045,2022-11-30 18:06:01
4,"[{'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 5817.400000095367, 'positionName': 'LEFT', 'positionCoords': [245.68, 178.5], 'bid': 7.81}, {'imgObject': {}, 'id': 'banana', 'src': '/static/foodstim60/banana.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 5973.799999952316, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 6.66}]",28413.900000095367,1669831258438,cherries,banana,7.81,6.66,-1.1499999999999995,cherries,u,1380,1381,True,30305.400000095367,1891.5,1669831260330,1892,1380.7000000476837,HRV,HRV_0045,2022-11-30 18:06:01
5,"[{'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 6171.5, 'positionName': 'LEFT', 'positionCoords': [246.68, 179.5], 'bid': 5.3}, {'imgObject': {}, 'id': 'hashbrowns', 'src': '/static/foodstim60/hashbrowns.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 6178, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 0.18}]",30305.799999952316,1669831260330,turkey sandwich,hashbrowns,5.3,0.18,-5.12,turkey sandwich,u,1219.8000001907349,1221,True,32029.0,1723.2000000476837,1669831262054,1724,1220.7000000476837,HRV,HRV_0045,2022-11-30 18:06:01
6,"[{'imgObject': {}, 'id': 'ice cream sundae 002', 'src': '/static/foodstim60/ice cream sundae 002.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 6251.600000143051, 'positionName': 'LEFT', 'positionCoords': [246.68, 179.5], 'bid': 9.05}, {'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 6446.700000047684, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 6.63}]",32029.299999952316,1669831262054,ice cream sundae 002,yogurt no spoon,9.05,6.63,-2.420000000000001,yogurt no spoon,i,1210.6000001430511,1211,True,33756.60000014305,1727.3000001907349,1669831263781,1727,1211.2000000476837,HRV,HRV_0045,2022-11-30 18:06:01
7,"[{'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 6595, 'positionName': 'LEFT', 'positionCoords': [245.68, 179.5], 'bid': 8.39}, {'imgObject': {}, 'id': 'baked potato', 'src': '/static/foodstim60/baked potato.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 6597.400000095367, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 6.5}]",33756.799999952316,1669831263781,salmon,baked potato,8.39,6.5,-1.8900000000000006,salmon,u,31.100000143051147,32,True,34306.0,549.2000000476837,1669831264331,550,31.700000047683716,HRV,HRV_0045,2022-11-30 18:06:01
8,"[{'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 6613.600000143051, 'positionName': 'LEFT', 'positionCoords': [245.68, 178.5], 'bid': 7.81}, {'imgObject': {}, 'id': 'burger', 'src': '/static/foodstim60/burger.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 6614.100000143051, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179.5], 'bid': 6.22}]",34306.5,1669831264331,cherries,burger,7.81,6.22,-1.5899999999999999,cherries,u,895.2000000476837,897,True,35718.10000014305,1411.6000001430511,1669831265743,1412,897.1000001430511,HRV,HRV_0045,2022-11-30 18:06:01
9,"[{'imgObject': {}, 'id': 'hotdog w must', 'src': '/static/foodstim60/hotdog w must.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 6669, 'positionName': 'LEFT', 'positionCoords': [246.68, 179.5], 'bid': 0.6900000000000001}, {'imgObject': {}, 'id': 'omelette', 'src': '/static/foodstim60/omelette.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 6672.600000143051, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179.5], 'bid': 2.4}]",35718.60000014305,1669831265743,hotdog w must,omelette,0.6900000000000001,2.4,1.71,omelette,i,1202.2999999523163,1203,True,37442.299999952316,1723.6999998092651,1669831267467,1724,1203.2999999523163,HRV,HRV_0045,2022-11-30 18:06:01
