success,trial_type,trial_index,time_elapsed,internal_node_id,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,rt,block,button_pressed,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,missTrial,missTrialMsg,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
True,fullscreen,0,52426,0.0-0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0018,2022-11-30 18:09:54
,wl-check-fps,1,57446,0.0-1.0,0.0,2.0,"[53588.2, 53592.4, 53605.9, 53625.2, 53634.8, 53648.7, 53664.6, 53684.2, 53698.7, 53715.2, 53748.1, 53751.7, 53766.6, 53788.7, 53800.5, 53816.1, 53842.2, 53852.1, 53872.4, 53886, 53918.3, 53923, 53935.4, 53949.9, 53965.8, 53981.8, 54002.1, 54015.3, 54034.5, 54050.9, 54065.7, 54082.4, 54100.5, 54116.1, 54136.2, 54150.5, 54165.4, 54181.9, 54200.2, 54215.3, 54234, 54249.7, 54265.4, 54283.7, 54300.5, 54316.7, 54334.6, 54348.3, 54367.7, 54381.8, 54399.2, 54415.6, 54435, 54452.1, 54465.5, 54482.6, 54498.6, 54519.2, 54533.9, 54547.5, 54570.4, 54581.5, 54597.8, 54615.4, 54633.7, 54648.3, 54671.9, 54681.6, 54698.9, 54717, 54733.5, 54748.3, 54766.9, 54781.8, 54798.6, 54816.2, 54833, 54849.8, 54865.2, 54882.7, 54898.6, 54914.5, 54936, 54948.7, 54966.2, 54983.6, 54999.3, 55016, 55035.7, 55049, 55066.2, 55082.8, 55099, 55115.5, 55134.3, 55149, 55167.3, 55182.2, 55199.6, 55215.9, 55232.6, 55248.4, 55266, 55281.6, 55298.1, 55315.2, 55332, 55348.6, 55365.9, 55381.8, 55398.4, 55415.9, 55434.5, 55448.7, 55466.7, 55483.1, 55501.4, 55515.2, 55531.2, 55548.3, 55566, 55583.7, 55600.6, 55615.6, 55635.3, 55648.4, 55665.8, 55682.2, 55701.6, 55716.4, 55739, 55747.7, 55765, 55782.9, 55799.3, 55814.1, 55833.3, 55851.8, 55865.9, 55882, 55898.1, 55915, 55933.2, 55947.7, 55966.2, 55981.5, 56000.2, 56017.3, 56032.3, 56048.5, 56065.3, 56083.5, 56098.8, 56115.5, 56134.2, 56148.8, 56165.3, 56182.1, 56199, 56215.3, 56231.3, 56247.2, 56264.7, 56282.1, 56298.7, 56316.4, 56336.2, 56348.4, 56365.7, 56387, 56399, 56415.5, 56433.7, 56447.8, 56466.4, 56482.1, 56499.2, 56514.6, 56534.3, 56548, 56565.1, 56584.5, 56600.6, 56616.7, 56635.3, 56648.8, 56665.9, 56684.1, 56699.8, 56716, 56735.9, 56748.3, 56766.5, 56781.5, 56800.7, 56815, 56835.1, 56848.7, 56864.2, 56881.6, 56898.1, 56917.1, 56931.2, 56948.5, 56964.8, 56983.5, 56999.6, 57016.4, 57032.8, 57049, 57066.1, 57081.7, 57098.7, 57115.5, 57138.8, 57148.2, 57165.9, 57186.6, 57197.6, 57214.4, 57233.2, 57248.6, 57266.3, 57281.7, 57298.8, 57315.3, 57337.7, 57349.4, 57371.9, 57386.1, 57403.6, 57418.5, 57436.2, 57451.7, 57469.2, 57485, 57502.2, 57520.2, 57539.6, 57552, 57570.5, 57582, 57599.1, 57614.3, 57633.1, 57648.9, 57665.5, 57689.2, 57698.5, 57715.3, 57731.6, 57749, 57764.1, 57781.1, 57798.2, 57817, 57835.3, 57851, 57868.1, 57891.2, 57902.3, 57919.3, 57938, 57953.6, 57975.7, 57985.4, 58003.1, 58019.3, 58036.6, 58051.1, 58071.2, 58089.1, 58108.4, 58114.7, 58133.8, 58147.4, 58165.4, 58181.7, 58198.8, 58218.2, 58237.1, 58249.1, 58265.4, 58281.9, 58298.2, 58315.1, 58332.5, 58349.2, 58364.5, 58381.9, 58398.6, 58414.8, 58431.4, 58451.6, 58474.6, 58486.6, 58497.6, 58515.6, 58532.2, 58548.3]","[28.5, 4.2, 13.5, 19.3, 9.6, 13.9, 15.9, 19.6, 14.5, 16.5, 32.9, 3.6, 14.9, 22.1, 11.8, 15.6, 26.1, 9.9, 20.3, 13.6, 32.3, 4.7, 12.4, 14.5, 15.9, 16, 20.3, 13.2, 19.2, 16.4, 14.8, 16.7, 18.1, 15.6, 20.1, 14.3, 14.9, 16.5, 18.3, 15.1, 18.7, 15.7, 15.7, 18.3, 16.8, 16.2, 17.9, 13.7, 19.4, 14.1, 17.4, 16.4, 19.4, 17.1, 13.4, 17.1, 16, 20.6, 14.7, 13.6, 22.9, 11.1, 16.3, 17.6, 18.3, 14.6, 23.6, 9.7, 17.3, 18.1, 16.5, 14.8, 18.6, 14.9, 16.8, 17.6, 16.8, 16.8, 15.4, 17.5, 15.9, 15.9, 21.5, 12.7, 17.5, 17.4, 15.7, 16.7, 19.7, 13.3, 17.2, 16.6, 16.2, 16.5, 18.8, 14.7, 18.3, 14.9, 17.4, 16.3, 16.7, 15.8, 17.6, 15.6, 16.5, 17.1, 16.8, 16.6, 17.3, 15.9, 16.6, 17.5, 18.6, 14.2, 18, 16.4, 18.3, 13.8, 16, 17.1, 17.7, 17.7, 16.9, 15, 19.7, 13.1, 17.4, 16.4, 19.4, 14.8, 22.6, 8.7, 17.3, 17.9, 16.4, 14.8, 19.2, 18.5, 14.1, 16.1, 16.1, 16.9, 18.2, 14.5, 18.5, 15.3, 18.7, 17.1, 15, 16.2, 16.8, 18.2, 15.3, 16.7, 18.7, 14.6, 16.5, 16.8, 16.9, 16.3, 16, 15.9, 17.5, 17.4, 16.6, 17.7, 19.8, 12.2, 17.3, 21.3, 12, 16.5, 18.2, 14.1, 18.6, 15.7, 17.1, 15.4, 19.7, 13.7, 17.1, 19.4, 16.1, 16.1, 18.6, 13.5, 17.1, 18.2, 15.7, 16.2, 19.9, 12.4, 18.2, 15, 19.2, 14.3, 20.1, 13.6, 15.5, 17.4, 16.5, 19, 14.1, 17.3, 16.3, 18.7, 16.1, 16.8, 16.4, 16.2, 17.1, 15.6, 17, 16.8, 23.3, 9.4, 17.7, 20.7, 11, 16.8, 18.8, 15.4, 17.7, 15.4, 17.1, 16.5, 22.4, 11.7, 22.5, 14.2, 17.5, 14.9, 17.7, 15.5, 17.5, 15.8, 17.2, 18, 19.4, 12.4, 18.5, 11.5, 17.1, 15.2, 18.8, 15.8, 16.6, 23.7, 9.3, 16.8, 16.3, 17.4, 15.1, 17, 17.1, 18.8, 18.3, 15.7, 17.1, 23.1, 11.1, 17, 18.7, 15.6, 22.1, 9.7, 17.7, 16.2, 17.3, 14.5, 20.1, 17.9, 19.3, 6.3, 19.1, 13.6, 18, 16.3, 17.1, 19.4, 18.9, 12, 16.3, 16.5, 16.3, 16.9, 17.4, 16.7, 15.3, 17.4, 16.7, 16.2, 16.6, 20.2, 23, 12, 11, 18, 16.6, 16.1]",60.0,61.0,58.0,5005.7,[],,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0018,2022-11-30 18:09:54
,wl-html-keyboard-response,2,78011,0.0-2.0-0.0,0.0,3.0,,,,,,,,18535.900000095367,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0018,2022-11-30 18:09:54
,wl-rdm,3,94956,0.0-3.0-0.0,0.0,4.0,,,,,,,[],,,,0.0,0.0,87.9,0.0,u,0.0,True,7160.60000038147,430.0,58.0,40.0,False,too_early ,3000.0,[],"[683, 384]",ColorTask_Demo,,,,,HRV,HRV_0018,2022-11-30 18:09:54
,wl-rdm,4,100337,0.0-3.0-1.0,0.0,5.0,,,,,,,[],,,,0.0,0.0,87.9,1.0,i,1.0,True,1276.0999999046326,77.0,58.0,40.0,False,,2000.0,[],"[683, 384]",ColorTask_Demo,,,,,HRV,HRV_0018,2022-11-30 18:09:54
,wl-html-keyboard-response,5,108416,0.0-3.0-2.0,0.0,6.0,,,,,,,,6069.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0018,2022-11-30 18:09:54
,wl-html-keyboard-response,6,122763,0.0-4.0-0.0,0.0,7.0,,,,,,,,12337.699999809265,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0018,2022-11-30 18:09:54
,wl-html-keyboard-response,7,143093,0.0-5.0-0.0,0.0,8.0,,,,,,,,18320.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0018,2022-11-30 18:09:54
,wl-rdm,8,145435,0.0-6.0-0.0,0.0,9.0,,,,,,,[],,,,,,50.0,1.0,i,1.0,True,910.9000000953674,55.0,58.0,40.0,False,,348.96087912063166,[],"[683, 384]",ColorTask,1.0,1.0,,,HRV,HRV_0018,2022-11-30 18:09:54
,wl-rdm,9,147601,0.0-6.1-0.1,0.0,10.0,,,,,,,[],,,,,,62.5,0.0,i,1.0,False,847.5,51.0,58.0,40.0,False,,220.1494252759819,[],"[683, 384]",ColorTask,0.0,2.0,,,HRV,HRV_0018,2022-11-30 18:09:54
