trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rsp,rt,rt_UNIX,receivedResponse,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,rt_perfnow,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'strawberries', 'src': '/static/foodstim60/strawberries.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 2216.100000023842, 'positionName': 'LEFT', 'positionCoords': [327.28, 227], 'bid': 8.59}, {'imgObject': {}, 'id': 'rigatoni', 'src': '/static/foodstim60/rigatoni.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 2267.2000000476837, 'positionName': 'RIGHT', 'positionCoords': [798.72, 226.5], 'bid': 7.85}]",2544.4000000953674,1669843954760,strawberries,rigatoni,8.59,7.85,-0.7400000000000002,NaN,NaN,NaN,NaN,False,6568.200000047684,4023.7999999523163,1669843958784,4024,,HRV,HRV_0303,2022-11-30 21:37:06
1,"[{'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 2269.2000000476837, 'positionName': 'LEFT', 'positionCoords': [326.28, 226.5], 'bid': 6.7700000000000005}, {'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 2275.2000000476837, 'positionName': 'RIGHT', 'positionCoords': [798.72, 227], 'bid': 6.83}]",6568.5,1669843958784,Grapes,apple slices,6.7700000000000005,6.83,0.05999999999999961,NaN,NaN,NaN,NaN,False,10598.400000095367,4029.9000000953674,1669843962814,4030,,HRV,HRV_0303,2022-11-30 21:37:06
2,"[{'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 2276.4000000953674, 'positionName': 'LEFT', 'positionCoords': [328.28, 227.5], 'bid': 5.03}, {'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 2277.7000000476837, 'positionName': 'RIGHT', 'positionCoords': [798.72, 226.5], 'bid': 4.38}]",10598.600000023842,1669843962814,eggs,cherries,5.03,4.38,-0.6500000000000004,eggs,u,356,357,True,11475.700000047684,877.1000000238419,1669843963691,877,356.8000000715256,HRV,HRV_0303,2022-11-30 21:37:06
3,"[{'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 2280.3000000715256, 'positionName': 'LEFT', 'positionCoords': [327.28, 227.5], 'bid': 7.13}, {'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 2282.4000000953674, 'positionName': 'RIGHT', 'positionCoords': [798.72, 227.5], 'bid': 5.87}]",11476.0,1669843963691,salmon,chicken nuggets2,7.13,5.87,-1.2599999999999998,salmon,u,1246.1000000238419,1247,True,13243.700000047684,1767.7000000476837,1669843965459,1768,1246.4000000953674,HRV,HRV_0303,2022-11-30 21:37:06
4,"[{'imgObject': {}, 'id': 'edamame', 'src': '/static/foodstim60/edamame.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 2284.4000000953674, 'positionName': 'LEFT', 'positionCoords': [328.28, 227], 'bid': 0.15}, {'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 2285.3000000715256, 'positionName': 'RIGHT', 'positionCoords': [798.72, 227], 'bid': 0.23}]",13243.800000071526,1669843965459,edamame,yogurt no spoon,0.15,0.23,0.08000000000000002,yogurt no spoon,i,840.1000000238419,841,True,14586.300000071526,1342.5,1669843966802,1343,840.6999999284744,HRV,HRV_0303,2022-11-30 21:37:06
5,"[{'imgObject': {}, 'id': 'baked potato', 'src': '/static/foodstim60/baked potato.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 2285.4000000953674, 'positionName': 'LEFT', 'positionCoords': [328.28, 227], 'bid': 7.87}, {'imgObject': {}, 'id': 'bagel and cc', 'src': '/static/foodstim60/bagel and cc.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 2286.9000000953674, 'positionName': 'RIGHT', 'positionCoords': [798.72, 227], 'bid': 7.890000000000001}]",14586.600000023842,1669843966802,baked potato,bagel and cc,7.87,7.890000000000001,0.020000000000000462,baked potato,u,1051.3000000715256,1052,True,16146.800000071526,1560.2000000476837,1669843968362,1560,1051.7000000476837,HRV,HRV_0303,2022-11-30 21:37:06
6,"[{'imgObject': {}, 'id': 'turkeysandwich', 'src': '/static/foodstim60/turkeysandwich.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 2287.8000000715256, 'positionName': 'LEFT', 'positionCoords': [328.28, 227.5], 'bid': 8.45}, {'imgObject': {}, 'id': 'mashed potato', 'src': '/static/foodstim60/mashed potato.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 2291.600000023842, 'positionName': 'RIGHT', 'positionCoords': [798.72, 227.5], 'bid': 8.370000000000001}]",16147.0,1669843968363,turkeysandwich,mashed potato,8.45,8.370000000000001,-0.0799999999999983,turkeysandwich,u,824,824,True,17480.400000095367,1333.4000000953674,1669843969696,1333,824.4000000953674,HRV,HRV_0303,2022-11-30 21:37:06
7,"[{'imgObject': {}, 'id': 'hotdog w must', 'src': '/static/foodstim60/hotdog w must.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 2308.8000000715256, 'positionName': 'LEFT', 'positionCoords': [328.28, 227.5], 'bid': 7.76}, {'imgObject': {}, 'id': 'baked potato', 'src': '/static/foodstim60/baked potato.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 2286.2000000476837, 'positionName': 'RIGHT', 'positionCoords': [798.72, 227], 'bid': 7.87}]",17480.700000047684,1669843969696,hotdog w must,baked potato,7.76,7.87,0.11000000000000032,baked potato,i,970.7000000476837,971,True,18963.200000047684,1482.5,1669843971179,1483,971.1000000238419,HRV,HRV_0303,2022-11-30 21:37:06
8,"[{'imgObject': {}, 'id': 'orange slices', 'src': '/static/foodstim60/orange slices.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 2338.3000000715256, 'positionName': 'LEFT', 'positionCoords': [328.28, 227], 'bid': 7.35}, {'imgObject': {}, 'id': 'olives', 'src': '/static/foodstim60/olives.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 2341.3000000715256, 'positionName': 'RIGHT', 'positionCoords': [798.72, 227], 'bid': 0.07}]",18963.5,1669843971179,orange slices,olives,7.35,0.07,-7.279999999999999,orange slices,u,852.6000000238419,853,True,20330.5,1367.0,1669843972546,1367,852.9000000953674,HRV,HRV_0303,2022-11-30 21:37:06
9,"[{'imgObject': {}, 'id': 'froot loops w milk', 'src': '/static/foodstim60/froot loops w milk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 2239.600000023842, 'positionName': 'LEFT', 'positionCoords': [327.28, 227], 'bid': 7.96}, {'imgObject': {}, 'id': 'banana', 'src': '/static/foodstim60/banana.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 2258.3000000715256, 'positionName': 'RIGHT', 'positionCoords': [798.72, 227], 'bid': 7.91}]",20330.900000095367,1669843972546,froot loops w milk,banana,7.96,7.91,-0.04999999999999982,froot loops w milk,u,1033.3999999761581,1034,True,21870.300000071526,1539.3999999761581,1669843974086,1540,1033.7999999523163,HRV,HRV_0303,2022-11-30 21:37:06
