trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rsp,rt,rt_UNIX,receivedResponse,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,trialEvents,exp,subjectId,date
20,"[{'imgObject': {}, 'id': 'steak', 'src': '/static/foodstim60/steak.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 20, 'loaded': True, 'loadedTime': 4873, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 4.88}, {'imgObject': {}, 'id': 'turkeysandwich', 'src': '/static/foodstim60/turkeysandwich.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 20, 'loaded': True, 'loadedTime': 5591, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179.5], 'bid': 3.1}]",87088,1669831187847,steak,turkeysandwich,4.88,3.1,-1.7799999999999998,NaN,NaN,NaN,NaN,False,92227,5139,1669831192986,5139,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 88203, 'date time': 1669831188962}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 88247, 'date time': 1669831189006}]",HRV,HRV_0126,2022-11-30 18:11:05
21,"[{'imgObject': {}, 'id': 'ice cream sundae 002', 'src': '/static/foodstim60/ice cream sundae 002.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 21, 'loaded': True, 'loadedTime': 5610, 'positionName': 'LEFT', 'positionCoords': [82.52, 179.5], 'bid': 8.96}, {'imgObject': {}, 'id': 'sushi w_condiments', 'src': '/static/foodstim60/sushi w_condiments.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 21, 'loaded': True, 'loadedTime': 5623, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 6.17}]",92227,1669831192986,ice cream sundae 002,sushi w_condiments,8.96,6.17,-2.790000000000001,NaN,NaN,NaN,NaN,False,97214,4987,1669831197973,4987,,HRV,HRV_0126,2022-11-30 18:11:05
22,"[{'imgObject': {}, 'id': 'cantaloupe', 'src': '/static/foodstim60/cantaloupe.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 22, 'loaded': True, 'loadedTime': 5361, 'positionName': 'LEFT', 'positionCoords': [82.52, 179.5], 'bid': 9}, {'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 22, 'loaded': True, 'loadedTime': 5096, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 9.21}]",97214,1669831197973,cantaloupe,yogurt no spoon,9.0,9.21,0.21000000000000085,NaN,NaN,NaN,NaN,False,102227,5013,1669831202986,5013,,HRV,HRV_0126,2022-11-30 18:11:05
23,"[{'imgObject': {}, 'id': 'fried eggs', 'src': '/static/foodstim60/fried eggs.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 23, 'loaded': True, 'loadedTime': 4915, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 5.15}, {'imgObject': {}, 'id': 'burger', 'src': '/static/foodstim60/burger.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 23, 'loaded': True, 'loadedTime': 5236, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179.5], 'bid': 4.92}]",102227,1669831202986,fried eggs,burger,5.15,4.92,-0.23000000000000043,NaN,NaN,NaN,NaN,False,107216,4989,1669831207975,4989,,HRV,HRV_0126,2022-11-30 18:11:05
24,"[{'imgObject': {}, 'id': 'edamame', 'src': '/static/foodstim60/edamame.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 24, 'loaded': True, 'loadedTime': 5638, 'positionName': 'LEFT', 'positionCoords': [82.52, 179], 'bid': 8.75}, {'imgObject': {}, 'id': 'orange slices', 'src': '/static/foodstim60/orange slices.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 24, 'loaded': True, 'loadedTime': 5669, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 9.76}]",107216,1669831207975,edamame,orange slices,8.75,9.76,1.0099999999999998,NaN,NaN,NaN,NaN,False,112226,5010,1669831212985,5010,,HRV,HRV_0126,2022-11-30 18:11:05
25,"[{'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 25, 'loaded': True, 'loadedTime': 5189, 'positionName': 'LEFT', 'positionCoords': [82.52, 179.5], 'bid': 7.12}, {'imgObject': {}, 'id': 'banana', 'src': '/static/foodstim60/banana.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 25, 'loaded': True, 'loadedTime': 5684, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 10}]",112226,1669831212985,turkey sandwich,banana,7.12,10.0,2.88,NaN,NaN,NaN,NaN,False,117229,5003,1669831217988,5003,,HRV,HRV_0126,2022-11-30 18:11:05
26,"[{'imgObject': {}, 'id': 'omelette', 'src': '/static/foodstim60/omelette.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 26, 'loaded': True, 'loadedTime': 5731, 'positionName': 'LEFT', 'positionCoords': [81.52, 179.5], 'bid': 4.47}, {'imgObject': {}, 'id': 'cherry tomato', 'src': '/static/foodstim60/cherry tomato.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 26, 'loaded': True, 'loadedTime': 4962, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 6.4}]",117229,1669831217988,omelette,cherry tomato,4.47,6.4,1.9300000000000006,NaN,NaN,NaN,NaN,False,122216,4987,1669831222976,4988,,HRV,HRV_0126,2022-11-30 18:11:05
27,"[{'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 27, 'loaded': True, 'loadedTime': 5731, 'positionName': 'LEFT', 'positionCoords': [81.52, 178.5], 'bid': 6.5}, {'imgObject': {}, 'id': 'roastedpotatoes', 'src': '/static/foodstim60/roastedpotatoes.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 27, 'loaded': True, 'loadedTime': 5747, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 5.87}]",122220,1669831222980,rigatoni and sauce,roastedpotatoes,6.5,5.87,-0.6299999999999999,NaN,NaN,NaN,NaN,False,127227,5007,1669831227987,5007,,HRV,HRV_0126,2022-11-30 18:11:05
28,"[{'imgObject': {}, 'id': 'eggsalad', 'src': '/static/foodstim60/eggsalad.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 28, 'loaded': True, 'loadedTime': 5763, 'positionName': 'LEFT', 'positionCoords': [81.52, 179.5], 'bid': 8.2}, {'imgObject': {}, 'id': 'omelette', 'src': '/static/foodstim60/omelette.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 28, 'loaded': True, 'loadedTime': 5684, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179.5], 'bid': 4.47}]",127227,1669831227987,eggsalad,omelette,8.2,4.47,-3.7299999999999995,NaN,NaN,NaN,NaN,False,132224,4997,1669831232984,4997,,HRV,HRV_0126,2022-11-30 18:11:05
29,"[{'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 29, 'loaded': True, 'loadedTime': 5080, 'positionName': 'LEFT', 'positionCoords': [80.52, 179], 'bid': 9.21}, {'imgObject': {}, 'id': 'tacos', 'src': '/static/foodstim60/tacos.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 29, 'loaded': True, 'loadedTime': 5025, 'positionName': 'RIGHT', 'positionCoords': [532.48, 178.5], 'bid': 8.08}]",132224,1669831232984,yogurt no spoon,tacos,9.21,8.08,-1.1300000000000008,NaN,NaN,NaN,NaN,False,137510,5286,1669831238270,5286,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 136914, 'date time': 1669831237674}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 136944, 'date time': 1669831237704}]",HRV,HRV_0126,2022-11-30 18:11:05
30,"[{'imgObject': {}, 'id': 'raspberries', 'src': '/static/foodstim60/raspberries.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 30, 'loaded': True, 'loadedTime': 5528, 'positionName': 'LEFT', 'positionCoords': [80.52, 178.5], 'bid': 8.57}, {'imgObject': {}, 'id': 'raisin bran w milk', 'src': '/static/foodstim60/raisin bran w milk.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 30, 'loaded': True, 'loadedTime': 5778, 'positionName': 'RIGHT', 'positionCoords': [532.48, 178.5], 'bid': 8.33}]",137511,1669831238271,raspberries,raisin bran w milk,8.57,8.33,-0.2400000000000002,NaN,NaN,NaN,NaN,False,141519,4008,1669831242279,4008,,HRV,HRV_0126,2022-11-30 18:11:05
31,"[{'imgObject': {}, 'id': 'orange slices', 'src': '/static/foodstim60/orange slices.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 31, 'loaded': True, 'loadedTime': 5669, 'positionName': 'LEFT', 'positionCoords': [82.52, 179], 'bid': 9.76}, {'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 31, 'loaded': True, 'loadedTime': 5794, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179.5], 'bid': 9.29}]",141520,1669831242280,orange slices,eggs,9.76,9.29,-0.47000000000000064,NaN,NaN,NaN,NaN,False,145535,4015,1669831246295,4015,,HRV,HRV_0126,2022-11-30 18:11:05
32,"[{'imgObject': {}, 'id': 'eggsalad', 'src': '/static/foodstim60/eggsalad.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 32, 'loaded': True, 'loadedTime': 5763, 'positionName': 'LEFT', 'positionCoords': [81.52, 179.5], 'bid': 8.2}, {'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 32, 'loaded': True, 'loadedTime': 5513, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179.5], 'bid': 8.69}]",145535,1669831246295,eggsalad,salmon,8.2,8.69,0.4900000000000002,NaN,NaN,NaN,NaN,False,149571,4036,1669831250331,4036,,HRV,HRV_0126,2022-11-30 18:11:05
33,"[{'imgObject': {}, 'id': 'banana', 'src': '/static/foodstim60/banana.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 33, 'loaded': True, 'loadedTime': 5669, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 10}, {'imgObject': {}, 'id': 'fruitsalad', 'src': '/static/foodstim60/fruitsalad.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 33, 'loaded': True, 'loadedTime': 5794, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 8.69}]",149572,1669831250332,banana,fruitsalad,10.0,8.69,-1.3100000000000005,NaN,NaN,NaN,NaN,False,153581,4009,1669831254341,4009,,HRV,HRV_0126,2022-11-30 18:11:05
34,"[{'imgObject': {}, 'id': 'cantaloupe', 'src': '/static/foodstim60/cantaloupe.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 34, 'loaded': True, 'loadedTime': 5361, 'positionName': 'LEFT', 'positionCoords': [82.52, 179.5], 'bid': 9}, {'imgObject': {}, 'id': 'chickenfingers', 'src': '/static/foodstim60/chickenfingers.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 34, 'loaded': True, 'loadedTime': 5825, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 6.19}]",153581,1669831254341,cantaloupe,chickenfingers,9.0,6.19,-2.8099999999999996,NaN,NaN,NaN,NaN,False,157590,4009,1669831258350,4009,,HRV,HRV_0126,2022-11-30 18:11:05
35,"[{'imgObject': {}, 'id': 'seaweed', 'src': '/static/foodstim60/seaweed.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 35, 'loaded': True, 'loadedTime': 4931, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 4.72}, {'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 35, 'loaded': True, 'loadedTime': 5731, 'positionName': 'RIGHT', 'positionCoords': [532.48, 178.5], 'bid': 6.5}]",157590,1669831258350,seaweed,rigatoni and sauce,4.72,6.5,1.7800000000000002,NaN,NaN,NaN,NaN,False,161599,4009,1669831262359,4009,,HRV,HRV_0126,2022-11-30 18:11:05
36,"[{'imgObject': {}, 'id': 'sweetpotato', 'src': '/static/foodstim60/sweetpotato.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 36, 'loaded': True, 'loadedTime': 5825, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 4.04}, {'imgObject': {}, 'id': 'tacos', 'src': '/static/foodstim60/tacos.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 36, 'loaded': True, 'loadedTime': 5009, 'positionName': 'RIGHT', 'positionCoords': [532.48, 178.5], 'bid': 8.08}]",161599,1669831262359,sweetpotato,tacos,4.04,8.08,4.04,NaN,NaN,NaN,NaN,False,165607,4008,1669831266367,4008,,HRV,HRV_0126,2022-11-30 18:11:05
37,"[{'imgObject': {}, 'id': 'eggsalad', 'src': '/static/foodstim60/eggsalad.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 37, 'loaded': True, 'loadedTime': 5763, 'positionName': 'LEFT', 'positionCoords': [81.52, 179.5], 'bid': 8.2}, {'imgObject': {}, 'id': 'cheerios', 'src': '/static/foodstim60/cheerios.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 37, 'loaded': True, 'loadedTime': 5856, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 8.3}]",165607,1669831266367,eggsalad,cheerios,8.2,8.3,0.10000000000000142,NaN,NaN,NaN,NaN,False,169614,4007,1669831270374,4007,,HRV,HRV_0126,2022-11-30 18:11:05
38,"[{'imgObject': {}, 'id': 'banana', 'src': '/static/foodstim60/banana.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 38, 'loaded': True, 'loadedTime': 5684, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 10}, {'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 38, 'loaded': True, 'loadedTime': 5856, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 9.27}]",169616,1669831270376,banana,apple slices,10.0,9.27,-0.7300000000000004,NaN,NaN,NaN,NaN,False,173629,4013,1669831274389,4013,,HRV,HRV_0126,2022-11-30 18:11:05
39,"[{'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 39, 'loaded': True, 'loadedTime': 6395, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 9.25}, {'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 39, 'loaded': True, 'loadedTime': 5856, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 9.27}]",173630,1669831274390,popsicles,apple slices,9.25,9.27,0.019999999999999574,NaN,NaN,NaN,NaN,False,177664,4034,1669831278424,4034,,HRV,HRV_0126,2022-11-30 18:11:05
40,"[{'imgObject': {}, 'id': 'salad w chicken', 'src': '/static/foodstim60/salad w chicken.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 40, 'loaded': True, 'loadedTime': 5856, 'positionName': 'LEFT', 'positionCoords': [80.52, 178.5], 'bid': 5.99}, {'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 40, 'loaded': True, 'loadedTime': 5080, 'positionName': 'RIGHT', 'positionCoords': [532.48, 178.5], 'bid': 8.9}]",177664,1669831278424,salad w chicken,Grapes,5.99,8.9,2.91,NaN,NaN,NaN,NaN,False,181692,4028,1669831282453,4029,,HRV,HRV_0126,2022-11-30 18:11:05
41,"[{'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 41, 'loaded': True, 'loadedTime': 5252, 'positionName': 'LEFT', 'positionCoords': [81.52, 178.5], 'bid': 6.58}, {'imgObject': {}, 'id': 'kiwi', 'src': '/static/foodstim60/kiwi.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 41, 'loaded': True, 'loadedTime': 5872, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 6.5600000000000005}]",181692,1669831282453,cherries,kiwi,6.58,6.5600000000000005,-0.019999999999999574,NaN,NaN,NaN,NaN,False,185723,4031,1669831286484,4031,,HRV,HRV_0126,2022-11-30 18:11:05
42,"[{'imgObject': {}, 'id': 'salad w chicken', 'src': '/static/foodstim60/salad w chicken.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 42, 'loaded': True, 'loadedTime': 5856, 'positionName': 'LEFT', 'positionCoords': [80.52, 178.5], 'bid': 5.99}, {'imgObject': {}, 'id': 'sushi w_condiments', 'src': '/static/foodstim60/sushi w_condiments.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 42, 'loaded': True, 'loadedTime': 5623, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 6.17}]",185724,1669831286485,salad w chicken,sushi w_condiments,5.99,6.17,0.17999999999999972,NaN,NaN,NaN,NaN,False,189756,4032,1669831290517,4032,,HRV,HRV_0126,2022-11-30 18:11:05
43,"[{'imgObject': {}, 'id': 'steak', 'src': '/static/foodstim60/steak.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 43, 'loaded': True, 'loadedTime': 4866, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 4.88}, {'imgObject': {}, 'id': 'cheerios', 'src': '/static/foodstim60/cheerios.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 43, 'loaded': True, 'loadedTime': 5841, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 8.3}]",189757,1669831290518,steak,cheerios,4.88,8.3,3.420000000000001,NaN,NaN,NaN,NaN,False,193787,4030,1669831294548,4030,,HRV,HRV_0126,2022-11-30 18:11:05
44,"[{'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 44, 'loaded': True, 'loadedTime': 5528, 'positionName': 'LEFT', 'positionCoords': [81.52, 179.5], 'bid': 8.69}, {'imgObject': {}, 'id': 'luckycharms', 'src': '/static/foodstim60/luckycharms.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 44, 'loaded': True, 'loadedTime': 5096, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179.5], 'bid': 8.41}]",193787,1669831294548,salmon,luckycharms,8.69,8.41,-0.27999999999999936,NaN,NaN,NaN,NaN,False,197837,4050,1669831298598,4050,,HRV,HRV_0126,2022-11-30 18:11:05
45,"[{'imgObject': {}, 'id': 'turkeysandwich', 'src': '/static/foodstim60/turkeysandwich.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 45, 'loaded': True, 'loadedTime': 5591, 'positionName': 'LEFT', 'positionCoords': [82.52, 179.5], 'bid': 3.1}, {'imgObject': {}, 'id': 'lox', 'src': '/static/foodstim60/lox.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 45, 'loaded': True, 'loadedTime': 5042, 'positionName': 'RIGHT', 'positionCoords': [532.48, 178.5], 'bid': 7.890000000000001}]",197838,1669831298599,turkeysandwich,lox,3.1,7.890000000000001,4.790000000000001,NaN,NaN,NaN,NaN,False,201860,4022,1669831302621,4022,,HRV,HRV_0126,2022-11-30 18:11:05
46,"[{'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 46, 'loaded': True, 'loadedTime': 5872, 'positionName': 'LEFT', 'positionCoords': [80.52, 178.5], 'bid': 9.82}, {'imgObject': {}, 'id': 'cantaloupe', 'src': '/static/foodstim60/cantaloupe.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 46, 'loaded': True, 'loadedTime': 5346, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179.5], 'bid': 9}]",201861,1669831302622,mango,cantaloupe,9.82,9.0,-0.8200000000000003,NaN,NaN,NaN,NaN,False,205901,4040,1669831306662,4040,,HRV,HRV_0126,2022-11-30 18:11:05
47,"[{'imgObject': {}, 'id': 'mashed potato', 'src': '/static/foodstim60/mashed potato.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 47, 'loaded': True, 'loadedTime': 5560, 'positionName': 'LEFT', 'positionCoords': [82.52, 179.5], 'bid': 7.890000000000001}, {'imgObject': {}, 'id': 'kiwi', 'src': '/static/foodstim60/kiwi.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 47, 'loaded': True, 'loadedTime': 5872, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 6.5600000000000005}]",205901,1669831306662,mashed potato,kiwi,7.890000000000001,6.5600000000000005,-1.33,NaN,NaN,NaN,NaN,False,209926,4025,1669831310687,4025,,HRV,HRV_0126,2022-11-30 18:11:05
48,"[{'imgObject': {}, 'id': 'avocado', 'src': '/static/foodstim60/avocado.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 48, 'loaded': True, 'loadedTime': 5919, 'positionName': 'LEFT', 'positionCoords': [82.52, 179.5], 'bid': 8.82}, {'imgObject': {}, 'id': 'strawberries', 'src': '/static/foodstim60/strawberries.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 48, 'loaded': True, 'loadedTime': 5934, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 9.92}]",209928,1669831310689,avocado,strawberries,8.82,9.92,1.0999999999999996,NaN,NaN,NaN,NaN,False,214040,4112,1669831314801,4112,,HRV,HRV_0126,2022-11-30 18:11:05
