trialN,QuestionNum,Question,Answer,QuestionRating,AnswerRating,exp,subjectId,date
0.0,445,What is gelatin made from?,the skin and bones of animals,Know,NaN,HRV,HRV_0134,2022-11-30 18:16:20
1.0,397,"In Britain, what kind of meat comes in rashers?",Bacon,Know,NaN,HRV,HRV_0134,2022-11-30 18:16:20
2.0,123,What 1980 film is named for the legendary square-shaped capital of Kublai Khan? ,Xanadu ,68,74,HRV,HRV_0134,2022-11-30 18:16:20
3.0,89,The Admiral is which type of insect? ,Butterfly,Know,NaN,HRV,HRV_0134,2022-11-30 18:16:20
4.0,360,Whittaker Chambers hid Alger Hiss's purloined State Department documents in a hollowed-out what?,Pumpkin,24,75,HRV,HRV_0134,2022-11-30 18:16:20
5.0,459,What is the only non-animal natural source of vitamin D?,Mushrooms which have been exposed to light,Know,NaN,HRV,HRV_0134,2022-11-30 18:16:20
6.0,187,What Indianapolis grocer made his name by selling canned pork and beans to U.S. troops during the Civil War?,Gilbert Van Camp ,95,95,HRV,HRV_0134,2022-11-30 18:16:20
7.0,340,Which country invented volleyball?   ,USA,19,49,HRV,HRV_0134,2022-11-30 18:16:20
8.0,258,What skyscraper's exterior ornaments include radiator caps on the thirty-first floor and hood ornament eagles on the sixty-first floor?,The Chrysler Building ,59,64,HRV,HRV_0134,2022-11-30 18:16:20
9.0,44,Har Gobind Khorana won the 1968 Nobel Prize for Medicine for research into what?,Genetics,3,74,HRV,HRV_0134,2022-11-30 18:16:20
