trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,trialEvents,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,exp,subjectId,date
115,"[{'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 115, 'loaded': True, 'loadedTime': 182939.39999997616, 'positionName': 'LEFT', 'positionCoords': [510.6, 395], 'bid': 5.36}, {'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 115, 'loaded': True, 'loadedTime': 182939.70000004768, 'positionName': 'RIGHT', 'positionCoords': [998.4, 394.5], 'bid': 5.67}]",182937.89999997616,1669837929513,yogurt no spoon,rigatoni and sauce,5.36,5.67,0.3099999999999996,,rigatoni and sauce,767.0,771,770.9000000953674,True,i,184217.5,1279.6000000238419,1669837930793,1280,HRV,HRV_0259,2022-11-30 19:53:46
116,"[{'imgObject': {}, 'id': 'blueberries', 'src': '/static/foodstim60/blueberries.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 116, 'loaded': True, 'loadedTime': 184219.5, 'positionName': 'LEFT', 'positionCoords': [510.6, 394.5], 'bid': 3.36}, {'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 116, 'loaded': True, 'loadedTime': 184219.80000007153, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395], 'bid': 0.17}]",184218.10000002384,1669837930793,blueberries,popsicles,3.36,0.17,-3.19,,blueberries,948.7000000476837,953,952.7000000476837,True,u,185675.10000002384,1457.0,1669837932250,1457,HRV,HRV_0259,2022-11-30 19:53:46
117,"[{'imgObject': {}, 'id': 'steak', 'src': '/static/foodstim60/steak.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 117, 'loaded': True, 'loadedTime': 185677.20000004768, 'positionName': 'LEFT', 'positionCoords': [511.6, 395], 'bid': 0.19}, {'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 117, 'loaded': True, 'loadedTime': 185677.60000002384, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395], 'bid': 0.17}]",185675.60000002384,1669837932251,steak,popsicles,0.19,0.17,-0.01999999999999999,,popsicles,952.2000000476837,956,956.2999999523163,True,i,187141.39999997616,1465.7999999523163,1669837933717,1466,HRV,HRV_0259,2022-11-30 19:53:46
118,"[{'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 118, 'loaded': True, 'loadedTime': 187143.5, 'positionName': 'LEFT', 'positionCoords': [510.6, 394.5], 'bid': 5.33}, {'imgObject': {}, 'id': 'luckycharms', 'src': '/static/foodstim60/luckycharms.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 118, 'loaded': True, 'loadedTime': 187144, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395.5], 'bid': 0.21}]",187142.10000002384,1669837933717,Grapes,luckycharms,5.33,0.21,-5.12,,Grapes,826.6000000238419,830,829.7000000476837,True,u,188475.80000007153,1333.7000000476837,1669837935051,1334,HRV,HRV_0259,2022-11-30 19:53:46
119,"[{'imgObject': {}, 'id': 'salad w chicken', 'src': '/static/foodstim60/salad w chicken.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 119, 'loaded': True, 'loadedTime': 188477.89999997616, 'positionName': 'LEFT', 'positionCoords': [510.6, 394.5], 'bid': 6.390000000000001}, {'imgObject': {}, 'id': 'mac & cheese', 'src': '/static/foodstim60/mac & cheese.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 119, 'loaded': True, 'loadedTime': 188478.30000007153, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395], 'bid': 9.62}]",188476.39999997616,1669837935052,salad w chicken,mac & cheese,6.390000000000001,9.62,3.2299999999999986,,mac & cheese,875.4000000953674,879,879.1000000238419,True,i,189858.30000007153,1381.9000000953674,1669837936434,1382,HRV,HRV_0259,2022-11-30 19:53:46
120,"[{'imgObject': {}, 'id': 'cherry tomato', 'src': '/static/foodstim60/cherry tomato.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 120, 'loaded': True, 'loadedTime': 189860.30000007153, 'positionName': 'LEFT', 'positionCoords': [511.6, 395], 'bid': 5.16}, {'imgObject': {}, 'id': 'veggieswithdip', 'src': '/static/foodstim60/veggieswithdip.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 120, 'loaded': True, 'loadedTime': 189860.70000004768, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395.5], 'bid': 5.08}]",189858.89999997616,1669837936434,cherry tomato,veggieswithdip,5.16,5.08,-0.08000000000000007,,veggieswithdip,706.9000000953674,711,710.6000000238419,True,i,191075.39999997616,1216.5,1669837937651,1217,HRV,HRV_0259,2022-11-30 19:53:46
121,"[{'imgObject': {}, 'id': 'tacos', 'src': '/static/foodstim60/tacos.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 121, 'loaded': True, 'loadedTime': 191076.80000007153, 'positionName': 'LEFT', 'positionCoords': [510.6, 394.5], 'bid': 8.97}, {'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 121, 'loaded': True, 'loadedTime': 191076.89999997616, 'positionName': 'RIGHT', 'positionCoords': [998.4, 394.5], 'bid': 5.48}]",191075.70000004768,1669837937651,tacos,mango,8.97,5.48,-3.49,,tacos,817.0,821,820.6999999284744,True,u,192404.39999997616,1328.6999999284744,1669837938980,1329,HRV,HRV_0259,2022-11-30 19:53:46
122,"[{'imgObject': {}, 'id': 'banana', 'src': '/static/foodstim60/banana.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 122, 'loaded': True, 'loadedTime': 192406.5, 'positionName': 'LEFT', 'positionCoords': [511.6, 395], 'bid': 3.9}, {'imgObject': {}, 'id': 'edamame', 'src': '/static/foodstim60/edamame.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 122, 'loaded': True, 'loadedTime': 192406.80000007153, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395], 'bid': 0.4}]",192405.10000002384,1669837938981,banana,edamame,3.9,0.4,-3.5,,edamame,946.5,950,949.8999999761581,True,i,193857.5,1452.3999999761581,1669837940433,1452,HRV,HRV_0259,2022-11-30 19:53:46
123,"[{'imgObject': {}, 'id': 'burger', 'src': '/static/foodstim60/burger.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 123, 'loaded': True, 'loadedTime': 193859.70000004768, 'positionName': 'LEFT', 'positionCoords': [512.6, 395.5], 'bid': 7.92}, {'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 123, 'loaded': True, 'loadedTime': 193859.89999997616, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395.5], 'bid': 7.79}]",193858.10000002384,1669837940434,burger,turkey sandwich,7.92,7.79,-0.1299999999999999,,turkey sandwich,787.6000000238419,791,791.5,True,i,195152.70000004768,1294.6000000238419,1669837941728,1294,HRV,HRV_0259,2022-11-30 19:53:46
124,"[{'imgObject': {}, 'id': 'burger', 'src': '/static/foodstim60/burger.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 124, 'loaded': True, 'loadedTime': 195154.89999997616, 'positionName': 'LEFT', 'positionCoords': [512.6, 395.5], 'bid': 7.92}, {'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 124, 'loaded': True, 'loadedTime': 195155.10000002384, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395.5], 'bid': 5.47}]",195153.30000007153,1669837941729,burger,eggs,7.92,5.47,-2.45,,eggs,1151.0,1154,1154.1999999284744,True,i,196810.0,1656.6999999284744,1669837943386,1657,HRV,HRV_0259,2022-11-30 19:53:46
