success,trial_type,trial_index,time_elapsed,internal_node_id,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,missTrial,missTrialMsg,rt,block,button_pressed,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
True,fullscreen,0,1316,0.0-0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0259,2022-11-30 20:03:15
,wl-check-fps,1,6310,0.0-1.0,0.0,1.0,"[1786.3, 1792.8, 1808.6, 1826, 1843.7, 1859.2, 1875.6, 1892.6, 1909.2, 1926.6, 1942.7, 1959.9, 1976.5, 1991.8, 2010.1, 2026.4, 2043.6, 2059.9, 2076.5, 2093.2, 2109.8, 2126.6, 2143, 2159.6, 2176.1, 2192.1, 2209.2, 2225.8, 2243.2, 2259.1, 2277, 2292.2, 2309.1, 2325.7, 2342.3, 2359.8, 2376.6, 2393.2, 2409.8, 2425.8, 2442.4, 2459.8, 2475.9, 2493.2, 2509.3, 2526.8, 2543.2, 2560.2, 2575.6, 2592.8, 2610.1, 2625.5, 2642.7, 2660.3, 2676.5, 2692.8, 2709.9, 2725.8, 2742.4, 2760.1, 2776.5, 2793, 2810.2, 2826.7, 2842.3, 2859, 2876, 2893.4, 2910, 2926.3, 2943.4, 2959.9, 2975.3, 2993.3, 3010.5, 3025.4, 3042.5, 3059.5, 3076.9, 3092.6, 3109.8, 3126, 3142.7, 3159.7, 3175.8, 3192.7, 3210.5, 3226.1, 3243.3, 3260, 3276, 3292.7, 3310.5, 3325.7, 3342.6, 3359.4, 3376, 3392.7, 3409.4, 3426, 3442.5, 3458.9, 3476, 3492.8, 3510, 3526.1, 3543.6, 3559.6, 3576.3, 3593.5, 3610, 3626, 3642.7, 3660.4, 3675.8, 3692.2, 3709.7, 3726.1, 3742.7, 3760.2, 3776, 3792.7, 3809.8, 3826.6, 3843.3, 3860, 3875.6, 3893.3, 3910, 3926.7, 3943.3, 3960.1, 3976.6, 3993.3, 4009.6, 4026, 4043.3, 4060.2, 4076, 4092.8, 4110.2, 4125.9, 4142.7, 4159.3, 4176, 4192.7, 4208.9, 4226.2, 4243.6, 4259.4, 4276.6, 4292.7, 4309, 4326.1, 4342.6, 4359.9, 4376.1, 4392.7, 4410, 4425.9, 4442.7, 4459.1, 4476.1, 4492.7, 4510.2, 4526.1, 4542.7, 4559, 4576.2, 4592.4, 4608.4, 4626.1, 4642.6, 4659.6, 4676.8, 4692.6, 4710, 4725.8, 4742.9, 4760.3, 4776.6, 4792.7, 4810.2, 4825.9, 4842.8, 4859.9, 4876.6, 4892.2, 4909.4, 4926.6, 4942.7, 4959.3, 4975.9, 4992.9, 5009.3, 5026.6, 5042.7, 5060.2, 5075.4, 5092.7, 5109.9, 5126.1, 5143.4, 5159.3, 5176, 5192.7, 5210.4, 5225.3, 5242.3, 5259.3, 5276.9, 5293.3, 5309.3, 5326, 5342.9, 5360.2, 5376.6, 5393.2, 5409.3, 5426.7, 5442.6, 5460.4, 5475.6, 5492.3, 5509.5, 5526.5, 5543.8, 5559.3, 5576, 5592.9, 5608.7, 5626, 5642.8, 5659.5, 5676.6, 5692.6, 5710.1, 5726, 5742.6, 5759.1, 5775.5, 5792.7, 5810.4, 5826.7, 5842.3, 5859.3, 5876, 5892.6, 5909.4, 5926.1, 5943.4, 5959.2, 5975.7, 5992.6, 6010.2, 6026.3, 6042.7, 6060, 6075.4, 6092.6, 6110, 6126, 6143.3, 6160, 6176, 6192.7, 6209.4, 6226.7, 6242.1, 6260.4, 6276.6, 6293.2, 6310.2, 6326, 6343.3, 6359.2, 6376, 6392.8, 6409.9, 6425.4, 6442.9, 6459.9, 6475.7, 6492.6, 6509.3, 6526.6, 6542, 6559.2, 6576, 6592.6, 6609.9, 6626, 6642.7, 6659.8, 6676.1, 6693.5, 6709.5, 6725.9, 6743.3, 6759.8]","[1.1, 6.5, 15.8, 17.4, 17.7, 15.5, 16.4, 17, 16.6, 17.4, 16.1, 17.2, 16.6, 15.3, 18.3, 16.3, 17.2, 16.3, 16.6, 16.7, 16.6, 16.8, 16.4, 16.6, 16.5, 16, 17.1, 16.6, 17.4, 15.9, 17.9, 15.2, 16.9, 16.6, 16.6, 17.5, 16.8, 16.6, 16.6, 16, 16.6, 17.4, 16.1, 17.3, 16.1, 17.5, 16.4, 17, 15.4, 17.2, 17.3, 15.4, 17.2, 17.6, 16.2, 16.3, 17.1, 15.9, 16.6, 17.7, 16.4, 16.5, 17.2, 16.5, 15.6, 16.7, 17, 17.4, 16.6, 16.3, 17.1, 16.5, 15.4, 18, 17.2, 14.9, 17.1, 17, 17.4, 15.7, 17.2, 16.2, 16.7, 17, 16.1, 16.9, 17.8, 15.6, 17.2, 16.7, 16, 16.7, 17.8, 15.2, 16.9, 16.8, 16.6, 16.7, 16.7, 16.6, 16.5, 16.4, 17.1, 16.8, 17.2, 16.1, 17.5, 16, 16.7, 17.2, 16.5, 16, 16.7, 17.7, 15.4, 16.4, 17.5, 16.4, 16.6, 17.5, 15.8, 16.7, 17.1, 16.8, 16.7, 16.7, 15.6, 17.7, 16.7, 16.7, 16.6, 16.8, 16.5, 16.7, 16.3, 16.4, 17.3, 16.9, 15.8, 16.8, 17.4, 15.7, 16.8, 16.6, 16.7, 16.7, 16.2, 17.3, 17.4, 15.8, 17.2, 16.1, 16.3, 17.1, 16.5, 17.3, 16.2, 16.6, 17.3, 15.9, 16.8, 16.4, 17, 16.6, 17.5, 15.9, 16.6, 16.3, 17.2, 16.2, 16, 17.7, 16.5, 17, 17.2, 15.8, 17.4, 15.8, 17.1, 17.4, 16.3, 16.1, 17.5, 15.7, 16.9, 17.1, 16.7, 15.6, 17.2, 17.2, 16.1, 16.6, 16.6, 17, 16.4, 17.3, 16.1, 17.5, 15.2, 17.3, 17.2, 16.2, 17.3, 15.9, 16.7, 16.7, 17.7, 14.9, 17, 17, 17.6, 16.4, 16, 16.7, 16.9, 17.3, 16.4, 16.6, 16.1, 17.4, 15.9, 17.8, 15.2, 16.7, 17.2, 17, 17.3, 15.5, 16.7, 16.9, 15.8, 17.3, 16.8, 16.7, 17.1, 16, 17.5, 15.9, 16.6, 16.5, 16.4, 17.2, 17.7, 16.3, 15.6, 17, 16.7, 16.6, 16.8, 16.7, 17.3, 15.8, 16.5, 16.9, 17.6, 16.1, 16.4, 17.3, 15.4, 17.2, 17.4, 16, 17.3, 16.7, 16, 16.7, 16.7, 17.3, 15.4, 18.3, 16.2, 16.6, 17, 15.8, 17.3, 15.9, 16.8, 16.8, 17.1, 15.5, 17.5, 17, 15.8, 16.9, 16.7, 17.3, 15.4, 17.2, 16.8, 16.6, 17.3, 16.1, 16.7, 17.1, 16.3, 17.4, 16, 16.4, 17.4, 16.5]",60.0,61.0,60.0,4990.7,[],True,undefinedblurEvent ,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0259,2022-11-30 20:03:15
,wl-html-keyboard-response,2,19298,0.0-2.0-0.0,0.0,2.0,,,,,,,,,,10979.399999976158,0.0,0,,,,,,,,,,,,,,,,,,,,HRV,HRV_0259,2022-11-30 20:03:15
,wl-rdm,3,27926,0.0-3.0-0.0,0.0,3.0,,,,,,,[],False,,,,,0.0,0.0,87.9,0.0,u,0.0,True,3036.3000000715256,183.0,60.0,40.0,3000.0,[],"[960, 600]",ColorTask_Demo,,,,,HRV,HRV_0259,2022-11-30 20:03:15
,wl-rdm,4,33258,0.0-3.0-1.0,0.0,4.0,,,,,,,[],False,,,,,0.0,0.0,87.9,1.0,i,1.0,True,1259.0999999046326,76.0,60.0,40.0,2000.0,[],"[960, 600]",ColorTask_Demo,,,,,HRV,HRV_0259,2022-11-30 20:03:15
,wl-html-keyboard-response,5,38952,0.0-3.0-2.0,0.0,5.0,,,,,,,,,,3684.7000000476837,0.0,1,,,,,,,,,,,,,,,,,,,,HRV,HRV_0259,2022-11-30 20:03:15
,wl-html-keyboard-response,6,46907,0.0-4.0-0.0,0.0,6.0,,,,,,,,,,6084.600000023842,0.0,0,,,,,,,,,,,,,,,,,,,,HRV,HRV_0259,2022-11-30 20:03:15
,wl-html-keyboard-response,7,55959,0.0-5.0-0.0,0.0,7.0,,,,,,,,,,7046.899999976158,0.0,0,,,,,,,,,,,,,,,,,,,,HRV,HRV_0259,2022-11-30 20:03:15
,wl-rdm,8,58276,0.0-6.0-0.0,0.0,8.0,,,,,,,[],False,,,,,,,56.4,1.0,i,1.0,True,963.1000000238419,58.0,60.0,40.0,285.42177033190524,[],"[960, 600]",ColorTask,1.0,1.0,,,HRV,HRV_0259,2022-11-30 20:03:15
,wl-rdm,9,60609,0.0-6.1-0.1,0.0,9.0,,,,,,,[],False,,,,,,,73.6,1.0,i,1.0,True,1047.0,63.0,60.0,40.0,227.20767629610106,[],"[960, 600]",ColorTask,2.0,2.0,,,HRV,HRV_0259,2022-11-30 20:03:15
