trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rsp,rt,rt_UNIX,receivedResponse,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,rt_perfnow,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'strawberries', 'src': '/static/foodstim60/strawberries.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 2506, 'positionName': 'LEFT', 'positionCoords': [560.08, 363], 'bid': 9.5}, {'imgObject': {}, 'id': 'burger', 'src': '/static/foodstim60/burger.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 2520, 'positionName': 'RIGHT', 'positionCoords': [1050.92, 363.5], 'bid': 9.7}]",2841.4000000003725,1669830137494,strawberries,burger,9.5,9.7,0.1999999999999993,NaN,NaN,NaN,NaN,False,6879.299999998882,4037.89999999851,1669830141532,4038,,HRV,HRV_0041,2022-11-30 17:47:43
1,"[{'imgObject': {}, 'id': 'burrito', 'src': '/static/foodstim60/burrito.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 2651.5, 'positionName': 'LEFT', 'positionCoords': [560.08, 363], 'bid': 7.07}, {'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 2677.699999999255, 'positionName': 'RIGHT', 'positionCoords': [1050.92, 363.5], 'bid': 7.33}]",6879.5,1669830141532,burrito,turkey sandwich,7.07,7.33,0.2599999999999998,burrito,u,1835.0999999996275,1835,True,9226.900000000373,2347.4000000003725,1669830143879,2347,1835.4000000003725,HRV,HRV_0041,2022-11-30 17:47:43
2,"[{'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 2687, 'positionName': 'LEFT', 'positionCoords': [560.08, 363], 'bid': 6.29}, {'imgObject': {}, 'id': 'corn cob', 'src': '/static/foodstim60/corn cob.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 2703.9000000003725, 'positionName': 'RIGHT', 'positionCoords': [1050.92, 362.5], 'bid': 6.92}]",9227.099999999627,1669830143879,popsicles,corn cob,6.29,6.92,0.6299999999999999,corn cob,i,1149.5,1150,True,10882.599999999627,1655.5,1669830145535,1656,1149.9000000003725,HRV,HRV_0041,2022-11-30 17:47:43
3,"[{'imgObject': {}, 'id': 'orange slices', 'src': '/static/foodstim60/orange slices.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 2725, 'positionName': 'LEFT', 'positionCoords': [561.08, 363], 'bid': 8.92}, {'imgObject': {}, 'id': 'grilled chicken strips', 'src': '/static/foodstim60/grilled chicken strips.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 2731.4000000003725, 'positionName': 'RIGHT', 'positionCoords': [1050.92, 362.5], 'bid': 8.88}]",10882.699999999255,1669830145535,orange slices,grilled chicken strips,8.92,8.88,-0.03999999999999915,grilled chicken strips,i,1184,1184,True,12581.0,1698.300000000745,1669830147233,1698,1184.300000000745,HRV,HRV_0041,2022-11-30 17:47:43
4,"[{'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 2736.2999999988824, 'positionName': 'LEFT', 'positionCoords': [560.08, 363.5], 'bid': 5.96}, {'imgObject': {}, 'id': 'mac & cheese', 'src': '/static/foodstim60/mac & cheese.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 2542.4000000003725, 'positionName': 'RIGHT', 'positionCoords': [1050.92, 363], 'bid': 7.35}]",12581.199999999255,1669830147234,chicken nuggets2,mac & cheese,5.96,7.35,1.3899999999999997,mac & cheese,i,1309.5,1309,True,14413.299999998882,1832.0999999996275,1669830149066,1832,1309.7000000011176,HRV,HRV_0041,2022-11-30 17:47:43
5,"[{'imgObject': {}, 'id': 'orange slices', 'src': '/static/foodstim60/orange slices.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 2724.9000000003725, 'positionName': 'LEFT', 'positionCoords': [561.08, 363], 'bid': 8.92}, {'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 2639.5999999996275, 'positionName': 'RIGHT', 'positionCoords': [1050.92, 362.5], 'bid': 2.13}]",14413.5,1669830149066,orange slices,rigatoni and sauce,8.92,2.13,-6.79,rigatoni and sauce,i,1244.9000000003725,1245,True,16168.699999999255,1755.199999999255,1669830150821,1755,1245.0999999996275,HRV,HRV_0041,2022-11-30 17:47:43
6,"[{'imgObject': {}, 'id': 'salad w chicken', 'src': '/static/foodstim60/salad w chicken.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 2647.9000000003725, 'positionName': 'LEFT', 'positionCoords': [559.08, 362.5], 'bid': 9.08}, {'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 2656.0999999996275, 'positionName': 'RIGHT', 'positionCoords': [1050.92, 362.5], 'bid': 9.1}]",16169.0,1669830150821,salad w chicken,Grapes,9.08,9.1,0.019999999999999574,salad w chicken,u,1449.5,1450,True,18132.400000000373,1963.4000000003725,1669830152785,1964,1449.9000000003725,HRV,HRV_0041,2022-11-30 17:47:43
7,"[{'imgObject': {}, 'id': 'fruitsalad', 'src': '/static/foodstim60/fruitsalad.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 2658, 'positionName': 'LEFT', 'positionCoords': [560.08, 363], 'bid': 9.9}, {'imgObject': {}, 'id': 'mashed potato', 'src': '/static/foodstim60/mashed potato.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 2661.699999999255, 'positionName': 'RIGHT', 'positionCoords': [1050.92, 363.5], 'bid': 7.27}]",18132.599999999627,1669830152785,fruitsalad,mashed potato,9.9,7.27,-2.630000000000001,fruitsalad,u,1710,1710,True,20354.199999999255,2221.5999999996275,1669830155007,2222,1710.199999999255,HRV,HRV_0041,2022-11-30 17:47:43
8,"[{'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 2677.7999999988824, 'positionName': 'LEFT', 'positionCoords': [561.08, 363.5], 'bid': 7.33}, {'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 2665.5, 'positionName': 'RIGHT', 'positionCoords': [1050.92, 363.5], 'bid': 0.44}]",20354.400000000373,1669830155007,turkey sandwich,salmon,7.33,0.44,-6.89,turkey sandwich,u,1276.2999999988824,1276,True,22148.0,1793.5999999996275,1669830156800,1793,1276.5999999996275,HRV,HRV_0041,2022-11-30 17:47:43
9,"[{'imgObject': {}, 'id': 'sushi w_condiments', 'src': '/static/foodstim60/sushi w_condiments.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 2666.699999999255, 'positionName': 'LEFT', 'positionCoords': [560.08, 363], 'bid': 9.61}, {'imgObject': {}, 'id': 'kiwi', 'src': '/static/foodstim60/kiwi.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 2691.2999999988824, 'positionName': 'RIGHT', 'positionCoords': [1050.92, 363], 'bid': 9.31}]",22148.299999998882,1669830156801,sushi w_condiments,kiwi,9.61,9.31,-0.29999999999999893,sushi w_condiments,u,1142.1000000014901,1142,True,23804.199999999255,1655.9000000003725,1669830158457,1656,1142.4000000003725,HRV,HRV_0041,2022-11-30 17:47:43
