success,trial_type,trial_index,time_elapsed,internal_node_id,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,rt,block,button_pressed,missTrial,missTrialMsg,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
True,fullscreen,0,1364,0.0-0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0323,2022-12-01 01:17:09
,wl-check-fps,1,10878,0.0-1.0,0.0,2.0,"[6370.2, 6377.2, 6393.9, 6410.6, 6427.3, 6444, 6460.7, 6477.3, 6494.4, 6510.7, 6527.4, 6544, 6560.7, 6577.5, 6594.3, 6610.9, 6627.6, 6644.2, 6661, 6677.5, 6694.1, 6710.8, 6727.5, 6744.2, 6760.9, 6777.7, 6794.3, 6811, 6827.6, 6844.2, 6860.9, 6877.9, 6894.3, 6911.2, 6927.9, 6944.6, 6961, 6977.7, 6994.5, 7011, 7027.7, 7044.8, 7061.1, 7077.8, 7094.5, 7111.1, 7127.8, 7144.5, 7161.2, 7177.9, 7194.8, 7211.5, 7228.1, 7244.8, 7261.4, 7278, 7294.7, 7311.3, 7328.1, 7344.7, 7361.4, 7378.1, 7394.8, 7411.5, 7428.2, 7444.9, 7461.5, 7478.3, 7495.5, 7511.6, 7528.2, 7544.9, 7561.6, 7578.3, 7595, 7611.7, 7628.3, 7645, 7661.7, 7678.4, 7695, 7711.7, 7728.4, 7745.1, 7761.8, 7778.5, 7795.2, 7811.8, 7828.5, 7845.2, 7861.9, 7878.5, 7895.2, 7911.9, 7928.5, 7945.2, 7961.8, 7978.5, 7995.2, 8011.9, 8028.6, 8045.2, 8061.9, 8078.6, 8095.3, 8112, 8128.7, 8145.3, 8162.2, 8178.8, 8195.6, 8212.2, 8228.7, 8245.4, 8262, 8278.7, 8295.5, 8312.1, 8328.8, 8345.5, 8362.4, 8379, 8395.8, 8412.4, 8430.8, 8445.7, 8462.3, 8479, 8496.2, 8512.4, 8529.1, 8545.7, 8562.4, 8579.2, 8595.8, 8612.4, 8629.1, 8645.8, 8662.5, 8679.2, 8695.8, 8712.5, 8729.2, 8745.8, 8762.5, 8779.2, 8796.1, 8812.7, 8829.3, 8845.9, 8862.7, 8879.3, 8896, 8912.7, 8929.4, 8946, 8962.6, 8979.4, 8996.1, 9012.7, 9029.4, 9046.1, 9062.7, 9079.5, 9096.1, 9112.8, 9129.4, 9146.1, 9162.8, 9179.5, 9196.2, 9212.8, 9229.8, 9246.2, 9263.1, 9279.9, 9296.5, 9313.1, 9329.6, 9346.3, 9363, 9379.9, 9396.5, 9413.2, 9429.7, 9446.4, 9463.1, 9479.9, 9496.4, 9513.1, 9530, 9546.7, 9563.3, 9580, 9596.5, 9613.3, 9629.9, 9646.6, 9663.3, 9680, 9696.6, 9713.3, 9730.2, 9746.8, 9763.3, 9780.1, 9796.7, 9813.3, 9830, 9846.8, 9863.4, 9880.1, 9896.7, 9913.4, 9930.1, 9946.8, 9963.5, 9980.5, 9997.4, 10013.6, 10030.5, 10047, 10063.7, 10080.3, 10097, 10113.6, 10130.3, 10147, 10163.7, 10180.6, 10197, 10213.7, 10230.4, 10247.1, 10263.7, 10280.4, 10297.1, 10313.9, 10330.5, 10347.2, 10363.9, 10380.6, 10397.3, 10413.9, 10430.7, 10447.4, 10464, 10480.7, 10497.6, 10514.1, 10530.7, 10547.4, 10564.1, 10580.7, 10598, 10614.4, 10630.9, 10647.6, 10664.1, 10680.8, 10697.5, 10714.2, 10730.9, 10747.5, 10764.2, 10781, 10797.7, 10814.3, 10831, 10847.7, 10864.3, 10881, 10897.7, 10914.3, 10931, 10947.7, 10964.3, 10981, 10997.8, 11014.5, 11031.1, 11047.8, 11064.5, 11081.1, 11097.9, 11114.5, 11131.1, 11147.8, 11164.6, 11181.3, 11197.9, 11215.1, 11231.7, 11248.3, 11264.7, 11281.3, 11298, 11314.8, 11331.4, 11348]","[0.6, 7, 16.7, 16.7, 16.7, 16.7, 16.7, 16.6, 17.1, 16.3, 16.7, 16.6, 16.7, 16.8, 16.8, 16.6, 16.7, 16.6, 16.8, 16.5, 16.6, 16.7, 16.7, 16.7, 16.7, 16.8, 16.6, 16.7, 16.6, 16.6, 16.7, 17, 16.4, 16.9, 16.7, 16.7, 16.4, 16.7, 16.8, 16.5, 16.7, 17.1, 16.3, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.7, 16.9, 16.7, 16.6, 16.7, 16.6, 16.6, 16.7, 16.6, 16.8, 16.6, 16.7, 16.7, 16.7, 16.7, 16.7, 16.7, 16.6, 16.8, 17.2, 16.1, 16.6, 16.7, 16.7, 16.7, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.7, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.6, 16.7, 16.7, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.7, 16.7, 16.6, 16.9, 16.6, 16.8, 16.6, 16.5, 16.7, 16.6, 16.7, 16.8, 16.6, 16.7, 16.7, 16.9, 16.6, 16.8, 16.6, 18.4, 14.9, 16.6, 16.7, 17.2, 16.2, 16.7, 16.6, 16.7, 16.8, 16.6, 16.6, 16.7, 16.7, 16.7, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.9, 16.6, 16.6, 16.6, 16.8, 16.6, 16.7, 16.7, 16.7, 16.6, 16.6, 16.8, 16.7, 16.6, 16.7, 16.7, 16.6, 16.8, 16.6, 16.7, 16.6, 16.7, 16.7, 16.7, 16.7, 16.6, 17, 16.4, 16.9, 16.8, 16.6, 16.6, 16.5, 16.7, 16.7, 16.9, 16.6, 16.7, 16.5, 16.7, 16.7, 16.8, 16.5, 16.7, 16.9, 16.7, 16.6, 16.7, 16.5, 16.8, 16.6, 16.7, 16.7, 16.7, 16.6, 16.7, 16.9, 16.6, 16.5, 16.8, 16.6, 16.6, 16.7, 16.8, 16.6, 16.7, 16.6, 16.7, 16.7, 16.7, 16.7, 17, 16.9, 16.2, 16.9, 16.5, 16.7, 16.6, 16.7, 16.6, 16.7, 16.7, 16.7, 16.9, 16.4, 16.7, 16.7, 16.7, 16.6, 16.7, 16.7, 16.8, 16.6, 16.7, 16.7, 16.7, 16.7, 16.6, 16.8, 16.7, 16.6, 16.7, 16.9, 16.5, 16.6, 16.7, 16.7, 16.6, 17.3, 16.4, 16.5, 16.7, 16.5, 16.7, 16.7, 16.7, 16.7, 16.6, 16.7, 16.8, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.8, 16.7, 16.6, 16.7, 16.7, 16.6, 16.8, 16.6, 16.6, 16.7, 16.8, 16.7, 16.6, 17.2, 16.6, 16.6, 16.4, 16.6, 16.7, 16.8, 16.6, 16.6]",60.0,60.0,60.0,4995.1,[],,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0323,2022-12-01 01:17:09
,wl-html-keyboard-response,2,24013,0.0-2.0-0.0,0.0,2.0,,,,,,,,11128.5,0.0,0,True,undefinedblurEvent ,,,,,,,,,,,,,,,,,,,,HRV,HRV_0323,2022-12-01 01:17:09
,wl-rdm,3,34097,0.0-3.0-0.0,0.0,3.0,,,,,,,[],,,,False,too_early ,0.0,0.0,87.9,0.0,u,0.0,True,1265.8999998569489,76.0,60.0,40.0,3000.0,[],"[1024, 576]",ColorTask_Demo,,,,,HRV,HRV_0323,2022-12-01 01:17:09
,wl-rdm,4,38834,0.0-3.0-1.0,0.0,4.0,,,,,,,[],,,,False,,0.0,0.0,87.9,1.0,i,1.0,True,674.6000001430511,41.0,60.0,40.0,2000.0,[],"[1024, 576]",ColorTask_Demo,,,,,HRV,HRV_0323,2022-12-01 01:17:09
,wl-html-keyboard-response,5,42856,0.0-3.0-2.0,0.0,5.0,,,,,,,,2016.5999999046326,0.0,1,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0323,2022-12-01 01:17:09
,wl-html-keyboard-response,6,50033,0.0-4.0-0.0,0.0,6.0,,,,,,,,6114.900000095367,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0323,2022-12-01 01:17:09
,wl-html-keyboard-response,7,59392,0.0-5.0-0.0,0.0,7.0,,,,,,,,7357.199999809265,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0323,2022-12-01 01:17:09
,wl-rdm,8,61503,0.0-6.0-0.0,0.0,8.0,,,,,,,[],,,,False,,,,87.9,1.0,i,1.0,True,819.2999997138977,50.0,60.0,40.0,225.0658881427733,[],"[1024, 576]",ColorTask,1.0,1.0,,,HRV,HRV_0323,2022-12-01 01:17:09
,wl-rdm,9,63971,0.0-6.1-0.1,0.0,9.0,,,,,,,[],,,,False,,,,56.4,0.0,i,1.0,False,1137.3000001907349,69.0,60.0,40.0,253.6473967875932,[],"[1024, 576]",ColorTask,0.0,2.0,,,HRV,HRV_0323,2022-12-01 01:17:09
,wl-rdm,10,65990,0.0-6.2-0.2,0.0,10.0,,,,,,,[],,,,False,,,,53.2,1.0,u,0.0,False,696.7000000476837,42.0,60.0,40.0,256.91150256180237,[],"[1024, 576]",ColorTask,-1.0,3.0,,,HRV,HRV_0323,2022-12-01 01:17:09
,wl-rdm,11,67824,0.0-6.3-0.3,0.0,11.0,,,,,,,[],,,,False,,,,62.5,0.0,u,0.0,True,566.2999999523163,34.0,60.0,40.0,210.57409389719152,[],"[1024, 576]",ColorTask,0.0,4.0,,,HRV,HRV_0323,2022-12-01 01:17:09
,wl-rdm,12,69809,0.0-6.4-0.4,0.0,12.0,,,,,,,[],,,,False,,,,87.9,0.0,u,0.0,True,592.8999998569489,36.0,60.0,40.0,321.56998133273413,[],"[1024, 576]",ColorTask,1.0,5.0,,,HRV,HRV_0323,2022-12-01 01:17:09
,wl-rdm,13,71794,0.0-6.5-0.5,0.0,13.0,,,,,,,[],,,,False,,,,56.4,0.0,i,1.0,False,679.5,41.0,60.0,40.0,245.49564377338848,[],"[1024, 576]",ColorTask,0.0,6.0,,,HRV,HRV_0323,2022-12-01 01:17:09
,wl-rdm,14,73946,0.0-6.6-0.6,0.0,14.0,,,,,,,[],,,,False,,,,87.9,1.0,i,1.0,True,851.0999999046326,52.0,60.0,40.0,229.4093643046491,[],"[1024, 576]",ColorTask,1.0,7.0,,,HRV,HRV_0323,2022-12-01 01:17:09
