trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,trialEvents,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'bagel plain', 'src': '/static/foodstim60/bagel plain.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 1917.5999999046326, 'positionName': 'LEFT', 'positionCoords': [573.04, 300], 'bid': 9.26}, {'imgObject': {}, 'id': 'strawberries', 'src': '/static/foodstim60/strawberries.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 1975.0999999046326, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300], 'bid': 9.02}]",2439.5999999046326,1669856697943,bagel plain,strawberries,9.26,9.02,-0.2400000000000002,strawberries,666.4000000953674,667,667.0,True,i,3614.5,1174.9000000953674,1669856699118,1175,,HRV,HRV_0323,2022-12-01 01:08:28
1,"[{'imgObject': {}, 'id': 'hotdog w must', 'src': '/static/foodstim60/hotdog w must.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 2002.7999999523163, 'positionName': 'LEFT', 'positionCoords': [574.04, 300.5], 'bid': 1.38}, {'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 2005.5999999046326, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300], 'bid': 1.67}]",3614.699999809265,1669856699118,hotdog w must,popsicles,1.38,1.67,0.29000000000000004,popsicles,537.3000001907349,537,537.5,True,i,4657.799999952316,1043.1000001430511,1669856700161,1043,,HRV,HRV_0323,2022-12-01 01:08:28
2,"[{'imgObject': {}, 'id': 'ice cream sundae 002', 'src': '/static/foodstim60/ice cream sundae 002.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 2008.1999998092651, 'positionName': 'LEFT', 'positionCoords': [574.04, 300.5], 'bid': 7.76}, {'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 2010.3999998569489, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300.5], 'bid': 9.09}]",4658.0,1669856700161,ice cream sundae 002,eggs,7.76,9.09,1.33,ice cream sundae 002,716.0,716,716.1999998092651,True,u,5889.699999809265,1231.6999998092651,1669856701393,1232,,HRV,HRV_0323,2022-12-01 01:08:28
3,"[{'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 1998.6999998092651, 'positionName': 'LEFT', 'positionCoords': [574.04, 300.5], 'bid': 9.68}, {'imgObject': {}, 'id': 'veggieswithdip', 'src': '/static/foodstim60/veggieswithdip.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 2009.0999999046326, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300.5], 'bid': 9.44}]",5889.799999952316,1669856701393,turkey sandwich,veggieswithdip,9.68,9.44,-0.2400000000000002,turkey sandwich,514.3999998569489,515,514.5,True,u,6916.5,1026.7000000476837,1669856702420,1027,,HRV,HRV_0323,2022-12-01 01:08:28
4,"[{'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 2011.5, 'positionName': 'LEFT', 'positionCoords': [574.04, 300], 'bid': 9.27}, {'imgObject': {}, 'id': 'orange slices', 'src': '/static/foodstim60/orange slices.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 2013.1999998092651, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300], 'bid': 9.12}]",6916.599999904633,1669856702420,apple slices,orange slices,9.27,9.12,-0.15000000000000036,orange slices,633.4000000953674,634,633.7999999523163,True,i,8064.399999856949,1147.7999999523163,1669856703568,1148,,HRV,HRV_0323,2022-12-01 01:08:28
5,"[{'imgObject': {}, 'id': 'grilled chicken strips', 'src': '/static/foodstim60/grilled chicken strips.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 2013.5, 'positionName': 'LEFT', 'positionCoords': [573.04, 299.5], 'bid': 8.49}, {'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 2014.7999999523163, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300.5], 'bid': 7.56}]",8064.599999904633,1669856703568,grilled chicken strips,salmon,8.49,7.56,-0.9300000000000006,salmon,625.4000000953674,626,625.7999999523163,True,i,9196.199999809265,1131.5999999046326,1669856704699,1131,,HRV,HRV_0323,2022-12-01 01:08:28
6,"[{'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 2011.8999998569489, 'positionName': 'LEFT', 'positionCoords': [574.04, 300], 'bid': 9.27}, {'imgObject': {}, 'id': 'mashed potato', 'src': '/static/foodstim60/mashed potato.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 2016.8999998569489, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300.5], 'bid': 8.85}]",9196.399999856949,1669856704700,apple slices,mashed potato,9.27,8.85,-0.41999999999999993,mashed potato,691.5,691,691.9000000953674,True,i,10404.299999952316,1207.9000000953674,1669856705907,1207,,HRV,HRV_0323,2022-12-01 01:08:28
7,"[{'imgObject': {}, 'id': 'mac & cheese', 'src': '/static/foodstim60/mac & cheese.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 2017.7999999523163, 'positionName': 'LEFT', 'positionCoords': [573.04, 300], 'bid': 9}, {'imgObject': {}, 'id': 'turkeysandwich', 'src': '/static/foodstim60/turkeysandwich.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 2018.3999998569489, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300.5], 'bid': 9.6}]",10404.399999856949,1669856705908,mac & cheese,turkeysandwich,9.0,9.6,0.5999999999999996,turkeysandwich,547.7999999523163,548,548.1000001430511,True,i,11461.0,1056.6000001430511,1669856706964,1056,,HRV,HRV_0323,2022-12-01 01:08:28
8,"[{'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 2021.0999999046326, 'positionName': 'LEFT', 'positionCoords': [572.04, 299.5], 'bid': 8.97}, {'imgObject': {}, 'id': 'sushi w_condiments', 'src': '/static/foodstim60/sushi w_condiments.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 2021.7999999523163, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300], 'bid': 9.57}]",11461.199999809265,1669856706964,mango,sushi w_condiments,8.97,9.57,0.5999999999999996,sushi w_condiments,742.8000001907349,743,743.0,True,i,12714.699999809265,1253.5,1669856708218,1254,,HRV,HRV_0323,2022-12-01 01:08:28
9,"[{'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 2022.7999999523163, 'positionName': 'LEFT', 'positionCoords': [572.04, 300], 'bid': 8.89}, {'imgObject': {}, 'id': 'veggieswithdip', 'src': '/static/foodstim60/veggieswithdip.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 2009.0999999046326, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300.5], 'bid': 9.44}]",12714.899999856949,1669856708218,yogurt no spoon,veggieswithdip,8.89,9.44,0.5499999999999989,veggieswithdip,613.1000001430511,613,613.2000000476837,True,i,13832.199999809265,1117.2999999523163,1669856709335,1117,,HRV,HRV_0323,2022-12-01 01:08:28
10,"[{'imgObject': {}, 'id': 'mashed potato', 'src': '/static/foodstim60/mashed potato.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 10, 'loaded': True, 'loadedTime': 2016.5999999046326, 'positionName': 'LEFT', 'positionCoords': [574.04, 300.5], 'bid': 8.85}, {'imgObject': {}, 'id': 'seaweed', 'src': '/static/foodstim60/seaweed.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 10, 'loaded': True, 'loadedTime': 2023.1999998092651, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300], 'bid': 8.83}]",13832.399999856949,1669856709336,mashed potato,seaweed,8.85,8.83,-0.019999999999999574,seaweed,531.7000000476837,531,531.9000000953674,True,i,14872.0,1039.6000001430511,1669856710375,1039,,HRV,HRV_0323,2022-12-01 01:08:28
11,"[{'imgObject': {}, 'id': 'Tribe humus pita', 'src': '/static/foodstim60/Tribe humus pita.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 11, 'loaded': True, 'loadedTime': 2025.1999998092651, 'positionName': 'LEFT', 'positionCoords': [572.04, 299.5], 'bid': 7.8}, {'imgObject': {}, 'id': 'cantaloupe', 'src': '/static/foodstim60/cantaloupe.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 11, 'loaded': True, 'loadedTime': 2033.5, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300.5], 'bid': 9.09}]",14872.099999904633,1669856710375,Tribe humus pita,cantaloupe,7.8,9.09,1.29,Tribe humus pita,539.9000000953674,540,540.2000000476837,True,u,15918.099999904633,1046.0,1669856711421,1046,,HRV,HRV_0323,2022-12-01 01:08:28
12,"[{'imgObject': {}, 'id': 'eggsalad', 'src': '/static/foodstim60/eggsalad.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 12, 'loaded': True, 'loadedTime': 2078.5999999046326, 'positionName': 'LEFT', 'positionCoords': [573.04, 300.5], 'bid': 9.76}, {'imgObject': {}, 'id': 'lox', 'src': '/static/foodstim60/lox.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 12, 'loaded': True, 'loadedTime': 2106.7999999523163, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 299.5], 'bid': 9.59}]",15918.199999809265,1669856711421,eggsalad,lox,9.76,9.59,-0.16999999999999993,lox,549.7000000476837,550,549.9000000953674,True,i,16974.099999904633,1055.9000000953674,1669856712477,1056,,HRV,HRV_0323,2022-12-01 01:08:28
13,"[{'imgObject': {}, 'id': 'mashed potato', 'src': '/static/foodstim60/mashed potato.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 13, 'loaded': True, 'loadedTime': 2016.8999998569489, 'positionName': 'LEFT', 'positionCoords': [574.04, 300.5], 'bid': 8.85}, {'imgObject': {}, 'id': 'grilled chicken strips', 'src': '/static/foodstim60/grilled chicken strips.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 13, 'loaded': True, 'loadedTime': 2014.2999999523163, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 299.5], 'bid': 8.49}]",16974.299999952316,1669856712477,mashed potato,grilled chicken strips,8.85,8.49,-0.35999999999999943,mashed potato,757.7000000476837,759,758.0999999046326,True,u,18242.699999809265,1268.3999998569489,1669856713746,1269,,HRV,HRV_0323,2022-12-01 01:08:28
14,"[{'imgObject': {}, 'id': 'blueberries', 'src': '/static/foodstim60/blueberries.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 14, 'loaded': True, 'loadedTime': 2108, 'positionName': 'LEFT', 'positionCoords': [572.04, 299.5], 'bid': 7.73}, {'imgObject': {}, 'id': 'ice cream sundae 002', 'src': '/static/foodstim60/ice cream sundae 002.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 14, 'loaded': True, 'loadedTime': 2007.5, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300.5], 'bid': 7.76}]",18242.799999952316,1669856713746,blueberries,ice cream sundae 002,7.73,7.76,0.02999999999999936,ice cream sundae 002,419.2999999523163,419,419.5,True,i,19176.199999809265,933.3999998569489,1669856714679,933,,HRV,HRV_0323,2022-12-01 01:08:28
15,"[{'imgObject': {}, 'id': 'corn cob', 'src': '/static/foodstim60/corn cob.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 15, 'loaded': True, 'loadedTime': 2111, 'positionName': 'LEFT', 'positionCoords': [572.04, 299.5], 'bid': 7.66}, {'imgObject': {}, 'id': 'mac & cheese', 'src': '/static/foodstim60/mac & cheese.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 15, 'loaded': True, 'loadedTime': 2018.0999999046326, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300], 'bid': 9}]",19176.299999952316,1669856714679,corn cob,mac & cheese,7.66,9.0,1.3399999999999999,mac & cheese,549.5999999046326,551,550.0999999046326,True,i,20231.699999809265,1055.3999998569489,1669856715735,1056,,HRV,HRV_0323,2022-12-01 01:08:28
16,"[{'imgObject': {}, 'id': 'salad w chicken', 'src': '/static/foodstim60/salad w chicken.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 16, 'loaded': True, 'loadedTime': 2112.5999999046326, 'positionName': 'LEFT', 'positionCoords': [572.04, 299.5], 'bid': 9}, {'imgObject': {}, 'id': 'hashbrowns', 'src': '/static/foodstim60/hashbrowns.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 16, 'loaded': True, 'loadedTime': 2114, 'positionName': 'RIGHT', 'positionCoords': [1064.96, 300], 'bid': 8.82}]",20231.799999952316,1669856715735,salad w chicken,hashbrowns,9.0,8.82,-0.17999999999999972,salad w chicken,452.2000000476837,452,452.39999985694885,True,u,21199.39999985695,967.5999999046326,1669856716703,968,,HRV,HRV_0323,2022-12-01 01:08:28
