success,trial_type,trial_index,time_elapsed,internal_node_id,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,rt,block,button_pressed,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,missTrial,missTrialMsg,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
True,fullscreen,0,2396,0.0-0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-check-fps,1,7369,0.0-1.0,0.0,2.0,"[3063.7, 3064.3, 3076.7, 3095.2, 3111.6, 3128.4, 3147.1, 3159.8, 3176.9, 3193.4, 3211.6, 3226.3, 3242.9, 3260.5, 3276.7, 3293.3, 3309.9, 3326.9, 3343.3, 3359.8, 3376.4, 3393, 3409.9, 3426.3, 3443, 3459.6, 3476.3, 3492.8, 3509.4, 3526.2, 3542.7, 3559.8, 3576, 3595, 3613, 3625.8, 3646.6, 3661.2, 3676, 3692.7, 3709.9, 3725.8, 3742, 3758.8, 3775.4, 3792, 3808.8, 3826.1, 3842.4, 3858.9, 3875.3, 3891.6, 3908.3, 3925.9, 3946, 3958.1, 3975.2, 3991.8, 4009.5, 4024.9, 4042.4, 4060.6, 4076.5, 4091.3, 4107.4, 4124, 4140.7, 4159.1, 4174.6, 4190.6, 4207.1, 4223.6, 4240.3, 4257, 4274.8, 4290.1, 4306.8, 4325.3, 4339.9, 4356.5, 4373.2, 4389.7, 4406.5, 4423, 4439.7, 4456.3, 4472.9, 4489.5, 4506.1, 4522.7, 4539.7, 4556.2, 4572.6, 4589.3, 4605.9, 4622.5, 4639.2, 4656.3, 4673.3, 4689.9, 4706.3, 4723, 4739.6, 4756.1, 4772.7, 4789.3, 4805.8, 4822.7, 4839.6, 4855.6, 4872.4, 4888.9, 4905.8, 4922.4, 4938.8, 4955.5, 4972, 4988.9, 5005.3, 5021.9, 5038.7, 5055.3, 5071.8, 5088.6, 5106, 5121.8, 5138.3, 5155.8, 5171.8, 5188.4, 5204.4, 5220.9, 5237.9, 5254.1, 5270.8, 5287.8, 5303.9, 5321.1, 5337.4, 5355.9, 5372.6, 5387.5, 5404.4, 5420.7, 5437, 5453.6, 5470.2, 5486.8, 5503.4, 5520, 5536.7, 5562.3, 5569.9, 5586.5, 5604, 5619.8, 5636.3, 5653.6, 5669.7, 5686.4, 5702.9, 5720.2, 5736.3, 5752.9, 5770.2, 5786.6, 5803.4, 5820.3, 5837.5, 5853.3, 5870.1, 5886.5, 5902.8, 5919.7, 5936.3, 5952.8, 5970, 5986.1, 6003, 6019.5, 6036.1, 6053, 6069.2, 6085.9, 6102.6, 6119.6, 6135.7, 6152.6, 6169.3, 6185.7, 6202.3, 6218.8, 6243.7, 6253.8, 6276.8, 6285.5, 6301.9, 6318.4, 6336.4, 6352.9, 6368.3, 6385, 6402, 6418.4, 6435, 6451.9, 6469.5, 6484.5, 6501.2, 6518, 6550.4, 6552.4, 6568.9, 6584.7, 6601.2, 6618.4, 6634.6, 6653.1, 6669.7, 6687.9, 6701.3, 6718.3, 6735.6, 6751.1, 6766.8, 6788.1, 6799.9, 6816.5, 6833.1, 6849.7, 6866.4, 6883.9, 6901.6, 6916.2, 6933, 6949.9, 6966.3, 6982.8, 6999.3, 7016, 7032.5, 7049.2, 7066.6, 7082.5, 7099.1, 7116.3, 7133.1, 7149.6, 7166.1, 7183, 7199.7, 7215.9, 7232.5, 7249.8, 7266.3, 7282.5, 7301.7, 7316.6, 7332.7, 7348.9, 7366.1, 7382.4, 7399.7, 7415.5, 7432.4, 7448.8, 7465.5, 7484.3, 7498.8, 7515.2, 7531.9, 7548.2, 7564.6, 7581.1, 7601.4, 7614.5, 7631, 7647.5, 7664.2, 7680.9, 7698.3, 7714.1, 7730.7, 7747.2, 7763.9, 7780.6, 7797.2, 7813.8, 7830.3, 7847, 7863.6, 7888.6, 7908.2, 7913.9, 7930.2, 7946.9, 7963.5, 7980.8, 7996.6, 8013.4]","[4.7, 0.6, 12.4, 18.5, 16.4, 16.8, 18.7, 12.7, 17.1, 16.5, 18.2, 14.7, 16.6, 17.6, 16.2, 16.6, 16.6, 17, 16.4, 16.5, 16.6, 16.6, 16.9, 16.4, 16.7, 16.6, 16.7, 16.5, 16.6, 16.8, 16.5, 17.1, 16.2, 19, 18, 12.8, 20.8, 14.6, 14.8, 16.7, 17.2, 15.9, 16.2, 16.8, 16.6, 16.6, 16.8, 17.3, 16.3, 16.5, 16.4, 16.3, 16.7, 17.6, 20.1, 12.1, 17.1, 16.6, 17.7, 15.4, 17.5, 18.2, 15.9, 14.8, 16.1, 16.6, 16.7, 18.4, 15.5, 16, 16.5, 16.5, 16.7, 16.7, 17.8, 15.3, 16.7, 18.5, 14.6, 16.6, 16.7, 16.5, 16.8, 16.5, 16.7, 16.6, 16.6, 16.6, 16.6, 16.6, 17, 16.5, 16.4, 16.7, 16.6, 16.6, 16.7, 17.1, 17, 16.6, 16.4, 16.7, 16.6, 16.5, 16.6, 16.6, 16.5, 16.9, 16.9, 16, 16.8, 16.5, 16.9, 16.6, 16.4, 16.7, 16.5, 16.9, 16.4, 16.6, 16.8, 16.6, 16.5, 16.8, 17.4, 15.8, 16.5, 17.5, 16, 16.6, 16, 16.5, 17, 16.2, 16.7, 17, 16.1, 17.2, 16.3, 18.5, 16.7, 14.9, 16.9, 16.3, 16.3, 16.6, 16.6, 16.6, 16.6, 16.6, 16.7, 25.6, 7.6, 16.6, 17.5, 15.8, 16.5, 17.3, 16.1, 16.7, 16.5, 17.3, 16.1, 16.6, 17.3, 16.4, 16.8, 16.9, 17.2, 15.8, 16.8, 16.4, 16.3, 16.9, 16.6, 16.5, 17.2, 16.1, 16.9, 16.5, 16.6, 16.9, 16.2, 16.7, 16.7, 17, 16.1, 16.9, 16.7, 16.4, 16.6, 16.5, 24.9, 10.1, 23, 8.7, 16.4, 16.5, 18, 16.5, 15.4, 16.7, 17, 16.4, 16.6, 16.9, 17.6, 15, 16.7, 16.8, 32.4, 2, 16.5, 15.8, 16.5, 17.2, 16.2, 18.5, 16.6, 18.2, 13.4, 17, 17.3, 15.5, 15.7, 21.3, 11.8, 16.6, 16.6, 16.6, 16.7, 17.5, 17.7, 14.6, 16.8, 16.9, 16.4, 16.5, 16.5, 16.7, 16.5, 16.7, 17.4, 15.9, 16.6, 17.2, 16.8, 16.5, 16.5, 16.9, 16.7, 16.2, 16.6, 17.3, 16.5, 16.2, 19.2, 14.9, 16.1, 16.2, 17.2, 16.3, 17.3, 15.8, 16.9, 16.4, 16.7, 18.8, 14.5, 16.4, 16.7, 16.3, 16.4, 16.5, 20.3, 13.1, 16.5, 16.5, 16.7, 16.7, 17.4, 15.8, 16.6, 16.5, 16.7, 16.7, 16.6, 16.6, 16.5, 16.7, 16.6, 25, 19.6, 5.7, 16.3, 16.7, 16.6, 17.3, 15.8, 16.8]",61.0,60.0,60.0,4970.8,[],,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-html-keyboard-response,2,29261,0.0-2.0-0.0,0.0,3.0,,,,,,,,19870.40000000596,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,3,36391,0.0-3.0-0.0,0.0,4.0,,,,,,,[],,,,0.0,0.0,87.9,0.0,u,0.0,True,1530.5000000298023,92.0,60.0,40.0,False,,3000.0,[],"[960, 540]",ColorTask_Demo,,,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,4,41272,0.0-3.0-1.0,0.0,5.0,,,,,,,[],,,,0.0,0.0,87.9,1.0,i,1.0,True,800.8000000119209,49.0,60.0,40.0,False,,2000.0,[],"[960, 540]",ColorTask_Demo,,,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-html-keyboard-response,5,48004,0.0-3.0-2.0,0.0,6.0,,,,,,,,4721.600000023842,0.0,1,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-html-keyboard-response,6,70364,0.0-4.0-0.0,0.0,7.0,,,,,,,,20350.5,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-html-keyboard-response,7,99252,0.0-5.0-0.0,0.0,8.0,,,,,,,,26881.5,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,8,101845,0.0-6.0-0.0,0.0,9.0,,,,,,,[],,,,,,87.9,0.0,u,0.0,True,1159.800000011921,70.0,60.0,40.0,False,,351.30280453125016,[],"[960, 540]",ColorTask,1.0,1.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,9,104487,0.0-6.1-0.1,0.0,10.0,,,,,,,[],,,,,,50.0,1.0,i,1.0,True,1307.9000000059605,79.0,60.0,40.0,False,,250.06482113546002,[],"[960, 540]",ColorTask,2.0,2.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,10,107013,0.0-6.2-0.2,0.0,11.0,,,,,,,[],,,,,,56.4,1.0,u,0.0,False,1194.5,72.0,60.0,40.0,False,,263.1371024670969,[],"[960, 540]",ColorTask,1.0,3.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,11,109409,0.0-6.3-0.3,0.0,12.0,,,,,,,[],,,,,,73.6,1.0,i,1.0,True,1100.300000011921,67.0,60.0,40.0,False,,206.531945874534,[],"[960, 540]",ColorTask,2.0,4.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,12,111819,0.0-6.4-0.4,0.0,13.0,,,,,,,[],,,,,,73.6,0.0,u,0.0,True,1015.5999999642372,62.0,60.0,40.0,False,,327.67253830829833,[],"[960, 540]",ColorTask,3.0,5.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,13,114144,0.0-6.5-0.5,0.0,14.0,,,,,,,[],,,,,,53.2,0.0,u,0.0,True,1014.4999999701977,60.0,60.0,40.0,False,,229.35409099282435,[],"[960, 540]",ColorTask,4.0,6.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,14,116604,0.0-6.6-0.6,0.0,15.0,,,,,,,[],,,,,,73.6,0.0,u,0.0,True,1128.7000000178814,68.0,60.0,40.0,False,,262.0370942648351,[],"[960, 540]",ColorTask,5.0,7.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,15,119016,0.0-6.7-0.7,0.0,16.0,,,,,,,[],,,,,,53.2,1.0,i,1.0,True,973.7999999821186,59.0,60.0,40.0,False,,357.99857360705244,[],"[960, 540]",ColorTask,6.0,8.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,16,121424,0.0-6.8-0.8,0.0,17.0,,,,,,,[],,,,,,50.0,0.0,u,0.0,True,1000.9000000059605,61.0,60.0,40.0,False,,324.1578847639579,[],"[960, 540]",ColorTask,7.0,9.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,17,123722,0.0-6.9-0.9,0.0,18.0,,,,,,,[],,,,,,87.9,0.0,u,0.0,True,950.6000000238419,58.0,60.0,40.0,False,,261.2008170961656,[],"[960, 540]",ColorTask,8.0,10.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,18,125946,0.0-6.10-0.10,0.0,19.0,,,,,,,[],,,,,,87.9,1.0,i,1.0,True,843.9000000059605,51.0,60.0,40.0,False,,286.7482249421979,[],"[960, 540]",ColorTask,9.0,11.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,19,128272,0.0-6.11-0.11,0.0,20.0,,,,,,,[],,,,,,53.2,1.0,i,1.0,True,987.5,60.0,60.0,40.0,False,,255.4090665397637,[],"[960, 540]",ColorTask,10.0,12.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,20,130500,0.0-6.12-0.12,0.0,21.0,,,,,,,[],,,,,,56.4,1.0,i,1.0,True,935.1999999880791,56.0,60.0,40.0,False,,203.3238012253947,[],"[960, 540]",ColorTask,11.0,13.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,21,132743,0.0-6.13-0.13,0.0,22.0,,,,,,,[],,,,,,87.9,1.0,i,1.0,True,906.0999999940395,55.0,60.0,40.0,False,,254.6446675637057,[],"[960, 540]",ColorTask,12.0,14.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,22,135120,0.0-6.14-0.14,0.0,23.0,,,,,,,[],,,,,,53.2,0.0,i,1.0,False,989.1999999880791,60.0,60.0,40.0,False,,309.000851305003,[],"[960, 540]",ColorTask,11.0,15.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,23,137481,0.0-6.15-0.15,0.0,24.0,,,,,,,[],,,,,,62.5,0.0,u,0.0,True,979.2999999821186,59.0,60.0,40.0,False,,327.3111057750779,[],"[960, 540]",ColorTask,12.0,16.0,,,HRV,HRV_0257,2022-11-30 20:01:24
,wl-rdm,24,139990,0.0-6.16-0.16,0.0,25.0,,,,,,,[],,,,,,62.5,0.0,u,0.0,True,1127.699999988079,68.0,60.0,40.0,False,,305.89384022307786,[],"[960, 540]",ColorTask,13.0,17.0,,,HRV,HRV_0257,2022-11-30 20:01:24
